Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
1000,1.0,267.3560073460433,27.997455619047614,37.54519997190239,32.250859666666656,2.193936031746031,6.7792623380952355,0.08775744126984122,0.17551488253968248,0.04607265666666664
1100,1.0,268.8139054585712,30.965138987619042,41.52492823872742,35.69619540666667,2.4283126126984125,7.503485973238094,0.09713250450793648,0.194265009015873,0.05099456486666666
1200,1.0,270.25509230207444,33.96125650285714,45.542787317764706,39.18157656,2.6654133714285715,8.236127317714285,0.10661653485714284,0.2132330697142857,0.055973680799999995
1300,1.0,271.67956787655305,36.98528316476191,49.59807317253843,42.70700312666667,2.9052383079365085,8.97718637152381,0.11620953231746031,0.23241906463492068,0.06101000446666668
1400,1.0,273.08733218200706,40.03669397333334,53.6900817665728,46.27247510666667,3.1477874222222226,9.726663134666667,0.1259114968888889,0.25182299377777784,0.06610353586666667
1500,1.0,274.47838521843624,43.11496392857143,57.818109063392015,49.8779925,3.3930607142857143,10.484557607142857,0.13572242857142855,0.27144485714285715,0.07125427499999999
1600,1.0,275.85272698584083,46.21956803047618,61.98145102652029,53.523555306666665,3.641058184126984,11.25086978895238,0.14564232736507932,0.29128465473015874,0.07646222186666665
1700,1.0,277.21035748422094,49.34998127904763,66.17940361948187,57.20916352666667,3.891779831746032,12.025599680095238,0.15567119326984125,0.3113423865396826,0.08172737646666667
1800,1.0,278.5512767135762,52.505678674285726,70.41126280580089,60.934817159999994,4.145225657142857,12.80874728057143,0.16580902628571426,0.3316180525714286,0.0870497388
1900,1.0,279.8754846739069,55.686135216190486,74.67632454900159,64.70051620666666,4.401395660317461,13.600312590380954,0.17605582641269843,0.3521116528253969,0.09242930886666667
2000,1.0,281.182981365213,58.89082590476192,78.97388481260818,68.50626066666668,4.660289841269843,14.400295609523814,0.18641159365079368,0.3728231873015874,0.09786608666666669
2100,1.0,283.95835651571593,62.44570407286431,83.74105414089354,72.35205054000001,4.946641407035176,15.285121947738693,0.20281229768844206,0.39375265600000003,0.10387946954773869
2200,1.0,286.7493589074028,66.06230982010582,88.5910015020864,76.23788582666667,5.238637107583775,16.187388662433865,0.22002275851851855,0.41490005892063503,0.11001137925925926
2300,1.0,289.5564810048958,69.74125270352914,93.52454432550508,80.16376652666666,5.536362894206753,17.107361343098866,0.23806360445089036,0.43626539606349213,0.11626362077834179
2400,1.0,292.38022532311584,73.48316543440232,98.54253109079029,84.12969264,5.839906472303207,18.04531099941691,0.2569558847813411,0.45784866742857144,0.12263803591836733
2500,1.0,295.22110468498227,77.28870447191694,103.64584212406724,88.13566416666667,6.1493573463573465,19.0015142002442,0.2767210805860806,0.47964987301587303,0.12913650427350426
2600,1.0,297.44749124171847,80.98643395385375,108.60457818674232,91.99575597333336,6.451767723776799,19.93596226647031,0.29678131529373275,0.5006571753650796,0.13548712219931275
2700,1.0,299.6855196927663,84.73408443486305,113.63025940037957,95.88159126000001,6.759126661732051,20.885701384752036,0.31767895310140637,0.5218045782857144,0.14194165989637306
2800,1.0,302.44662197963993,88.68198133333335,118.92447543694965,99.95335168000001,7.082862222222224,21.886044266666673,0.33997738666666677,0.5439638186666669,0.1487401066666667
2900,1.0,305.73927640241493,92.84913225043633,124.51271590510434,104.22819955333333,7.4244541477603265,22.94156331657941,0.363798253240256,0.567228296888889,0.15591353710296685
