RPM,Throttle,Torque (Nm),Power (kW),Horsepower
1000,0.1,119.6627791084046,12.53105692517007,16.804421248719414
1000,0.2,123.09662467322448,12.890648391836736,17.286641265705693
1000,0.3,126.74070568078847,13.272255662585039,17.79838495720134
1000,0.4,129.92927656240687,13.606162024489798,18.246160687260023
1000,0.5,131.7513170661888,13.79696565986394,18.502032533007828
1000,0.6,136.51665376838784,14.29599055238095,19.17123582188675
1000,0.7,141.38710819195893,14.80602334693878,19.855200948020357
1000,0.8,145.87213097049911,15.275693834013603,20.485039337553445
1000,0.9,149.83156514217924,15.690324810884364,21.041068540813146
1000,1.0,152.7748613405962,15.99854606802721,21.454399983944224
1100,0.1,120.16649488383574,13.842186509605439,18.56267468097819
1100,0.2,123.65640323338741,14.244195092136058,19.101776977519187
1100,0.3,127.35654702568314,14.67042105915647,19.673355316020476
1100,0.4,130.62921208439914,15.047405011047616,20.178899035869136
1100,0.5,132.61944094237634,15.276662917551013,20.486338899759975
1100,0.6,137.35674625220943,15.82236131472108,21.21813237859874
1100,0.7,142.19916928341468,16.380168404136054,21.966163878417664
1100,0.8,146.68419206195486,16.896805939918362,22.658986106904063
1100,0.9,150.66464977790937,17.355321752925168,23.273865834685754
1100,1.0,153.60794597632642,17.694365135782313,23.728530422129964
1200,0.1,120.66066136268145,15.162665892571434,20.33346639744057
1200,0.2,124.2066324969648,15.608265767183678,20.931025569510094
1200,0.3,127.96283907399226,16.080284606693883,21.564013150990856
1200,0.4,131.31959830980597,16.502107412897963,22.129686754590267
1200,0.5,133.4780155219784,16.773342119183667,22.493418424545617
1200,0.6,138.18728943944566,17.365126932897958,23.287014795357326
1200,0.7,143.00168107828497,17.970121229061224,24.098325370874644
1200,0.8,147.4867038568252,18.533725813551015,24.854131438314354
1200,0.9,151.48818511705417,19.03656677877552,25.528452164108245
1200,1.0,154.43148131547113,19.406432287346938,26.024449895865548
1300,0.1,121.14527854494155,16.492195074068025,22.116394091548912
1300,0.2,124.74731246395672,16.9825604169796,22.773984735120823
1300,0.3,128.5595818257159,17.501546305197284,23.469956155554893
1300,0.4,132.0004352386273,17.969969230040828,24.0981215368658
1300,0.5,134.32704080499494,18.286703264761897,24.522868800807156
1300,0.6,139.00828333009636,18.923987406911568,25.37748076560489
1300,0.7,143.7946435765698,19.57558182171429,26.2512831188337
1300,0.8,148.27966635511004,20.18615345491157,27.070073025226723
1300,0.9,152.30217115961324,20.73375988843537,27.804425222522955
1300,1.0,155.24546735803037,21.134447522721096,28.341756098593397
1400,0.1,121.6203464306162,17.83047405409524,23.91105545674566
1400,0.2,125.27844313436314,18.366779041523824,24.63025216779378
1400,0.3,129.14677528085411,18.933906154666683,25.390782023154998
1400,0.4,132.67172287086305,19.450690462476203,26.083801076138126
1400,0.5,135.16651679142598,19.816446354285713,26.574287721987005
1400,0.6,139.8197279241615,20.498642736761905,27.48912798278383
1400,0.7,144.57805677826906,21.19625018209524,28.424634815737214
1400,0.8,149.06307955680933,21.85378886400001,29.306408561083558
1400,0.9,153.10660790558705,22.446601081904777,30.10138270337237
1400,1.0,156.04990410400404,22.87811084190477,30.680046723755893
1500,0.1,122.08586501970528,19.17720283265306,25.717048186473193
1500,0.2,125.80002450818391,19.76062164081633,26.499425560971336
1500,0.3,129.7244194394067,20.37706415510205,27.32608844723354
1500,0.4,133.33346120651325,20.94397111020408,28.086323065849644
1500,0.5,135.9964434812715,21.362271387755104,28.64727288152756
1500,0.6,140.62162322164113,22.088792922448985,29.621554140336574
1500,0.7,145.35192068338282,22.83182631020409,30.61797815502761
1500,0.8,149.83694346192306,23.536332040816333,31.562735739327255
1500,0.9,153.90149535497517,24.174790359183685,32.41892230009881
1500,1.0,156.84479155339218,24.637122244897963,33.03891946479544
1600,0.1,122.54183431220888,20.532081409741494,27.53396997417392
1600,0.2,126.31205658541928,21.16378821485715,28.381102608095947
1600,0.3,130.29251430137379,21.83072030650341,29.275473121232945
1600,0.4,133.98565024557794,22.449511173224487,30.105285199442786
1600,0.5,136.81682087453146,22.92387836517006,30.74142197287121
1600,0.6,141.4139692225352,23.694137963972786,31.77435693170549
1600,0.7,146.11623529191098,24.48201020604081,32.83091083014725
1600,0.8,150.60125807045125,25.233482985360546,33.83865225340022
1600,0.9,154.68683350777778,25.91802772027211,34.75664170614471
1600,1.0,157.63012970619477,26.411181731700676,35.41797201515445
1700,0.1,122.98825430812698,21.894809785360547,29.361418513290257
1700,0.2,126.8145393660692,22.575978763646276,30.274881002609995
1700,0.3,130.85105986675538,23.29457460887076,31.238533738595628
1700,0.4,134.62828998805725,23.96701065153743,32.14028517035997
1700,0.5,137.62764897120599,24.500967286530614,32.85633268946039
1700,0.6,142.19676592684385,25.314377861333334,33.94713405033302
1700,0.7,146.8710006038538,26.14650186960545,35.06303053453862
1700,0.8,151.35602338239408,26.94494169763267,36.1337557967449
1700,0.9,155.46262236399497,27.676013165170083,37.1141386149525
1700,1.0,158.40591856241198,28.199989302312936,37.81680206827536
1800,0.1,123.42512500745951,23.2650879595102,31.198991497264583
1800,0.2,127.30747285013345,23.996893287183678,32.180358437955846
1800,0.3,131.40005613555144,24.768327062204087,33.21486799276396
1800,0.4,135.26138043395088,25.496169545142855,34.190920672043525
1800,0.5,138.42892777129492,26.093238151836733,34.99160272473747
1800,0.6,142.97001333456694,26.949212614530616,36.13948318966155
1800,0.7,147.61621661921095,27.825001300897956,37.31393496164403
