RPM,Throttle,Torque (Nm),Power (kW),Horsepower
1000,1.0,170.4215539939713,17.846503401360547,23.93255116180843
1100,1.0,170.289455391205,19.615937074829937,26.30540039537339
1200,1.0,170.14780749185323,21.38140408163266,28.672930242232344
1300,1.0,169.99661029591587,23.142604421768706,31.034738395827684
1400,1.0,169.83586380339312,24.899238095238104,33.39042254960185
1500,1.0,169.66556801428473,26.651005102040816,35.739580396997205
1600,1.0,169.4857229285909,28.397605442176868,38.08180963145617
1700,1.0,169.29632854631157,30.138739115646267,40.41670794642117
1800,1.0,169.09738486744672,31.87410612244899,42.743873035334566
1900,1.0,168.8888918919963,33.603406462585035,45.062902591638775
2000,1.0,168.67084961996045,35.326340136054434,47.37339430877622
2100,1.0,169.32364097740293,37.236213460157934,49.93457618366357
2200,1.0,169.97577579508896,39.159607558579,52.513889712456745
2300,1.0,170.62738949571113,41.09653442280465,55.111350976001944
2400,1.0,171.27862026569088,43.04701241149522,57.726984593663964
2500,1.0,171.92960912604252,45.011066413744985,60.36082394226228
2600,1.0,172.5805000054305,46.988728017392525,63.01291138177889
2700,1.0,173.2314398154966,48.98003568256319,65.68329848808258
2800,1.0,173.88257852854179,50.98503492063494,68.37204629292602
2900,1.0,174.53406925764816,53.00377847882609,71.07922553148195
3000,1.0,175.18606833933126,55.036326530612264,73.80491689769647
3100,1.0,175.44719834035206,56.95564170455934,76.37876049961021
3200,1.0,175.70249227276716,58.87847028709789,78.9573156592435
3300,1.0,175.95198565097817,60.80464120562147,81.5403529644917
3400,1.0,176.1957144437285,62.73398503691454,84.1276452151194
3500,1.0,176.43371508139276,64.66633403361345,86.7189674582452
3600,1.0,176.66602446340593,66.60152215117809,89.3140970245113
3700,1.0,176.8926799658373,68.53938507538645,91.91281356495433
3800,1.0,177.11371944911133,70.47976025036363,94.51489908859277
3900,1.0,177.32918126587907,72.42248690715721,97.12013800074722
4000,1.0,177.53910426904363,74.36740609287196,99.7283171421107
4100,1.0,177.5354083692772,76.22500440694796,102.21939708588971
4200,1.0,177.5239748829715,78.07912214597631,104.70580950244913
4300,1.0,177.50481570319008,79.92952158189313,107.18723559325885
4400,1.0,177.4779428273221,81.77596553287984,109.66335729231572
4500,1.0,177.44336835822764,83.61821736936533,112.13385727419247
4600,1.0,177.40110450540055,85.45604102010849,114.59841896219456
4700,1.0,177.3511635861443,87.28920097836043,117.05672653662387
4800,1.0,177.2935580267654,89.11746230810908,119.50846494315284
4900,1.0,177.22830036378124,90.94059065040652,121.95331990130953
5000,1.0,177.15540324514498,92.75835222978081,124.39097791307604
5100,1.0,177.07487943148658,94.57051386073363,126.82112627160201
5200,1.0,176.98674179736997,96.37684295432459,129.2434530700343
5300,1.0,176.8910033325679,98.17710752484439,131.65764721046583
5400,1.0,176.78767714335328,99.97107619657733,134.0633984130043
5500,1.0,176.67677645380806,101.75851821065508,136.46039722496323
5600,1.0,176.55831460715018,103.53920343200345,138.8483350301776
5700,1.0,176.4323050670782,105.31290235638275,141.2269040584454
5800,1.0,176.2987614191339,107.07938611752395,143.59579739509715
5900,1.0,176.15769737208416,108.83842649436194,145.9547089906959
6000,1.0,176.00912675932074,110.58979591836734,148.30333367086942
6100,1.0,175.3995633272788,112.04357585034015,150.25288433732084
6200,1.0,174.78045059865133,113.47838911564628,152.17700028918637
6300,1.0,174.1517885734383,114.89393571428569,154.0752792199084
6400,1.0,173.51357725163982,116.28991564625848,155.94731882292942
6500,1.0,172.8658166332558,117.6660289115646,157.79271679169182
6600,1.0,172.2085067182863,119.02197551020409,159.61107081963803
6700,1.0,171.54164750673127,120.35745544217689,161.40197860021038
6800,1.0,170.8652389985907,121.672168707483,163.16503782685126
6900,1.0,170.1792811938646,122.96581530612242,164.8998461930031
7000,1.0,169.483774092553,124.23809523809523,166.60600139210837
