RPM,Throttle,Torque (Nm),Power (kW),Horsepower
1000,1,169.9440892,17.7965034,23.86550007
1100,1,169.7960751,19.55910374,26.22918565
1200,1,169.6385117,21.31740408,28.58710484
1300,1,169.471399,23.07110442,30.93885533
1400,1,169.294737,24.81990476,33.28403482
1500,1,169.1085257,26.5635051,35.62224098
1600,1,168.9127651,28.30160544,37.95307153
1700,1,168.7074553,30.03390578,40.27612415
1800,1,168.4925961,31.76010612,42.59099654
1900,1,168.2681876,33.47990646,44.89728639
2000,1,168.0342298,35.1930068,47.19459139
2100,1,168.6711057,37.09271346,49.74213955
2200,1,169.307325,39.00560756,52.30737235
2300,1,169.9430232,40.93170109,54.89030587
2400,1,170.5783385,42.87101241,57.49096475
2500,1,171.2134119,44.82356641,60.10938234
2600,1,171.8483873,46.78939468,62.74560102
2700,1,172.4834116,48.76853568,65.39967236
2800,1,173.1186348,50.76103492,68.0716574
2900,1,173.75421,52.76694515,70.76162685
3000,1,174.3902936,54.78632653,73.46966143
3100,1,174.6355081,56.6921417,76.02540124
3200,1,174.8748866,58.60113695,78.5854056
3300,1,175.1084645,60.51314121,81.14944509
3400,1,175.3362778,62.42798504,83.71729253
3500,1,175.5583629,64.3455007,86.28872295
3600,1,175.7747568,66.26552215,88.86351368
3700,1,175.9854968,68.18788508,91.44144438
3800,1,176.1906208,70.11242692,94.02229706
3900,1,176.3901671,72.03898691,96.60585612
4000,1,176.5841746,73.96740609,99.1919084
4100,1,176.5645632,75.80817107,101.6604145
4200,1,176.5372142,77.64512215,104.123806
4300,1,176.5021396,79.47802158,106.5817642
4400,1,176.4593512,81.3066322,109.033971
4500,1,176.4088612,83.13071737,111.4801091
4600,1,176.3506819,84.95004102,113.9198619
4700,1,176.2848255,86.76436765,116.3529136
4800,1,176.2113044,88.57346231,118.7789491
4900,1,176.1301313,90.37709065,121.1976541
5000,1,176.0413186,92.1750189,123.6087152
5100,1,175.9448793,93.96701386,126.0118196
5200,1,175.8408262,95.75284295,128.4066554
5300,1,175.7291722,97.53227419,130.7929116
5400,1,175.6099306,99.3050762,133.1702779
5500,1,175.4831144,101.0710182,135.5384447
5600,1,175.348737,102.8298701,137.8971035
5700,1,175.206812,104.5814024,140.2459466
5800,1,175.0573529,106.3253861,142.5846669
5900,1,174.9003733,108.0615932,144.9129585
6000,1,174.7358872,109.7897959,147.2305162
6100,1,174.1104083,111.2200759,149.1485528
6200,1,173.4753801,112.6310558,151.0407078
6300,1,172.8308025,114.0224357,152.9065787
6400,1,172.1766757,115.3939156,154.7457632
6500,1,171.5129996,116.7451956,156.5578592
6600,1,170.8397742,118.0759755,158.3424641
6700,1,170.1569995,119.3859554,160.0991759
6800,1,169.4646755,120.6748354,161.827592
6900,1,168.7628022,121.9423153,163.5273103
7000,1,168.0513796,123.1880952,165.1979284
