RPM,Throttle,Torque (Nm),Power (kW),Horsepower
1000,1.0,87.59810114336408,9.173251700680275,12.301531045568291
1100,1.0,87.59810114336406,10.0905768707483,13.531684150125116
1200,1.0,87.59810114336408,11.00790204081633,14.761837254681947
1300,1.0,87.59810114336405,11.925227210884353,15.991990359238773
1400,1.0,87.59810114336408,12.842552380952384,17.222143463795607
1500,1.0,87.59810114336405,13.759877551020407,18.452296568352427
1600,1.0,87.59810114336405,14.677202721088435,19.682449672909257
1700,1.0,87.59810114336406,15.594527891156464,20.912602777466088
1800,1.0,87.59810114336408,16.511853061224492,22.14275588202292
1900,1.0,87.59810114336406,17.42917823129252,23.37290898657975
2000,1.0,87.59810114336408,18.34650340136055,24.603062091136582
2100,1.0,87.59810114336405,19.26382857142857,25.833215195693402
2200,1.0,87.59810114336406,20.1811537414966,27.063368300250232
2300,1.0,87.59810114336406,21.098478911564627,28.293521404807063
2400,1.0,87.59810114336408,22.01580408163266,29.523674509363893
2500,1.0,87.59810114336405,22.933129251700677,30.753827613920713
2600,1.0,87.59810114336405,23.850454421768706,31.983980718477547
2700,1.0,87.59810114336408,24.767779591836742,33.21413382303438
2800,1.0,87.59810114336408,25.685104761904768,34.444286927591214
2900,1.0,87.59810114336406,26.60242993197279,35.674440032148034
3000,1.0,87.59810114336405,27.519755102040815,36.904593136704854
3100,1.0,87.59810114336405,28.43708027210884,38.13474624126169
3200,1.0,87.59810114336405,29.35440544217687,39.364899345818515
3300,1.0,87.59810114336406,30.271730612244905,40.595052450375356
3400,1.0,87.59810114336406,31.189055782312927,41.825205554932175
3500,1.0,87.59810114336406,32.10638095238095,43.05535865948901
3600,1.0,87.59810114336408,33.023706122448985,44.28551176404584
3700,1.0,87.59810114336405,33.94103129251701,45.51566486860266
3800,1.0,87.59810114336406,34.85835646258504,46.7458179731595
3900,1.0,87.59810114336405,35.77568163265306,47.975971077716316
4000,1.0,87.59810114336408,36.6930068027211,49.206124182273165
4100,1.0,87.59810114336405,37.61033197278911,50.43627728682998
4200,1.0,87.59810114336405,38.52765714285714,51.666430391386804
4300,1.0,87.59810114336406,39.44498231292518,52.89658349594364
4400,1.0,87.59810114336406,40.3623074829932,54.126736600500465
4500,1.0,87.59810114336403,41.27963265306121,55.35688970505728
4600,1.0,87.59810114336406,42.19695782312925,56.587042809614125
4700,1.0,87.59810114336405,43.11428299319728,57.81719591417095
4800,1.0,87.59810114336408,44.03160816326532,59.047349018727786
4900,1.0,87.59810114336406,44.94893333333334,60.27750212328462
5000,1.0,87.59810114336405,45.866258503401355,61.507655227841425
5100,1.0,87.59810114336406,46.783583673469394,62.737808332398274
5200,1.0,87.59810114336405,47.70090884353741,63.96796143695509
5300,1.0,87.59810114336406,48.618234013605445,65.19811454151193
5400,1.0,87.59810114336408,49.535559183673485,66.42826764606876
5500,1.0,87.59810114336408,50.45288435374151,67.6584207506256
5600,1.0,87.59810114336408,51.370209523809535,68.88857385518243
5700,1.0,87.59810114336409,52.287534693877575,70.11872695973926
5800,1.0,87.59810114336406,53.20485986394558,71.34888006429607
5900,1.0,87.59810114336408,54.12218503401362,72.5790331688529
6000,1.0,87.59810114336405,55.03951020408163,73.80918627340971
6100,1.0,87.59810114336406,55.95683537414966,75.03933937796656
6200,1.0,87.59810114336405,56.87416054421768,76.26949248252338
6300,1.0,87.59810114336405,57.79148571428571,77.49964558708021
6400,1.0,87.59810114336405,58.70881088435374,78.72979869163703
6500,1.0,87.59810114336405,59.626136054421764,79.95995179619385
6600,1.0,87.59810114336406,60.54346122448981,81.19010490075071
6700,1.0,87.59810114336406,61.460786394557836,82.42025800530755
6800,1.0,87.59810114336406,62.378111564625854,83.65041110986435
6900,1.0,87.59810114336406,63.29543673469389,84.8805642144212
7000,1.0,87.59810114336406,64.2127619047619,86.11071731897802
7100,1.0,87.59810114336408,65.13008707482996,87.34087042353487
7200,1.0,87.59810114336408,66.04741224489797,88.57102352809169
7300,1.0,87.59810114336406,66.96473741496598,89.80117663264849
7400,1.0,87.59810114336405,67.88206258503402,91.03132973720533
7500,1.0,87.59810114336405,68.79938775510205,92.26148284176216
7600,1.0,87.59810114336406,69.71671292517009,93.491635946319
7700,1.0,87.59810114336406,70.63403809523811,94.72178905087583
7800,1.0,87.59810114336405,71.55136326530612,95.95194215543263
7900,1.0,87.59810114336405,72.46868843537415,97.18209525998947
8000,1.0,87.59810114336408,73.3860136054422,98.41224836454633
