Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
1000,1.0,152.7748613405962,15.99854606802721,21.454399983944224,3.873864193197278,50.147109297052125,100.29421859410428,26.327232380952378
1100,1.0,153.60794597632642,17.694365135782313,23.728530422129964,4.2877062704217686,55.50428829024943,111.00857658049887,29.13975135238095
1200,1.0,154.43148131547113,19.406432287346938,26.024449895865548,4.706358467265306,60.92373420408162,121.84746840816328,31.984960457142858
1300,1.0,155.24546735803037,21.134447522721096,28.341756098593397,5.129820783727893,66.40544703854876,132.81089407709754,34.86285969523811
1400,1.0,156.04990410400404,22.87811084190477,30.680046723755893,5.558093219809526,71.9494267936508,143.89885358730166,37.77344906666667
1500,1.0,156.84479155339218,24.637122244897963,33.03891946479544,5.9911757755102055,77.55567346938774,155.11134693877554,40.716728571428575
1600,1.0,157.63012970619477,26.411181731700676,35.41797201515445,6.429068450829931,83.22418706575961,166.44837413151924,43.692698209523805
1700,1.0,158.40591856241198,28.199989302312936,37.81680206827536,6.871771245768709,88.95496758276643,177.90993516553291,46.70135798095239
1800,1.0,159.17215812204353,30.003244956734697,40.2350073176005,7.31928416032653,94.74801502040815,189.49603004081632,49.742707885714275
1900,1.0,159.92884838508968,31.820648694965996,42.672185456572336,7.771607194503403,100.60332937868479,201.20665875736964,52.81674792380953
2000,1.0,160.67598935155024,33.65190051700681,45.12793417863323,8.22874034829932,106.52091065759636,213.04182131519275,55.923478095238096
2100,1.0,161.41358102142533,35.49670042285715,47.601851177225626,8.690683621714285,112.50075885714284,225.00151771428574,59.0628984
2200,1.0,162.14162339471486,37.354748412517004,50.09353414579187,9.157437014748298,118.54287397732423,237.08574795464855,62.23500883809524
2300,1.0,162.86011647141896,39.225744485986404,52.60258077777444,9.629000527401363,124.64725601814058,249.29451203628122,65.43980940952382
2400,1.0,163.56906025153742,41.109388643265305,55.128588766615664,10.105374159673467,130.8139049795918,261.62780995918365,68.6773001142857
2500,1.0,164.26845473507052,43.00538088435375,57.671155805758005,10.586557911564626,137.042820861678,274.08564172335605,71.94748095238096
2600,1.0,164.60790751744457,44.81801939156464,60.10194366576993,11.05021908484354,143.04490724716553,286.0898144943311,75.0985763047619
2700,1.0,164.93781100323307,46.63506738122449,62.53864473813126,11.516972477877552,149.08702236734692,298.1740447346939,78.27068674285715
2800,1.0,165.5384791160949,48.53841718857143,65.09107843445277,12.006058569142859,155.41823390476188,310.83646780952387,81.5945728
2900,1.0,166.4099118560299,50.536575135238095,67.77065191798054,12.51953883847619,162.06522768253964,324.13045536507934,85.08424453333332
3000,1.0,167.27179529937948,52.54998432653063,70.47067765392332,13.03885996734694,168.787831292517,337.5756625850341,88.61361142857143
3100,1.0,168.05405096522875,54.555595098231294,73.16024553873044,13.558696466176873,175.51710635827664,351.0342127165533,92.14648083809524
3200,1.0,168.82675733449258,56.57438939428572,75.86749281787007,14.084030244571432,182.31754361904763,364.63508723809537,95.71671040000001
3300,1.0,169.48479668579884,58.569741137959184,78.54330312184415,14.606357698204082,189.07906405442174,378.1581281088436,99.26650862857143
3400,1.0,170.02816901914758,60.538047958639474,81.1828455929187,15.12490577213606,195.79166048072565,391.58332096145136,102.79062175238097
3500,1.0,170.56199205591074,62.514235142857146,83.83295580375103,15.647920385714286,202.56207619047615,405.1241523809524,106.34509
3600,1.0,170.80595187242963,64.39232683102041,86.35151781013866,16.150663780897958,209.07008130612243,418.1401626122449,109.76179268571427
3700,1.0,171.04036239236302,66.27182800163264,88.87196996329978,16.656499395836736,215.61811515646258,431.2362303129252,113.19951045714285
3800,1.0,171.19514513479623,68.12455196952381,91.35651330229824,17.158899211047622,222.1216726349206,444.2433452698413,116.61387813333333
3900,1.0,171.27030009972924,69.94799715428572,93.80179315312553,17.65734785657143,228.57408228571424,457.14816457142865,120.00139320000001
4000,1.0,171.33590576807669,71.76901638095238,96.24381974111891,18.15820156190476,235.0576253968253,470.1152507936507,123.4052533333333
4100,1.0,171.1116482161799,73.46695658721086,98.52079467240293,18.63328676927891,241.20759571882078,482.41519143764174,126.63398775238093
4200,1.0,170.8778413676976,75.15599995428573,100.78583874786874,19.10940271657143,247.37090895238094,494.741817904762,129.86972720000003
4300,1.0,170.52936750125778,76.78851250340139,102.97507376076356,19.575468949659868,253.40412879818592,506.80825759637196,133.03716761904764
4400,1.0,170.06622661686038,78.36089186394561,105.08366885335336,20.030712413605446,259.2972480725624,518.5944961451248,136.13105523809526
4500,1.0,169.59353643587738,79.91907122448978,107.1732214355502,20.48595587755102,265.19036734693873,530.3807346938776,139.22494285714288
4600,1.0,169.00617923693696,81.41211423564629,109.17542474942508,20.929345832435374,270.930043138322,541.8600862766441,142.23827264761903
4700,1.0,168.40927274141092,82.88815566639457,111.15482857234083,21.372220417360545,276.6630474739229,553.326094947846,145.24809992380952
4800,1.0,167.80281694929943,84.34689551673472,113.11103059773998,21.81457963232653,282.38938035374144,564.778760707483,148.2544246857143
4900,1.0,167.18681186060238,85.78803378666666,115.04362851906484,22.25642347733333,288.1090417777777,576.2180835555555,151.2572469333333
5000,1.0,166.56125747531985,87.21127047619048,116.95222002975791,22.69775195238095,293.82203174603166,587.6440634920634,154.25656666666666
5100,1.0,165.92615379345182,88.61630558530612,118.83640282326152,23.13856505746939,299.5283502585034,599.0567005170069,157.2523838857143
5200,1.0,165.28150081499822,90.0028391140136,120.69577459301809,23.57886279259864,305.2279973151927,610.4559946303855,160.2446985904762
5300,1.0,164.62729853995913,91.37057106231292,122.52993303247004,24.018645157768702,310.9209729160997,621.8419458321994,163.23351078095232
5400,1.0,163.96354696833453,92.71920143020407,124.33847583505975,24.45791215297959,316.60727706122435,633.2145541224488,166.21882045714284
5500,1.0,163.29024610012445,94.04843021768707,126.12100069422966,24.89666377823129,322.2869097505668,644.5738195011337,169.2006276190476
5600,1.0,162.6073959353289,95.35795742476193,127.87710530342218,25.33490003352381,327.95987098412695,655.919741968254,172.17893226666666
5700,1.0,161.91499647394775,96.64748305142858,129.60638735607964,25.772620918857147,333.62616076190477,667.2523215238097,175.15373440000002
5800,1.0,161.21304771598102,97.91670709768704,131.3084445456444,26.20982643423129,339.2857790839001,678.5715581678004,178.12503401904758
5900,1.0,160.5015496614289,99.1653295635374,132.98287456555906,26.646516579646253,344.9387259501133,689.8774519002267,181.09283112380948
6000,1.0,159.78050231029118,100.39305044897954,134.62927510926585,27.082691355102032,350.58500136054397,701.1700027210882,184.05712571428563
6100,1.0,159.049905662568,101.59956975401356,136.24724387020726,27.518350760598633,356.2246053151926,712.4492106303853,187.01791779047613
6200,1.0,158.3097597182593,102.78458747863941,137.83637854182567,27.953494796136045,361.8575378140588,723.7150756281177,189.9752073523809
6300,1.0,157.56006447736502,103.94780362285704,139.3962768175634,28.388123461714272,367.48379885714263,734.9675977142855,192.9289943999999
6400,1.0,156.8008199398853,105.08891818666659,140.92653639086305,28.82223675733332,373.10338844444425,746.2067768888886,195.87927893333324
6500,1.0,156.0320261058201,106.20763117006798,142.42675495516693,29.25583468299319,378.7163065759636,757.4326131519272,198.82606095238089
6600,1.0,155.25368297516943,107.30364257306123,143.89653020391742,29.68891723869388,384.32255325170064,768.6451065034015,201.76934045714287
6700,1.0,154.46579054793312,108.37665239564623,145.33545983055683,30.12148442443537,389.92212847165524,779.8442569433106,204.709117447619
6800,1.0,153.66834882411138,109.42636063782312,146.7431415285277,30.553536240217678,395.5150322358275,791.0300644716551,207.64539192380946
6900,1.0,152.8613578037042,110.45246729959193,148.1191729912725,30.98507268604083,401.10126454421777,802.2025290884358,210.5781638857144
7000,1.0,152.04481748671128,111.45467238095239,149.46315191223331,31.41609376190476,406.68082539682536,813.3616507936508,213.50743333333332
