Engine Speed (RPM),Throttle,Torque (Nm),Power (kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s)
1000,1.0,288.43295513763275,30.20462843045271,40.50507394547912,25.076251928238847,1.7058674781114864,5.271130507364493,0.06823469912445945,0.1364693982489189,0.0010235204868668927
1100,1.0,290.09991777861353,33.41711158501082,44.81308481949443,27.755129573255587,1.8881040526024213,5.834241522541482,0.07552416210409685,0.1510483242081937,0.0011328624315614538
1200,1.0,291.75042160936584,36.662439248388345,49.16514090537177,30.465144027761937,2.0724587773987717,6.403897622162204,0.08289835109595085,0.16579670219190173,0.001243475266439264
1300,1.0,293.38445491615215,39.94009275715461,53.560546663993335,33.206295291757904,2.2589316525005376,6.980098806226661,0.09035726610002148,0.18071453220004302,0.0013553589915003238
1400,1.0,295.0020145517225,43.24955421312775,57.998607582456884,35.97858336524346,2.447522677907719,7.5628450747348515,0.09790090711630875,0.19580181423261753,0.0014685136067446327
1500,1.0,296.60327960563416,46.59033421198498,62.478667358754606,38.782008248218624,2.638231853620315,8.152136427686774,0.10552927414481258,0.21105854828962523,0.0015829391121721904
1600,1.0,298.18886049819406,49.962023121250034,67.00017666668705,41.61656994068341,2.8310591796383275,8.747972865082431,0.11324236718553309,0.2264847343710662,0.001698635507782998
1700,1.0,299.75864420704994,53.364108087817925,71.5624477589115,44.4822684426378,3.026004655961756,9.350354386921826,0.12104018623847021,0.24208037247694048,0.0018156027935770551
1800,1.0,301.3119408005982,56.795962779482515,76.16464071010385,47.379103754081804,3.223068282590599,9.95928099320495,0.12892273130362394,0.25784546260724794,0.001933840969554361
1900,1.0,302.84878247244,60.25707564372196,80.80606951703213,50.307075875015414,3.4222500595248584,10.574752683931813,0.1368900023809943,0.27378000476198866,0.002053350035714917
2000,1.0,304.3691303958899,63.746921602082764,85.48603003789118,53.26618480543864,3.623549986764534,11.196769459102411,0.14494199947058134,0.28988399894116273,0.0021741299920587224
2100,1.0,307.2960204900787,67.57792443143069,90.62348945889924,56.25643054535147,3.8461990596076623,11.884755094187677,0.15769416144391404,0.30615744514477,0.002307719435764599
