Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,243.135,25.461,34.144,25.076,1.483,9.44,8.733,0.065,0.642,209.737,4.584,0.015,0.101,0.001,648.087,2.097,14.262,0.126,48.651,2632.294
1100,1.0,247.609,28.523,38.249,27.755,1.664,9.613,8.894,0.068,0.65,209.964,5.14,0.022,0.115,0.001,648.788,2.73,14.529,0.126,49.316,2651.355
1200,1.0,252.181,31.69,42.497,30.465,1.85,9.79,9.058,0.072,0.66,210.208,5.718,0.03,0.13,0.001,649.541,3.363,14.799,0.126,49.998,2670.991
1300,1.0,256.854,34.967,46.891,33.206,2.044,9.972,9.226,0.076,0.67,210.468,6.317,0.039,0.146,0.001,650.345,3.999,15.069,0.126,50.697,2691.241
1400,1.0,261.631,38.357,51.438,35.979,2.245,10.158,9.398,0.079,0.681,210.744,6.938,0.049,0.163,0.001,651.2,4.636,15.342,0.126,51.414,2712.097
1500,1.0,266.521,41.865,56.142,38.782,2.454,10.349,9.573,0.082,0.693,211.036,7.583,0.061,0.182,0.001,652.1,5.276,15.617,0.127,52.149,2733.589
1600,1.0,271.525,45.494,61.009,41.617,2.671,10.545,9.753,0.086,0.706,211.342,8.253,0.075,0.201,0.002,653.048,5.918,15.893,0.127,52.903,2755.72
1700,1.0,276.652,49.251,66.046,44.482,2.896,10.746,9.937,0.09,0.719,211.663,8.948,0.09,0.221,0.002,654.038,6.562,16.171,0.127,53.678,2778.53
1800,1.0,281.907,53.138,71.259,47.379,3.129,10.953,10.126,0.093,0.734,211.996,9.669,0.106,0.243,0.002,655.069,7.208,16.451,0.127,54.473,2802.035
1900,1.0,287.295,57.162,76.656,50.307,3.372,11.165,10.32,0.096,0.749,212.343,10.418,0.125,0.266,0.002,656.14,7.857,16.733,0.127,55.291,2826.259
2000,1.0,292.825,61.329,82.244,53.266,3.624,11.383,10.518,0.1,0.765,212.702,11.197,0.145,0.29,0.002,657.248,8.508,17.016,0.128,56.132,2851.234
2100,1.0,295.614,65.009,87.178,56.256,3.846,11.503,10.618,0.104,0.781,212.991,11.885,0.158,0.306,0.002,658.142,8.733,16.954,0.128,56.6,2858.084
2200,1.0,298.412,68.749,92.194,59.278,4.073,11.625,10.719,0.107,0.799,213.292,12.586,0.171,0.323,0.002,659.072,8.958,16.893,0.128,57.072,2865.052
2300,1.0,301.218,72.55,97.291,62.33,4.305,11.748,10.82,0.11,0.817,213.604,13.302,0.185,0.339,0.003,660.038,9.185,16.832,0.128,57.548,2872.138
2400,1.0,304.034,76.412,102.47,65.414,4.541,11.871,10.921,0.114,0.836,213.928,14.031,0.2,0.356,0.003,661.037,9.413,16.772,0.128,58.028,2879.341
2500,1.0,306.859,80.336,107.732,68.529,4.781,11.996,11.022,0.118,0.856,214.262,14.774,0.215,0.373,0.003,662.071,9.642,16.712,0.129,58.513,2886.663
2600,1.0,308.987,84.128,112.818,71.53,5.016,12.097,11.099,0.121,0.877,214.665,15.501,0.231,0.389,0.003,663.314,9.875,16.658,0.129,58.903,2894.93
2700,1.0,311.118,87.967,117.965,74.552,5.255,12.199,11.175,0.124,0.899,215.078,16.239,0.247,0.406,0.003,664.593,10.109,16.604,0.129,59.297,2903.301
2800,1.0,313.826,92.018,123.399,77.717,5.507,12.322,11.273,0.128,0.921,215.456,17.017,0.264,0.423,0.003,665.758,10.342,16.547,0.129,59.774,2911.127
2900,1.0,317.118,96.305,129.147,81.041,5.773,12.467,11.391,0.132,0.944,215.795,17.838,0.283,0.441,0.003,666.806,10.574,16.487,0.129,60.338,2918.434
3000,1.0,320.426,100.665,134.994,84.403,6.044,12.613,11.51,0.135,0.968,216.143,18.676,0.302,0.459,0.004,667.883,10.807,16.427,0.13,60.906,2925.877
3100,1.0,323.606,105.052,140.878,87.768,6.318,12.756,11.624,0.138,0.993,216.513,19.523,0.322,0.478,0.004,669.024,11.042,16.368,0.13,61.46,2933.61
3200,1.0,326.801,109.512,146.858,91.169,6.598,12.9,11.739,0.142,1.019,216.891,20.387,0.343,0.496,0.004,670.192,11.278,16.31,0.13,62.018,2941.475
