Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,248.303,26.002,34.87,9.194,8.919,0.037,0.238,258.329,26.331,1.866,5.766,0.09,0.143,0.001,798.236,12.4,19.84,0.155,51.608,2558.852,2.187,1.042,-8.0,0.882,8.642,16.832,24.156,15.95,0.216,8.406,1.562,0.518,0.536,34.091
1100,1.0,0.958,252.819,29.123,39.054,9.365,9.081,0.038,0.246,255.823,29.144,2.07,6.395,0.1,0.159,0.001,790.493,12.382,19.606,0.153,52.159,2570.54,1.963,1.044,-8.0,0.868,8.617,16.794,24.107,15.926,0.217,9.261,1.574,0.507,0.546,34.438
1200,1.0,0.956,256.404,32.221,43.209,9.503,9.21,0.038,0.255,254.333,31.99,2.276,7.034,0.111,0.174,0.001,785.888,12.411,19.451,0.153,52.717,2581.737,1.788,1.046,-8.0,0.852,8.586,16.747,24.047,15.896,0.217,10.122,1.587,0.504,0.554,34.659
1300,1.0,0.954,259.868,35.377,47.442,9.638,9.334,0.039,0.264,253.012,34.868,2.486,7.683,0.122,0.19,0.001,781.806,12.448,19.31,0.152,53.279,2592.506,1.64,1.048,-8.0,0.832,8.55,16.693,23.977,15.861,0.217,10.989,1.601,0.501,0.562,34.862
1400,1.0,0.952,263.226,38.591,51.751,9.769,9.455,0.04,0.274,251.833,37.779,2.7,8.342,0.134,0.206,0.002,778.165,12.491,19.18,0.151,53.846,2602.895,1.514,1.05,-8.0,0.811,8.51,16.634,23.9,15.823,0.218,11.863,1.614,0.499,0.57,35.05
1500,1.0,0.95,267.259,41.981,56.297,9.926,9.6,0.04,0.285,250.061,40.723,2.916,9.011,0.146,0.222,0.002,772.69,12.503,19.005,0.15,54.416,2612.953,1.395,1.053,-8.0,0.788,8.467,16.571,23.817,15.782,0.218,12.744,1.626,0.491,0.579,35.322
1600,1.0,0.948,270.452,45.315,60.768,10.052,9.715,0.041,0.297,249.122,43.699,3.136,9.69,0.158,0.238,0.002,769.787,12.556,18.893,0.149,54.99,2622.713,1.3,1.055,-8.0,0.764,8.422,16.504,23.731,15.739,0.219,13.63,1.64,0.49,0.586,35.485
1700,1.0,0.946,273.575,48.703,65.311,10.178,9.827,0.042,0.309,248.276,46.708,3.359,10.379,0.171,0.254,0.002,767.173,12.612,18.79,0.149,55.566,2632.196,1.216,1.057,-8.0,0.74,8.376,16.434,23.641,15.695,0.219,14.523,1.654,0.489,0.593,35.638
1800,1.0,0.944,277.393,52.287,70.119,10.329,9.964,0.043,0.322,246.837,49.75,3.585,11.078,0.184,0.271,0.002,762.727,12.638,18.641,0.148,56.145,2641.425,1.133,1.059,-8.0,0.714,8.328,16.363,23.548,15.649,0.219,15.423,1.666,0.482,0.602,35.876
1900,1.0,0.942,280.403,55.791,74.817,10.451,10.072,0.043,0.336,246.153,52.825,3.815,11.788,0.197,0.287,0.002,760.614,12.702,18.55,0.148,56.729,2650.437,1.067,1.062,-8.0,0.688,8.279,16.29,23.454,15.602,0.22,16.329,1.68,0.482,0.609,36.012
2000,1.0,0.94,284.115,59.505,79.797,10.6,10.205,0.044,0.35,244.886,55.932,4.048,12.508,0.21,0.304,0.002,756.698,12.734,18.415,0.147,57.315,2659.279,1.001,1.064,-8.0,0.661,8.229,16.215,23.357,15.554,0.22,17.241,1.693,0.476,0.618,36.233
2100,1.0,0.938,287.032,63.122,84.647,10.72,10.31,0.045,0.365,244.334,59.072,4.284,13.238,0.224,0.321,0.003,754.992,12.803,18.335,0.147,57.904,2668.019,0.947,1.066,-8.0,0.634,8.178,16.14,23.26,15.506,0.22,18.159,1.707,0.476,0.625,36.355
2200,1.0,0.936,289.906,66.79,89.566,10.84,10.413,0.045,0.381,243.837,62.244,4.524,13.979,0.239,0.339,0.003,753.457,12.875,18.259,0.146,58.494,2676.584,0.898,1.068,-8.0,0.607,8.127,16.064,23.161,15.457,0.22,19.084,1.721,0.476,0.632,36.472
2300,1.0,0.934,293.496,70.69,94.797,10.987,10.542,0.046,0.398,242.765,65.45,4.767,14.73,0.254,0.356,0.003,750.145,12.915,18.139,0.146,59.087,2684.987,0.848,1.071,-8.0,0.579,8.076,15.987,23.062,15.407,0.221,20.016,1.734,0.47,0.641,36.673
