Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,1.0,305.531,31.995,42.906,11.15,10.975,0.037,0.138,86.289,26.331,0.767,2.37,0.174,0.0,0.0,266.633,19.6,0.0,0.052,68.066,3126.638,3.223,1.0,-8.0,-1.338,4.483,10.626,16.119,11.964,1.379,11.207,1.79,0.495,0.65,36.043
1100,1.0,1.0,308.254,35.508,47.617,11.256,11.073,0.038,0.146,86.058,29.144,0.849,2.623,0.193,0.0,0.001,265.918,19.547,0.0,0.052,68.313,3128.483,2.913,1.0,-8.0,-1.286,4.581,10.771,16.308,12.057,1.379,12.232,1.801,0.494,0.656,36.163
1200,1.0,1.0,310.784,39.054,52.373,11.357,11.163,0.038,0.155,85.884,31.99,0.932,2.879,0.212,0.0,0.001,265.38,19.508,0.0,0.052,68.61,3130.71,2.66,1.0,-8.0,-1.246,4.656,10.883,16.453,12.129,1.379,13.265,1.813,0.494,0.662,36.261
1300,1.0,1.0,314.218,42.776,57.364,11.49,11.287,0.039,0.164,85.466,34.868,1.016,3.138,0.231,0.0,0.001,264.09,19.413,0.0,0.051,68.941,3133.522,2.418,1.0,-8.0,-1.215,4.713,10.969,16.564,12.184,1.379,14.306,1.823,0.487,0.67,36.463
1400,1.0,1.0,316.448,46.394,62.215,11.581,11.367,0.04,0.174,85.381,37.779,1.1,3.4,0.25,0.0,0.001,263.827,19.393,0.0,0.051,69.314,3136.427,2.241,1.0,-8.0,-1.192,4.756,11.034,16.648,12.226,1.379,15.354,1.836,0.489,0.675,36.529
1500,1.0,1.0,319.605,50.204,67.324,11.706,11.48,0.04,0.185,85.05,40.723,1.186,3.665,0.269,0.0,0.001,262.803,19.318,0.0,0.051,69.712,3139.359,2.064,1.0,-8.0,-1.175,4.788,11.081,16.709,12.256,1.379,16.41,1.847,0.484,0.683,36.701
1600,1.0,1.0,322.645,54.06,72.495,11.827,11.589,0.041,0.197,84.755,43.699,1.273,3.933,0.289,0.0,0.001,261.894,19.251,0.0,0.051,70.129,3142.656,1.911,1.0,-8.0,-1.163,4.81,11.114,16.752,12.278,1.379,17.473,1.857,0.479,0.69,36.859
1700,1.0,1.0,325.584,57.962,77.728,11.946,11.695,0.042,0.209,84.493,46.708,1.36,4.204,0.309,0.0,0.001,261.084,19.192,0.0,0.051,70.563,3145.944,1.778,1.0,-8.0,-1.156,4.825,11.136,16.78,12.292,1.379,18.544,1.868,0.476,0.697,37.007
1800,1.0,1.0,328.434,61.908,83.02,12.062,11.797,0.043,0.222,84.258,49.75,1.449,4.477,0.329,0.0,0.001,260.358,19.138,0.0,0.051,71.012,3149.222,1.66,1.0,-8.0,-1.151,4.833,11.148,16.795,12.299,1.379,19.623,1.879,0.472,0.703,37.146
1900,1.0,1.0,331.205,65.899,88.372,12.176,11.897,0.043,0.236,84.048,52.825,1.539,4.754,0.349,0.0,0.001,259.707,19.091,0.0,0.05,71.473,3152.492,1.555,1.0,-8.0,-1.15,4.835,11.151,16.799,12.301,1.379,20.71,1.89,0.469,0.71,37.277
