Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,1.0,368.414,38.58,51.737,13.409,13.233,0.037,0.138,71.56,26.331,0.767,2.37,0.174,0.0,0.0,221.122,16.254,0.0,0.043,92.062,3714.562,1.486,1.0,-8.0,-6.099,-4.439,-2.686,-1.119,3.413,1.688,39.282,1.792,0.169,0.782,43.345
1100,1.0,1.0,369.128,42.521,57.021,13.443,13.259,0.038,0.146,71.865,29.144,0.849,2.623,0.193,0.0,0.001,222.064,16.323,0.0,0.043,92.186,3695.489,1.415,1.0,-8.0,-5.946,-4.15,-2.256,-0.562,3.689,1.693,39.976,1.801,0.177,0.784,43.187
1200,1.0,1.0,369.885,46.481,62.332,13.479,13.286,0.038,0.155,72.161,31.99,0.932,2.879,0.212,0.0,0.001,222.978,16.391,0.0,0.043,92.358,3677.384,1.356,1.0,-8.0,-5.796,-3.871,-1.839,-0.022,3.957,1.697,40.659,1.811,0.185,0.786,43.039
1300,1.0,1.0,370.659,50.46,67.668,13.517,13.314,0.039,0.164,72.452,34.868,1.016,3.138,0.231,0.0,0.001,223.876,16.457,0.0,0.043,92.505,3660.478,1.307,1.0,-8.0,-5.652,-3.6,-1.434,0.503,4.217,1.702,41.33,1.822,0.194,0.788,42.897
1400,1.0,1.0,371.435,54.455,73.026,13.556,13.342,0.04,0.174,72.741,37.779,1.1,3.4,0.25,0.0,0.001,224.77,16.522,0.0,0.044,92.633,3644.476,1.264,1.0,-8.0,-5.511,-3.335,-1.04,1.013,4.471,1.707,41.989,1.833,0.203,0.79,42.759
1500,1.0,1.0,372.208,58.466,78.405,13.595,13.37,0.04,0.185,73.03,40.723,1.186,3.665,0.269,0.0,0.001,225.662,16.588,0.0,0.044,92.711,3628.681,1.227,1.0,-8.0,-5.373,-3.078,-0.657,1.509,4.717,1.712,42.639,1.844,0.212,0.793,42.625
1600,1.0,1.0,372.987,62.495,83.807,13.636,13.398,0.041,0.197,73.316,43.699,1.273,3.933,0.289,0.0,0.001,226.547,16.653,0.0,0.044,92.797,3613.175,1.194,1.0,-8.0,-5.24,-2.828,-0.283,1.994,4.957,1.717,43.278,1.856,0.221,0.795,42.495
1700,1.0,1.0,373.742,66.535,89.225,13.676,13.425,0.042,0.209,73.606,46.708,1.36,4.204,0.309,0.0,0.001,227.443,16.719,0.0,0.044,92.843,3599.045,1.163,1.0,-8.0,-5.109,-2.583,0.082,2.466,5.191,1.721,43.908,1.868,0.23,0.797,42.366
1800,1.0,1.0,374.478,70.587,94.659,13.716,13.451,0.043,0.222,73.898,49.75,1.449,4.477,0.329,0.0,0.001,228.346,16.785,0.0,0.044,92.872,3584.603,1.135,1.0,-8.0,-4.982,-2.345,0.438,2.927,5.42,1.726,44.528,1.88,0.24,0.8,42.239
1900,1.0,1.0,375.194,74.651,100.109,13.756,13.477,0.043,0.236,74.194,52.825,1.539,4.754,0.349,0.0,0.001,229.258,16.852,0.0,0.045,92.899,3571.276,1.109,1.0,-8.0,-4.857,-2.111,0.786,3.378,5.644,1.731,45.14,1.892,0.249,0.802,42.114
