Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,115.715,12.118,16.25,26.331,1.706,5.063,4.156,0.065,0.842,506.813,5.271,0.051,0.13,0.001,1566.053,15.204,38.518,0.304,41.115,1904.806,1.05,0.952,-0.667,7.488,16.093,-10.0,23.789,16.76,0.185,8.0,1.416,1.427,0.926,0.295,20.534
1100,1.0,111.611,12.857,17.241,29.144,1.897,4.928,4.009,0.068,0.85,531.24,5.862,0.059,0.145,0.001,1641.532,16.468,40.587,0.319,38.398,1847.27,1.045,0.957,0.266,9.236,18.702,-10.0,27.168,18.436,0.188,8.0,1.187,1.444,0.956,0.287,19.767
1200,1.0,109.304,13.736,18.42,31.99,2.092,4.858,3.926,0.072,0.86,548.425,6.466,0.067,0.161,0.001,1694.634,17.55,42.119,0.329,35.869,1795.322,1.04,0.962,1.199,10.985,21.312,-10.0,30.547,20.112,0.19,8.0,0.994,1.459,0.975,0.283,19.275
1300,1.0,109.125,14.856,19.922,34.868,2.292,4.865,3.92,0.076,0.87,555.36,7.082,0.076,0.177,0.001,1716.062,18.327,42.874,0.333,34.7,1774.002,1.035,0.966,1.735,11.988,22.808,-10.0,32.484,21.073,0.192,8.271,0.868,1.475,0.988,0.284,19.094
1400,1.0,112.25,16.457,22.069,37.779,2.495,4.992,4.032,0.079,0.881,545.828,7.71,0.085,0.194,0.001,1686.607,18.558,42.356,0.327,35.234,1790.007,1.03,0.971,1.707,11.936,22.73,-10.0,32.384,21.024,0.195,8.929,0.806,1.492,0.991,0.291,19.379
1500,1.0,116.161,18.246,24.469,40.723,2.703,5.148,4.173,0.082,0.893,533.237,8.351,0.095,0.211,0.002,1647.701,18.663,41.592,0.32,35.771,1805.63,1.025,0.976,1.677,11.88,22.647,-10.0,32.276,20.97,0.197,9.591,0.75,1.508,0.989,0.3,19.767
1600,1.0,119.103,19.956,26.761,43.699,2.914,5.27,4.278,0.086,0.906,525.758,9.006,0.105,0.228,0.002,1624.592,18.927,41.219,0.315,36.311,1820.922,1.02,0.98,1.646,11.822,22.56,-10.0,32.163,20.914,0.199,10.258,0.703,1.525,0.993,0.307,20.016
1700,1.0,122.878,21.875,29.335,46.708,3.13,5.423,4.414,0.09,0.919,515.184,9.673,0.116,0.247,0.002,1591.918,19.062,40.596,0.309,36.854,1835.923,1.015,0.985,1.613,11.761,22.469,-10.0,32.046,20.856,0.201,10.929,0.66,1.541,0.991,0.316,20.372
1800,1.0,125.685,23.691,31.77,49.75,3.351,5.541,4.515,0.093,0.934,509.181,10.354,0.127,0.265,0.002,1573.368,19.349,40.327,0.306,37.401,1850.666,1.01,0.99,1.58,11.698,22.376,-10.0,31.925,20.796,0.203,11.606,0.623,1.558,0.996,0.323,20.593
1900,1.0,129.363,25.739,34.517,52.825,3.576,5.692,4.647,0.096,0.949,500.107,11.049,0.139,0.285,0.002,1545.332,19.504,39.809,0.3,37.952,1865.213,1.005,0.995,1.546,11.634,22.28,-10.0,31.801,20.734,0.205,12.287,0.588,1.575,0.994,0.332,20.925
2000,1.0,132.067,27.66,37.093,55.932,3.805,5.809,4.744,0.1,0.965,495.21,11.757,0.152,0.304,0.002,1530.2,19.808,39.617,0.297,38.507,1879.595,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.558,1.592,1.0,0.339,21.123
