Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,1.0,306.245,32.07,43.007,11.176,11.0,0.037,0.138,86.087,26.331,0.767,2.37,0.174,0.0,0.0,266.01,19.554,0.0,0.052,68.578,3136.436,3.235,1.0,-8.0,-1.427,4.316,10.377,15.798,11.804,1.531,11.359,1.79,0.493,0.652,36.126
1100,1.0,1.0,308.994,35.594,47.732,11.283,11.099,0.038,0.146,85.851,29.144,0.849,2.623,0.193,0.0,0.001,265.281,19.5,0.0,0.052,68.788,3137.528,2.921,1.0,-8.0,-1.368,4.427,10.542,16.01,11.91,1.531,12.384,1.802,0.491,0.658,36.248
1200,1.0,1.0,311.542,39.149,52.5,11.384,11.191,0.038,0.155,85.675,31.99,0.932,2.879,0.212,0.0,0.001,264.735,19.46,0.0,0.051,69.05,3139.067,2.664,1.0,-8.0,-1.322,4.513,10.67,16.177,11.992,1.531,13.417,1.813,0.491,0.664,36.348
1300,1.0,1.0,314.994,42.882,57.506,11.518,11.315,0.039,0.164,85.255,34.868,1.016,3.138,0.231,0.0,0.001,263.439,19.365,0.0,0.051,69.362,3141.208,2.42,1.0,-8.0,-1.286,4.58,10.77,16.307,12.057,1.531,14.457,1.824,0.483,0.672,36.552
1400,1.0,1.0,317.234,46.509,62.37,11.609,11.395,0.04,0.174,85.169,37.779,1.1,3.4,0.25,0.0,0.001,263.173,19.345,0.0,0.051,69.705,3143.438,2.242,1.0,-8.0,-1.259,4.632,10.848,16.407,12.106,1.531,15.505,1.836,0.485,0.677,36.618
1500,1.0,1.0,320.407,50.329,67.493,11.735,11.509,0.04,0.185,84.837,40.723,1.186,3.665,0.269,0.0,0.001,262.146,19.27,0.0,0.051,70.075,3146.196,2.063,1.0,-8.0,-1.238,4.671,10.907,16.483,12.144,1.531,16.561,1.846,0.48,0.684,36.791
1600,1.0,1.0,323.457,54.196,72.678,11.856,11.619,0.041,0.197,84.543,43.699,1.273,3.933,0.289,0.0,0.001,261.237,19.203,0.0,0.051,70.473,3148.961,1.909,1.0,-8.0,-1.222,4.7,10.95,16.539,12.172,1.531,17.625,1.857,0.475,0.691,36.95
1700,1.0,1.0,326.405,58.108,77.924,11.975,11.724,0.042,0.209,84.281,46.708,1.36,4.204,0.309,0.0,0.001,260.428,19.144,0.0,0.051,70.893,3151.757,1.774,1.0,-8.0,-1.211,4.721,10.981,16.579,12.192,1.531,18.696,1.868,0.471,0.698,37.099
1800,1.0,1.0,329.261,62.064,83.23,12.092,11.827,0.043,0.222,84.047,49.75,1.449,4.477,0.329,0.0,0.001,259.704,19.09,0.0,0.05,71.327,3154.592,1.655,1.0,-8.0,-1.204,4.734,11.001,16.605,12.205,1.531,19.775,1.879,0.468,0.705,37.238
1900,1.0,1.0,332.038,66.065,88.594,12.206,11.927,0.043,0.236,83.837,52.825,1.539,4.754,0.349,0.0,0.001,259.056,19.043,0.0,0.05,71.776,3157.648,1.55,1.0,-8.0,-1.2,4.742,11.012,16.619,12.212,1.531,20.861,1.89,0.465,0.712,37.368
2000,1.0,1.0,334.743,70.108,94.017,12.318,12.024,0.044,0.25,83.648,55.932,1.629,5.034,0.37,0.0,0.001,258.474,19.0,0.0,0.05,72.236,3160.693,1.456,1.0,-8.0,-1.199,4.744,11.015,16.623,12.214,1.531,21.956,1.901,0.462,0.718,37.492
2100,1.0,1.0,335.756,73.837,99.017,12.371,12.06,0.045,0.265,83.883,59.072,1.72,5.316,0.391,0.0,0.001,259.2,19.053,0.0,0.05,72.05,3152.553,1.379,1.0,-8.0,-1.093,4.943,11.312,17.008,12.405,1.531,22.699,1.913,0.468,0.721,37.432
2200,1.0,1.0,336.734,77.578,104.034,12.422,12.096,0.045,0.281,84.126,62.244,1.813,5.602,0.412,0.0,0.001,259.949,19.108,0.0,0.05,71.842,3144.079,1.306,1.0,-8.0,-0.984,5.146,11.615,17.4,12.599,1.531,23.413,1.925,0.475,0.724,37.372
