Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,21.462,2.247,3.014,26.331,1.706,1.678,0.771,0.065,0.842,2732.601,5.271,0.051,0.13,0.001,8443.737,81.978,207.678,1.64,30.573,1348.966
1100,1.0,20.397,2.35,3.151,29.144,1.897,1.652,0.733,0.068,0.85,2906.939,5.862,0.059,0.145,0.001,8982.442,90.115,222.09,1.744,28.638,1302.323
1200,1.0,20.92,2.629,3.525,31.99,2.092,1.683,0.751,0.072,0.86,2865.481,6.466,0.067,0.161,0.001,8854.337,91.695,220.069,1.719,26.856,1261.304
1300,1.0,21.788,2.966,3.978,34.868,2.292,1.728,0.783,0.076,0.87,2781.536,7.082,0.076,0.177,0.001,8594.947,91.791,214.735,1.669,26.065,1245.336
1400,1.0,23.459,3.439,4.612,37.779,2.495,1.803,0.843,0.079,0.881,2611.81,7.71,0.085,0.194,0.001,8070.494,88.802,202.676,1.567,26.511,1258.721
1500,1.0,25.787,4.051,5.432,40.723,2.703,1.902,0.926,0.082,0.893,2401.991,8.351,0.095,0.211,0.002,7422.152,84.07,187.355,1.441,26.958,1271.815
1600,1.0,27.323,4.578,6.139,43.699,2.914,1.973,0.981,0.086,0.906,2291.791,9.006,0.105,0.228,0.002,7081.633,82.504,179.676,1.375,27.407,1284.653
1700,1.0,29.575,5.265,7.061,46.708,3.13,2.071,1.062,0.09,0.919,2140.461,9.673,0.116,0.247,0.002,6614.023,79.197,168.668,1.284,27.858,1297.268
1800,1.0,31.005,5.844,7.837,49.75,3.351,2.14,1.114,0.093,0.934,2064.068,10.354,0.127,0.265,0.002,6377.969,78.435,163.474,1.238,28.311,1309.686
1900,1.0,33.203,6.606,8.859,52.825,3.576,2.238,1.193,0.096,0.949,1948.484,11.049,0.139,0.285,0.002,6020.816,75.991,155.099,1.169,28.767,1321.928
2000,1.0,34.546,7.235,9.703,55.932,3.805,2.306,1.241,0.1,0.965,1893.153,11.757,0.152,0.304,0.002,5849.843,75.726,151.452,1.136,29.226,1334.039
2100,1.0,36.707,8.072,10.825,59.072,4.039,2.403,1.319,0.104,0.981,1801.147,12.48,0.166,0.321,0.002,5565.543,73.847,143.371,1.081,29.687,1346.057
2200,1.0,37.978,8.749,11.733,62.244,4.277,2.47,1.364,0.107,0.999,1759.833,13.216,0.18,0.339,0.003,5437.884,73.913,139.379,1.056,30.152,1357.953
2300,1.0,40.113,9.661,12.956,65.45,4.52,2.569,1.441,0.11,1.017,1684.269,13.967,0.194,0.356,0.003,5204.39,72.424,132.72,1.011,30.62,1369.741
2400,1.0,41.323,10.386,13.927,68.688,4.768,2.635,1.484,0.114,1.036,1652.759,14.733,0.21,0.374,0.003,5107.026,72.721,129.576,0.992,31.091,1381.431
2500,1.0,43.444,11.374,15.252,71.958,5.021,2.734,1.56,0.118,1.056,1589.156,15.514,0.226,0.392,0.003,4910.492,71.512,123.954,0.953,31.565,1393.033
2600,1.0,44.241,12.046,16.153,75.11,5.268,2.787,1.589,0.121,1.077,1574.274,16.277,0.242,0.409,0.003,4864.506,72.417,122.164,0.945,31.977,1404.363
