Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,276.391,28.944,38.814,26.331,1.706,10.635,9.928,0.065,0.642,212.184,5.271,0.051,0.13,0.001,655.65,6.366,16.126,0.127,49.808,2699.554
1100,1.0,279.366,32.181,43.155,29.144,1.897,10.754,10.035,0.068,0.65,212.239,5.862,0.059,0.145,0.001,655.818,6.579,16.215,0.127,50.288,2705.912
1200,1.0,282.361,35.483,47.583,31.99,2.092,10.874,10.142,0.072,0.66,212.299,6.466,0.067,0.161,0.001,656.004,6.794,16.305,0.127,50.782,2712.482
1300,1.0,285.372,38.849,52.098,34.868,2.292,10.996,10.251,0.076,0.67,212.368,7.082,0.076,0.177,0.001,656.216,7.008,16.395,0.127,51.286,2719.239
1400,1.0,288.24,42.258,56.669,37.779,2.495,11.114,10.354,0.079,0.681,212.563,7.71,0.085,0.194,0.001,656.821,7.227,16.495,0.128,51.799,2726.197
1500,1.0,291.277,45.754,61.357,40.723,2.703,11.238,10.463,0.082,0.693,212.654,8.351,0.095,0.211,0.002,657.1,7.443,16.587,0.128,52.318,2733.27
1600,1.0,294.322,49.314,66.131,43.699,2.914,11.364,10.572,0.086,0.706,212.758,9.006,0.105,0.228,0.002,657.424,7.659,16.68,0.128,52.843,2740.439
1700,1.0,297.21,52.91,70.954,46.708,3.13,11.485,10.676,0.09,0.719,212.996,9.673,0.116,0.247,0.002,658.158,7.881,16.784,0.128,53.373,2747.7
1800,1.0,300.273,56.6,75.902,49.75,3.351,11.612,10.786,0.093,0.734,213.128,10.354,0.127,0.265,0.002,658.565,8.099,16.88,0.128,53.906,2755.085
1900,1.0,303.341,60.355,80.937,52.825,3.576,11.741,10.896,0.096,0.749,213.276,11.049,0.139,0.285,0.002,659.022,8.318,16.977,0.128,54.443,2762.572
2000,1.0,306.241,64.139,86.012,55.932,3.805,11.865,11.0,0.1,0.765,213.561,11.757,0.152,0.304,0.002,659.903,8.542,17.085,0.128,54.982,2770.125
2100,1.0,309.324,68.024,91.221,59.072,4.039,11.996,11.111,0.104,0.781,213.737,12.48,0.166,0.321,0.002,660.449,8.763,17.014,0.128,55.524,2777.747
2200,1.0,312.411,71.974,96.519,62.244,4.277,12.128,11.222,0.107,0.799,213.93,13.216,0.18,0.339,0.003,661.043,8.985,16.943,0.128,56.068,2785.432
2300,1.0,315.319,75.946,101.846,65.45,4.52,12.254,11.326,0.11,0.817,214.264,13.967,0.194,0.356,0.003,662.075,9.213,16.884,0.129,56.614,2793.197
2400,1.0,318.418,80.027,107.318,68.688,4.768,12.388,11.438,0.114,0.836,214.486,14.733,0.21,0.374,0.003,662.762,9.437,16.816,0.129,57.161,2801.054
2500,1.0,321.523,84.174,112.88,71.958,5.021,12.523,11.549,0.118,0.856,214.724,15.514,0.226,0.392,0.003,663.497,9.663,16.748,0.129,57.71,2808.968
2600,1.0,323.892,88.186,118.26,75.11,5.268,12.632,11.634,0.121,0.877,215.034,16.277,0.242,0.409,0.003,664.456,9.892,16.687,0.129,58.162,2817.768
2700,1.0,326.062,92.192,123.631,78.282,5.518,12.736,11.712,0.124,0.899,215.491,17.052,0.259,0.426,0.003,665.868,10.128,16.636,0.129,58.614,2826.6
2800,1.0,329.026,96.475,129.376,81.607,5.783,12.868,11.819,0.128,0.921,215.786,17.869,0.278,0.444,0.003,666.778,10.358,16.572,0.129,59.144,2834.817
2900,1.0,332.595,101.005,135.45,85.097,6.062,13.023,11.947,0.132,0.944,216.049,18.731,0.297,0.463,0.004,667.593,10.586,16.506,0.13,59.752,2842.439
3000,1.0,336.175,105.613,141.629,88.627,6.346,13.179,12.075,0.135,0.968,216.327,19.61,0.317,0.482,0.004,668.451,10.816,16.441,0.13,60.361,2850.135
3100,1.0,339.614,110.249,147.847,92.16,6.634,13.331,12.199,0.138,0.993,216.631,20.5,0.338,0.502,0.004,669.391,11.048,16.377,0.13,60.95,2858.055
3200,1.0,343.06,114.961,154.165,95.731,6.928,13.484,12.323,0.142,1.019,216.951,21.407,0.36,0.521,0.004,670.377,11.281,16.315,0.13,61.539,2866.052
3300,1.0,346.285,119.668,160.477,99.281,7.223,13.63,12.439,0.146,1.045,217.302,22.32,0.383,0.54,0.004,671.465,11.517,16.254,0.13,62.096,2874.328
3400,1.0,349.285,124.362,166.772,102.806,7.52,13.768,12.546,0.149,1.073,217.687,23.237,0.406,0.559,0.005,672.653,11.755,16.196,0.131,62.621,2882.873
