Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,282.929,29.628,39.732,26.331,1.706,10.87,10.163,0.065,0.642,207.281,5.271,0.051,0.13,0.001,640.498,6.218,15.753,0.124,79.274,3088.335
1100,1.0,285.936,32.937,44.17,29.144,1.897,10.99,10.271,0.068,0.65,207.362,5.862,0.059,0.145,0.001,640.749,6.428,15.842,0.124,79.812,3089.199
1200,1.0,288.998,36.317,48.701,31.99,2.092,11.113,10.381,0.072,0.66,207.423,6.466,0.067,0.161,0.001,640.937,6.638,15.93,0.124,80.368,3090.761
1300,1.0,292.083,39.763,53.323,34.868,2.292,11.237,10.492,0.076,0.67,207.488,7.082,0.076,0.177,0.001,641.139,6.847,16.018,0.124,80.937,3092.752
1400,1.0,295.206,43.279,58.039,37.779,2.495,11.364,10.604,0.079,0.681,207.548,7.71,0.085,0.194,0.001,641.323,7.057,16.106,0.125,81.522,3095.286
1500,1.0,298.347,46.864,62.846,40.723,2.703,11.492,10.717,0.082,0.693,207.615,8.351,0.095,0.211,0.002,641.529,7.267,16.194,0.125,82.118,3098.215
1600,1.0,301.506,50.518,67.746,43.699,2.914,11.622,10.83,0.086,0.706,207.689,9.006,0.105,0.228,0.002,641.76,7.477,16.283,0.125,82.726,3101.536
1700,1.0,304.697,54.243,72.741,46.708,3.13,11.754,10.945,0.09,0.719,207.763,9.673,0.116,0.247,0.002,641.988,7.687,16.372,0.125,83.349,3105.348
1800,1.0,307.896,58.037,77.829,49.75,3.351,11.886,11.06,0.093,0.734,207.851,10.354,0.127,0.265,0.002,642.26,7.898,16.462,0.125,83.983,3109.48
1900,1.0,311.932,62.064,83.23,52.825,3.576,12.05,11.205,0.096,0.749,207.402,11.049,0.139,0.285,0.002,640.873,8.089,16.509,0.124,84.791,3119.963
2000,1.0,315.136,66.002,88.51,55.932,3.805,12.184,11.32,0.1,0.765,207.533,11.757,0.152,0.304,0.002,641.278,8.301,16.603,0.125,85.41,3124.357
2100,1.0,318.345,70.008,93.882,59.072,4.039,12.32,11.435,0.104,0.781,207.681,12.48,0.166,0.321,0.002,641.733,8.515,16.531,0.125,85.971,3128.545
2200,1.0,321.565,74.083,99.347,62.244,4.277,12.457,11.551,0.107,0.799,207.84,13.216,0.18,0.339,0.003,642.226,8.729,16.461,0.125,86.475,3132.576
2300,1.0,324.792,78.228,104.905,65.45,4.52,12.594,11.667,0.11,0.817,208.015,13.967,0.194,0.356,0.003,642.766,8.945,16.392,0.125,86.92,3136.413
2400,1.0,328.028,82.443,110.557,68.688,4.768,12.733,11.783,0.114,0.836,208.202,14.733,0.21,0.374,0.003,643.345,9.161,16.323,0.125,87.321,3140.093
2500,1.0,331.269,86.726,116.301,71.958,5.021,12.873,11.899,0.118,0.856,208.407,15.514,0.226,0.392,0.003,643.977,9.378,16.256,0.125,87.684,3143.569
2600,1.0,333.742,90.868,121.857,75.11,5.268,12.986,11.988,0.121,0.877,208.688,16.277,0.242,0.409,0.003,644.845,9.6,16.194,0.125,87.871,3147.717
2700,1.0,336.214,95.062,127.481,78.282,5.518,13.1,12.077,0.124,0.899,208.984,17.052,0.259,0.426,0.003,645.761,9.822,16.134,0.125,88.021,3151.674
2800,1.0,339.296,99.487,133.414,81.607,5.783,13.237,12.188,0.128,0.921,209.254,17.869,0.278,0.444,0.003,646.596,10.044,16.071,0.126,88.256,3154.688
2900,1.0,343.002,104.165,139.688,85.097,6.062,13.397,12.321,0.132,0.944,209.494,18.731,0.297,0.463,0.004,647.338,10.265,16.005,0.126,88.589,3156.836
3000,1.0,346.716,108.924,146.069,88.627,6.346,13.558,12.454,0.135,0.968,209.751,19.61,0.317,0.482,0.004,648.129,10.488,15.941,0.126,88.893,3158.835
3100,1.0,350.274,113.71,152.487,92.16,6.634,13.714,12.582,0.138,0.993,210.038,20.5,0.338,0.502,0.004,649.019,10.712,15.879,0.126,89.132,3160.82
3200,1.0,354.391,118.757,159.256,95.731,6.928,13.891,12.73,0.142,1.019,210.014,21.407,0.36,0.521,0.004,648.944,10.921,15.793,0.126,89.339,3163.274
3300,1.0,357.712,123.616,165.772,99.281,7.223,14.04,12.849,0.146,1.045,210.361,22.32,0.383,0.54,0.004,650.015,11.149,15.735,0.126,89.486,3164.951
3400,1.0,360.791,128.459,172.266,102.806,7.52,14.181,12.96,0.149,1.073,210.745,23.237,0.406,0.559,0.005,651.201,11.38,15.679,0.126,89.557,3166.711
3500,1.0,363.872,133.366,178.847,106.361,7.822,14.324,13.07,0.152,1.101,211.145,24.17,0.43,0.579,0.005,652.437,11.613,15.625,0.127,89.603,3168.465
3600,1.0,366.305,138.094,185.187,109.778,8.117,14.443,13.158,0.156,1.13,211.612,25.082,0.455,0.597,0.005,653.88,11.85,15.575,0.127,89.503,3170.839
3700,1.0,368.726,142.868,191.589,113.216,8.417,14.564,13.245,0.159,1.159,212.099,26.009,0.48,0.616,0.005,655.387,12.09,15.526,0.127,89.387,3173.07
3800,1.0,370.974,147.624,197.967,116.631,8.719,14.678,13.325,0.163,1.19,212.619,26.941,0.506,0.635,0.005,656.994,12.332,15.479,0.128,89.224,3175.436
3900,1.0,373.045,152.354,204.31,120.019,9.022,14.787,13.4,0.166,1.221,213.174,27.877,0.532,0.653,0.005,658.706,12.577,15.434,0.128,89.01,3177.94
4000,1.0,375.106,157.124,210.707,123.424,9.329,14.897,13.474,0.17,1.253,213.746,28.827,0.56,0.672,0.006,660.475,12.825,15.39,0.128,88.778,3180.355
4100,1.0,375.276,161.125,216.073,126.653,9.594,14.94,13.48,0.174,1.286,214.368,29.647,0.58,0.689,0.006,662.397,12.948,15.4,0.129,88.2,3176.431
4200,1.0,375.405,165.112,221.419,129.889,9.862,14.982,13.485,0.177,1.32,215.016,30.472,0.6,0.707,0.006,664.401,13.073,15.412,0.129,87.608,3172.416
4300,1.0,375.245,168.971,226.594,133.057,10.125,15.014,13.479,0.18,1.355,215.711,31.285,0.62,0.724,0.006,666.548,13.202,15.428,0.129,86.962,3168.456
4400,1.0,374.794,172.693,231.585,136.151,10.383,15.037,13.463,0.184,1.39,216.455,32.085,0.64,0.741,0.006,668.846,13.334,15.446,0.13,86.267,3164.774
4500,1.0,374.729,176.587,236.807,139.246,10.643,15.074,13.46,0.187,1.426,216.979,32.888,0.66,0.758,0.006,670.466,13.453,15.449,0.13,85.563,3160.968
4600,1.0,373.94,180.131,241.56,142.259,10.898,15.086,13.432,0.191,1.463,217.803,33.675,0.68,0.774,0.007,673.012,13.591,15.473,0.131,84.81,3157.302
