Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,272.993,28.588,38.337,26.331,1.706,10.713,9.806,0.065,0.842,214.825,5.271,0.051,0.13,0.001,663.81,6.445,16.327,0.129,52.054,2728.909
1100,1.0,276.143,31.809,42.657,29.144,1.897,10.838,9.919,0.068,0.85,214.716,5.862,0.059,0.145,0.001,663.472,6.656,16.404,0.129,52.778,2738.163
1200,1.0,279.307,35.099,47.068,31.99,2.092,10.965,10.033,0.072,0.86,214.62,6.466,0.067,0.161,0.001,663.176,6.868,16.483,0.129,53.515,2747.587
1300,1.0,282.484,38.456,51.571,34.868,2.292,11.093,10.147,0.076,0.87,214.539,7.082,0.076,0.177,0.001,662.927,7.08,16.562,0.129,54.269,2757.232
1400,1.0,285.668,41.881,56.164,37.779,2.495,11.222,10.261,0.079,0.881,214.477,7.71,0.085,0.194,0.001,662.733,7.292,16.643,0.129,55.032,2767.012
1500,1.0,288.859,45.374,60.847,40.723,2.703,11.351,10.376,0.082,0.893,214.434,8.351,0.095,0.211,0.002,662.6,7.505,16.726,0.129,55.802,2776.885
1600,1.0,292.055,48.934,65.622,43.699,2.914,11.482,10.491,0.086,0.906,214.41,9.006,0.105,0.228,0.002,662.528,7.719,16.81,0.129,56.585,2786.838
1700,1.0,295.254,52.562,70.487,46.708,3.13,11.614,10.606,0.09,0.919,214.408,9.673,0.116,0.247,0.002,662.52,7.933,16.895,0.129,57.372,2796.907
1800,1.0,298.454,56.257,75.442,49.75,3.351,11.747,10.721,0.093,0.934,214.427,10.354,0.127,0.265,0.002,662.579,8.148,16.983,0.129,58.167,2807.071
1900,1.0,301.658,60.02,80.488,52.825,3.576,11.881,10.836,0.096,0.949,214.466,11.049,0.139,0.285,0.002,662.7,8.364,17.072,0.129,58.968,2817.287
2000,1.0,304.863,63.85,85.625,55.932,3.805,12.015,10.951,0.1,0.965,214.527,11.757,0.152,0.304,0.002,662.887,8.581,17.162,0.129,59.772,2827.535
2100,1.0,308.068,67.748,90.851,59.072,4.039,12.151,11.066,0.104,0.981,214.608,12.48,0.166,0.321,0.002,663.14,8.799,17.083,0.129,60.585,2837.918
2200,1.0,311.276,71.713,96.168,62.244,4.277,12.287,11.181,0.107,0.999,214.71,13.216,0.18,0.339,0.003,663.455,9.018,17.005,0.129,61.401,2848.344
2300,1.0,314.482,75.745,101.575,65.45,4.52,12.424,11.296,0.11,1.017,214.834,13.967,0.194,0.356,0.003,663.838,9.238,16.929,0.129,62.219,2858.772
2400,1.0,317.925,79.903,107.152,68.688,4.768,12.57,11.42,0.114,1.036,214.819,14.733,0.21,0.374,0.003,663.791,9.452,16.842,0.129,63.047,2869.326
2500,1.0,321.14,84.074,112.746,71.958,5.021,12.709,11.535,0.118,1.056,214.98,15.514,0.226,0.392,0.003,664.287,9.674,16.768,0.129,63.875,2879.915
2600,1.0,323.605,88.108,118.155,75.11,5.268,12.822,11.624,0.121,1.077,215.225,16.277,0.242,0.409,0.003,665.046,9.9,16.701,0.129,64.596,2891.354
2700,1.0,326.061,92.191,123.631,78.282,5.518,12.935,11.712,0.124,1.099,215.492,17.052,0.259,0.426,0.003,665.87,10.128,16.636,0.129,65.324,2902.926
2800,1.0,329.119,96.503,129.412,81.607,5.783,13.071,11.822,0.128,1.121,215.725,17.869,0.278,0.444,0.003,666.59,10.355,16.568,0.129,66.138,2913.804
2900,1.0,332.785,101.063,135.527,85.097,6.062,13.23,11.954,0.132,1.144,215.926,18.731,0.297,0.463,0.004,667.212,10.58,16.497,0.13,67.043,2924.073
3000,1.0,336.726,105.785,141.861,88.627,6.346,13.399,12.095,0.135,1.168,215.974,19.61,0.317,0.482,0.004,667.358,10.799,16.414,0.13,67.958,2934.429
3100,1.0,340.258,110.458,148.127,92.16,6.634,13.554,12.222,0.138,1.193,216.221,20.5,0.338,0.502,0.004,668.124,11.027,16.346,0.13,68.851,2944.956
3200,1.0,343.794,115.206,154.494,95.731,6.928,13.71,12.349,0.142,1.219,216.488,21.407,0.36,0.521,0.004,668.947,11.257,16.28,0.13,69.744,2955.614
3300,1.0,347.095,119.947,160.852,99.281,7.223,13.859,12.468,0.146,1.245,216.795,22.32,0.383,0.54,0.004,669.898,11.49,16.216,0.13,70.611,2966.471
3400,1.0,350.461,124.781,167.334,102.806,7.52,14.01,12.589,0.149,1.273,216.956,23.237,0.406,0.559,0.005,670.396,11.716,16.142,0.13,71.444,2977.722
3500,1.0,353.538,129.579,173.768,106.361,7.822,14.152,12.699,0.152,1.301,217.316,24.17,0.43,0.579,0.005,671.507,11.952,16.081,0.13,72.276,2988.913
3600,1.0,355.979,134.201,179.966,109.778,8.117,14.272,12.787,0.156,1.33,217.75,25.082,0.455,0.597,0.005,672.848,12.194,16.026,0.131,73.013,3000.831
3700,1.0,358.725,138.993,186.392,113.216,8.417,14.404,12.885,0.159,1.359,218.012,26.009,0.48,0.616,0.005,673.658,12.427,15.959,0.131,73.755,3012.731
3800,1.0,360.999,143.654,192.644,116.631,8.719,14.52,12.967,0.163,1.39,218.494,26.941,0.506,0.635,0.005,675.147,12.673,15.906,0.131,74.469,3024.825
3900,1.0,363.423,148.424,199.04,120.019,9.022,14.642,13.054,0.166,1.421,218.818,27.877,0.532,0.653,0.005,676.147,12.91,15.842,0.131,75.155,3037.108
4000,1.0,365.525,153.111,205.325,123.424,9.329,14.753,13.13,0.17,1.453,219.349,28.827,0.56,0.672,0.006,677.789,13.161,15.793,0.132,75.838,3049.339
4100,1.0,366.094,157.183,210.786,126.653,9.594,14.81,13.15,0.174,1.486,219.745,29.647,0.58,0.689,0.006,679.011,13.273,15.786,0.132,76.256,3055.693
4200,1.0,366.319,161.116,216.06,129.889,9.862,14.855,13.158,0.177,1.52,220.349,30.472,0.6,0.707,0.006,680.88,13.397,15.795,0.132,76.67,3061.946
4300,1.0,366.599,165.078,221.373,133.057,10.125,14.903,13.168,0.18,1.555,220.799,31.285,0.62,0.724,0.006,682.269,13.513,15.792,0.132,77.044,3068.437
4400,1.0,366.288,168.773,226.329,136.151,10.383,14.931,13.157,0.184,1.59,221.482,32.085,0.64,0.741,0.006,684.379,13.643,15.805,0.133,77.378,3075.169
4500,1.0,365.875,172.415,231.212,139.246,10.643,14.956,13.142,0.187,1.626,222.23,32.888,0.66,0.758,0.006,686.691,13.778,15.823,0.133,77.406,3078.736
4600,1.0,365.039,175.843,235.81,142.259,10.898,14.966,13.112,0.191,1.663,223.114,33.675,0.68,0.774,0.007,689.423,13.922,15.85,0.134,76.531,3073.714
4700,1.0,363.833,179.072,240.14,145.27,11.154,14.964,13.069,0.194,1.701,224.232,34.465,0.7,0.791,0.007,692.878,14.082,15.894,0.135,75.661,3068.723
4800,1.0,362.581,182.253,244.405,148.277,11.41,14.961,13.024,0.198,1.739,225.388,35.258,0.721,0.807,0.007,696.449,14.245,15.939,0.135,74.797,3063.766
4900,1.0,361.591,185.542,248.816,151.28,11.668,14.969,12.988,0.202,1.779,226.389,36.054,0.742,0.823,0.007,699.542,14.398,15.974,0.136,73.939,3058.936
5000,1.0,360.253,188.628,252.955,154.28,11.926,14.964,12.94,0.205,1.819,227.617,36.852,0.763,0.84,0.007,703.336,14.567,16.024,0.137,73.088,3054.139
