Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,284.421,29.785,39.942,26.331,1.706,10.923,10.216,0.065,0.642,206.194,5.271,0.051,0.13,0.001,637.138,6.186,15.671,0.124,78.709,3066.335
1100,1.0,287.484,33.116,44.409,29.144,1.897,11.045,10.326,0.068,0.65,206.245,5.862,0.059,0.145,0.001,637.298,6.394,15.757,0.124,79.417,3073.913
1200,1.0,289.67,36.401,48.815,31.99,2.092,11.137,10.405,0.072,0.66,206.942,6.466,0.067,0.161,0.001,639.45,6.622,15.893,0.124,79.955,3074.86
1300,1.0,293.186,39.913,53.524,34.868,2.292,11.277,10.531,0.076,0.67,206.708,7.082,0.076,0.177,0.001,638.727,6.821,15.958,0.124,80.724,3084.602
1400,1.0,295.94,43.387,58.183,37.779,2.495,11.39,10.63,0.079,0.681,207.033,7.71,0.085,0.194,0.001,639.732,7.039,16.066,0.124,81.223,3083.93
1500,1.0,299.606,47.062,63.111,40.723,2.703,11.538,10.762,0.082,0.693,206.742,8.351,0.095,0.211,0.002,638.833,7.236,16.126,0.124,81.914,3090.519
1600,1.0,303.18,50.798,68.122,43.699,2.914,11.682,10.89,0.086,0.706,206.542,9.006,0.105,0.228,0.002,638.215,7.436,16.193,0.124,82.567,3096.524
1700,1.0,306.042,54.483,73.063,46.708,3.13,11.802,10.993,0.09,0.719,206.85,9.673,0.116,0.247,0.002,639.165,7.653,16.3,0.124,83.025,3097.138
1800,1.0,309.625,58.363,78.266,49.75,3.351,11.948,11.122,0.093,0.734,206.691,10.354,0.127,0.265,0.002,638.675,7.854,16.37,0.124,83.465,3102.161
1900,1.0,312.513,62.18,83.385,52.825,3.576,12.071,11.225,0.096,0.749,207.017,11.049,0.139,0.285,0.002,639.682,8.074,16.479,0.124,83.787,3102.565
2000,1.0,316.061,66.196,88.77,55.932,3.805,12.218,11.353,0.1,0.765,206.926,11.757,0.152,0.304,0.002,639.4,8.277,16.554,0.124,84.047,3106.275
2100,1.0,319.57,70.277,94.243,59.072,4.039,12.364,11.479,0.104,0.781,206.885,12.48,0.166,0.321,0.002,639.273,8.482,16.468,0.124,84.271,3109.002
2200,1.0,322.495,74.298,99.635,62.244,4.277,12.49,11.584,0.107,0.799,207.241,13.216,0.18,0.339,0.003,640.373,8.704,16.413,0.124,84.437,3109.017
2300,1.0,325.976,78.513,105.288,65.45,4.52,12.637,11.709,0.11,0.817,207.259,13.967,0.194,0.356,0.003,640.43,8.912,16.332,0.124,84.553,3110.614
2400,1.0,328.887,82.658,110.847,68.688,4.768,12.764,11.814,0.114,0.836,207.659,14.733,0.21,0.374,0.003,641.665,9.137,16.28,0.125,84.629,3110.244
2500,1.0,332.346,87.008,116.68,71.958,5.021,12.912,11.938,0.118,0.856,207.731,15.514,0.226,0.392,0.003,641.89,9.348,16.203,0.125,84.651,3110.85
2600,1.0,334.991,91.209,122.313,75.11,5.268,13.031,12.033,0.121,0.877,207.91,16.277,0.242,0.409,0.003,642.44,9.564,16.134,0.125,84.499,3111.502
2700,1.0,337.12,95.318,127.824,78.282,5.518,13.133,12.109,0.124,0.899,208.423,17.052,0.259,0.426,0.003,644.026,9.796,16.09,0.125,84.298,3111.56
2800,1.0,340.34,99.793,133.824,81.607,5.783,13.274,12.225,0.128,0.921,208.613,17.869,0.278,0.444,0.003,644.613,10.013,16.021,0.125,84.186,3110.761
2900,1.0,343.68,104.371,139.964,85.097,6.062,13.421,12.345,0.132,0.944,209.081,18.731,0.297,0.463,0.004,646.061,10.245,15.974,0.125,84.147,3109.115
3000,1.0,347.484,109.165,146.393,88.627,6.346,13.585,12.482,0.135,0.968,209.287,19.61,0.317,0.482,0.004,646.697,10.464,15.906,0.126,84.08,3107.345
3100,1.0,351.097,113.977,152.846,92.16,6.634,13.743,12.611,0.138,0.993,209.546,20.5,0.338,0.502,0.004,647.498,10.687,15.842,0.126,83.946,3105.654
3200,1.0,354.26,118.714,159.198,95.731,6.928,13.886,12.725,0.142,1.019,210.092,21.407,0.36,0.521,0.004,649.184,10.925,15.799,0.126,83.792,3103.937
3300,1.0,357.6,123.578,165.72,99.281,7.223,14.036,12.845,0.146,1.045,210.427,22.32,0.383,0.54,0.004,650.219,11.153,15.74,0.126,83.557,3102.393
3400,1.0,360.248,128.265,172.006,102.806,7.52,14.162,12.94,0.149,1.073,211.063,23.237,0.406,0.559,0.005,652.184,11.397,15.703,0.127,83.268,3101.018
3500,1.0,363.302,133.157,178.567,106.361,7.822,14.303,13.05,0.152,1.101,211.476,24.17,0.43,0.579,0.005,653.461,11.631,15.649,0.127,82.95,3099.614
3600,1.0,365.677,137.857,184.869,109.778,8.117,14.421,13.135,0.156,1.13,211.975,25.082,0.455,0.597,0.005,655.003,11.871,15.601,0.127,82.503,3098.818
3700,1.0,367.628,142.442,191.018,113.216,8.417,14.524,13.205,0.159,1.159,212.733,26.009,0.48,0.616,0.005,657.344,12.126,15.572,0.128,82.043,3097.982
3800,1.0,369.776,147.147,197.327,116.631,8.719,14.635,13.282,0.163,1.19,213.309,26.941,0.506,0.635,0.005,659.123,12.372,15.529,0.128,81.534,3097.276
3900,1.0,371.347,151.661,203.38,120.019,9.022,14.726,13.339,0.166,1.221,214.148,27.877,0.532,0.653,0.005,661.718,12.635,15.504,0.128,80.99,3096.73
4000,1.0,373.269,156.355,209.675,123.424,9.329,14.831,13.408,0.17,1.253,214.798,28.827,0.56,0.672,0.006,663.726,12.888,15.465,0.129,80.437,3096.215
4100,1.0,373.271,160.264,214.918,126.653,9.594,14.868,13.408,0.174,1.286,215.52,29.647,0.58,0.689,0.006,665.956,13.017,15.483,0.129,79.575,3089.493
4200,1.0,372.864,163.994,219.92,129.889,9.862,14.89,13.393,0.177,1.32,216.482,30.472,0.6,0.707,0.006,668.928,13.162,15.517,0.13,78.708,3082.737
4300,1.0,372.503,167.736,224.938,133.057,10.125,14.915,13.38,0.18,1.355,217.299,31.285,0.62,0.724,0.006,671.455,13.299,15.541,0.13,77.807,3076.203
4400,1.0,371.504,171.177,229.552,136.151,10.383,14.918,13.344,0.184,1.39,218.373,32.085,0.64,0.741,0.006,674.771,13.452,15.583,0.131,76.864,3069.897
4500,1.0,370.778,174.725,234.31,139.246,10.643,14.932,13.318,0.187,1.426,219.292,32.888,0.66,0.758,0.006,677.611,13.596,15.614,0.132,75.921,3063.585
4600,1.0,369.736,178.106,238.844,142.259,10.898,14.935,13.281,0.191,1.463,220.28,33.675,0.68,0.774,0.007,680.665,13.745,15.649,0.132,74.943,3057.503
4700,1.0,368.338,181.29,243.114,145.27,11.154,14.926,13.231,0.194,1.501,221.49,34.465,0.7,0.791,0.007,684.403,13.91,15.699,0.133,73.975,3051.467
4800,1.0,367.182,184.566,247.507,148.277,11.41,14.927,13.189,0.198,1.539,222.563,35.258,0.721,0.807,0.007,687.721,14.066,15.74,0.134,73.012,3045.459
4900,1.0,365.677,187.639,251.628,151.28,11.668,14.916,13.135,0.202,1.579,223.859,36.054,0.742,0.823,0.007,691.725,14.237,15.795,0.134,72.053,3039.486
5000,1.0,364.406,190.802,255.87,154.28,11.926,14.914,13.089,0.205,1.619,225.023,36.852,0.763,0.84,0.007,695.321,14.401,15.842,0.135,71.1,3033.566
5100,1.0,362.236,193.46,259.434,157.276,12.158,14.88,13.012,0.208,1.66,226.243,37.568,0.778,0.856,0.007,699.089,14.48,15.927,0.136,70.041,3023.144
5200,1.0,359.747,195.898,262.703,160.269,12.389,14.836,12.922,0.212,1.702,227.678,38.283,0.793,0.872,0.007,703.526,14.571,16.029,0.137,68.993,3012.782
5300,1.0,357.463,198.397,266.055,163.258,12.62,14.8,12.84,0.215,1.745,229.003,38.997,0.808,0.888,0.008,707.619,14.656,16.122,0.137,67.959,3002.496
5400,1.0,354.877,200.678,269.114,166.244,12.851,14.754,12.747,0.219,1.788,230.541,39.71,0.822,0.905,0.008,712.37,14.755,16.23,0.138,66.938,2992.307
5500,1.0,352.484,203.016,272.249,169.226,13.082,14.716,12.661,0.222,1.832,231.973,40.423,0.837,0.921,0.008,716.798,14.846,16.331,0.139,65.929,2982.196
5600,1.0,350.032,205.269,275.271,172.205,13.312,14.677,12.573,0.226,1.877,233.466,41.134,0.852,0.937,0.008,721.409,14.942,16.436,0.14,64.933,2972.182
5700,1.0,347.305,207.307,278.003,175.18,13.542,14.628,12.475,0.229,1.923,235.165,41.845,0.867,0.953,0.008,726.66,15.051,16.556,0.141,63.95,2962.268
5800,1.0,344.748,209.391,280.798,178.152,13.772,14.586,12.383,0.233,1.97,236.774,42.555,0.881,0.97,0.008,731.631,15.154,16.669,0.142,62.98,2952.449
5900,1.0,341.931,211.261,283.305,181.12,14.001,14.536,12.282,0.236,2.018,238.589,43.264,0.896,0.986,0.008,737.239,15.27,16.797,0.143,62.024,2942.748
6000,1.0,339.275,213.173,285.87,184.085,14.23,14.493,12.187,0.24,2.066,240.319,43.972,0.911,1.002,0.009,742.585,15.38,16.918,0.144,61.082,2933.15
6100,1.0,336.565,214.995,288.313,187.046,14.459,14.448,12.089,0.243,2.115,242.116,44.679,0.925,1.018,0.009,748.137,15.495,17.045,0.145,60.154,2923.662
6200,1.0,333.618,216.605,290.473,190.004,14.688,14.396,11.984,0.247,2.165,244.115,45.386,0.94,1.034,0.009,754.316,15.623,17.186,0.146,59.24,2914.295
6300,1.0,330.813,218.249,292.676,192.958,14.916,14.349,11.883,0.25,2.216,246.044,46.091,0.955,1.05,0.009,760.277,15.747,17.322,0.148,58.34,2905.036
