Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,-34.959,-3.661,-4.909,26.331,1.706,-0.349,-1.256,0.065,0.842,6141376957270.339,5.271,0.051,0.13,0.001,18976854797965.35,184241308718.11,466744648752.546,3684826174.362,15.68,690.782
1100,1.0,-34.648,-3.991,-5.352,29.144,1.897,-0.326,-1.245,0.068,0.85,6829979475714.192,5.862,0.059,0.145,0.001,21104636579956.855,211729363747.14,521810431944.564,4097987685.429,15.68,686.32
1200,1.0,-34.326,-4.314,-5.785,31.99,2.092,-0.301,-1.233,0.072,0.86,7532902152372.812,6.466,0.067,0.161,0.001,23276667650831.99,241052868875.93,578526885302.232,4519741291.424,15.68,681.911
1300,1.0,-34.09,-4.641,-6.224,34.868,2.292,-0.279,-1.225,0.076,0.87,8250352525771.059,7.082,0.076,0.177,0.001,25493589304632.57,272261633350.445,636927214989.526,4950211515.463,15.68,677.554
1400,1.0,-33.889,-4.968,-6.663,37.779,2.495,-0.257,-1.217,0.079,0.881,8982542164308.047,7.71,0.085,0.194,0.001,27756055287711.867,305406433586.474,697045271950.304,5389525298.585,15.68,673.248
1500,1.0,-33.659,-5.287,-7.09,40.723,2.703,-0.233,-1.209,0.082,0.893,9729686764546.793,8.351,0.095,0.211,0.002,30064732102449.58,340539036759.138,758915567634.65,5837812058.728,15.68,668.992
1600,1.0,-33.52,-5.616,-7.532,43.699,2.914,-0.212,-1.204,0.086,0.906,10492006252394.658,9.006,0.105,0.228,0.002,32420299319899.49,377712225086.208,822573290187.741,6295203751.437,15.68,664.785
1700,1.0,-33.341,-5.936,-7.96,46.708,3.13,-0.189,-1.198,0.09,0.919,11269724887274.451,9.673,0.116,0.247,0.002,34823449901678.05,416979820829.154,888054321117.227,6761834932.365,15.68,660.825
1800,1.0,-33.261,-6.27,-8.408,49.75,3.351,-0.168,-1.195,0.093,0.934,12063071369389.611,10.354,0.127,0.265,0.002,37274890531413.91,458396712036.805,955395252455.657,7237842821.634,15.839,665.234
1900,1.0,-33.129,-6.592,-8.84,52.825,3.576,-0.145,-1.19,0.096,0.949,12872278950191.42,11.049,0.139,0.285,0.002,39775341956091.49,502018879057.466,1024633404435.237,7723367370.115,16.047,669.629
