Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,248.369,26.009,34.879,9.197,8.921,0.037,0.238,258.261,26.331,1.866,5.766,0.09,0.143,0.001,798.026,12.397,19.834,0.155,51.568,2558.554,2.182,1.042,-7.975,0.907,8.668,16.857,24.181,15.95,0.216,8.406,1.562,0.517,0.536,34.1
1100,1.0,0.958,252.105,29.04,38.944,9.34,9.056,0.038,0.246,256.547,29.144,2.07,6.395,0.1,0.159,0.001,792.73,12.417,19.662,0.154,52.118,2570.226,1.972,1.044,-7.974,0.894,8.643,16.82,24.133,15.926,0.217,9.261,1.575,0.513,0.545,34.344
1200,1.0,0.956,256.469,32.229,43.22,9.506,9.212,0.038,0.255,254.269,31.99,2.276,7.034,0.111,0.174,0.001,785.69,12.408,19.446,0.153,52.674,2581.414,1.785,1.046,-7.974,0.878,8.612,16.774,24.073,15.896,0.217,10.122,1.587,0.503,0.554,34.667
1300,1.0,0.954,259.933,35.386,47.454,9.64,9.337,0.039,0.264,252.948,34.868,2.486,7.683,0.122,0.19,0.001,781.609,12.445,19.305,0.152,53.235,2592.176,1.637,1.048,-7.973,0.859,8.576,16.72,24.004,15.861,0.217,10.989,1.6,0.5,0.562,34.87
1400,1.0,0.952,263.293,38.601,51.765,9.772,9.458,0.04,0.274,251.77,37.779,2.7,8.342,0.134,0.206,0.002,777.968,12.488,19.175,0.151,53.801,2602.564,1.511,1.05,-7.973,0.838,8.537,16.662,23.927,15.823,0.218,11.863,1.614,0.498,0.57,35.058
1500,1.0,0.95,267.325,41.991,56.311,9.928,9.602,0.04,0.285,250.0,40.723,2.916,9.011,0.146,0.222,0.002,772.5,12.5,19.0,0.15,54.37,2612.618,1.392,1.053,-7.972,0.816,8.495,16.599,23.846,15.782,0.218,12.744,1.626,0.49,0.579,35.33
1600,1.0,0.948,270.519,45.326,60.783,10.055,9.717,0.041,0.297,249.06,43.699,3.136,9.69,0.158,0.238,0.002,769.596,12.553,18.889,0.149,54.942,2622.383,1.297,1.055,-7.971,0.793,8.451,16.532,23.76,15.739,0.219,13.63,1.64,0.489,0.586,35.493
1700,1.0,0.946,273.644,48.715,65.328,10.18,9.829,0.042,0.309,248.214,46.708,3.359,10.379,0.171,0.254,0.002,766.98,12.609,18.785,0.149,55.517,2631.873,1.213,1.057,-7.971,0.769,8.405,16.463,23.67,15.695,0.219,14.523,1.654,0.488,0.594,35.646
1800,1.0,0.944,277.462,52.3,70.136,10.331,9.966,0.043,0.322,246.776,49.75,3.585,11.078,0.184,0.271,0.002,762.538,12.635,18.637,0.148,56.094,2641.111,1.131,1.059,-7.97,0.744,8.358,16.392,23.578,15.649,0.219,15.423,1.666,0.481,0.602,35.884
1900,1.0,0.942,280.472,55.805,74.836,10.454,10.075,0.043,0.336,246.092,52.825,3.815,11.788,0.197,0.287,0.002,760.426,12.698,18.546,0.148,56.675,2650.125,1.065,1.062,-7.97,0.718,8.309,16.32,23.484,15.602,0.22,16.329,1.68,0.481,0.61,36.02
2000,1.0,0.94,283.433,59.362,79.606,10.575,10.181,0.044,0.35,245.475,55.932,4.048,12.508,0.21,0.304,0.002,758.517,12.765,18.46,0.147,57.26,2658.935,1.005,1.064,-7.969,0.692,8.26,16.246,23.388,15.554,0.22,17.241,1.694,0.481,0.617,36.149
2100,1.0,0.938,287.103,63.137,84.668,10.723,10.313,0.045,0.365,244.274,59.072,4.284,13.238,0.224,0.321,0.003,754.806,12.8,18.33,0.147,57.847,2667.623,0.945,1.066,-7.969,0.666,8.21,16.171,23.291,15.506,0.22,18.159,1.707,0.475,0.625,36.364
2200,1.0,0.936,289.979,66.806,89.589,10.843,10.416,0.045,0.381,243.776,62.244,4.524,13.979,0.239,0.339,0.003,753.268,12.871,18.254,0.146,58.436,2676.196,0.896,1.068,-7.968,0.639,8.159,16.096,23.193,15.457,0.22,19.084,1.721,0.475,0.632,36.48
2300,1.0,0.934,293.568,70.707,94.82,10.989,10.545,0.046,0.398,242.706,65.45,4.767,14.73,0.254,0.356,0.003,749.961,12.912,18.135,0.146,59.028,2684.614,0.846,1.071,-7.968,0.612,8.108,16.019,23.094,15.407,0.221,20.016,1.734,0.469,0.641,36.682
2400,1.0,0.932,296.375,74.487,99.889,11.108,10.646,0.047,0.416,242.307,68.688,5.014,15.492,0.269,0.374,0.003,748.729,12.988,18.066,0.145,59.622,2692.874,0.805,1.073,-7.967,0.585,8.057,15.942,22.994,15.358,0.221,20.953,1.748,0.47,0.648,36.788
2500,1.0,0.93,299.146,78.316,105.024,11.227,10.745,0.048,0.434,241.953,71.958,5.264,16.264,0.284,0.392,0.003,747.634,13.065,18.001,0.145,60.218,2700.981,0.768,1.075,-7.967,0.558,8.006,15.865,22.894,15.308,0.221,21.898,1.762,0.471,0.655,36.89
2600,1.0,0.928,301.881,82.193,110.223,11.344,10.844,0.048,0.453,241.155,75.11,5.506,17.013,0.3,0.409,0.003,745.169,13.119,17.903,0.145,60.704,2709.308,0.733,1.078,-7.966,0.53,7.954,15.788,22.794,15.258,0.221,22.848,1.772,0.465,0.661,37.062
2700,1.0,0.926,303.834,85.907,115.203,11.435,10.914,0.049,0.472,240.996,78.282,5.751,17.77,0.315,0.426,0.003,744.676,13.207,17.853,0.145,61.19,2717.682,0.705,1.08,-7.966,0.503,7.902,15.711,22.694,15.208,0.222,23.805,1.783,0.465,0.667,37.142
2800,1.0,0.924,307.115,90.051,120.76,11.574,11.032,0.05,0.493,240.188,81.607,6.008,18.565,0.332,0.444,0.004,742.182,13.258,17.755,0.144,61.77,2725.641,0.671,1.082,-7.965,0.475,7.85,15.633,22.593,15.158,0.222,24.768,1.795,0.46,0.675,37.316
2900,1.0,0.922,310.237,94.215,126.344,11.708,11.144,0.05,0.514,239.91,85.097,6.279,19.401,0.349,0.463,0.004,741.322,13.339,17.696,0.144,62.445,2733.195,0.642,1.085,-7.965,0.448,7.799,15.555,22.493,15.108,0.222,25.738,1.812,0.462,0.683,37.412
3000,1.0,0.92,313.336,98.437,132.007,11.842,11.255,0.051,0.536,239.664,88.627,6.553,20.25,0.367,0.482,0.004,740.562,13.421,17.639,0.144,63.123,2740.646,0.615,1.087,-7.964,0.421,7.747,15.478,22.392,15.057,0.222,26.714,1.829,0.463,0.69,37.504
3100,1.0,0.918,317.016,102.913,138.009,11.997,11.387,0.052,0.558,238.899,92.16,6.829,21.103,0.385,0.502,0.004,738.199,13.474,17.545,0.143,63.78,2748.077,0.585,1.089,-7.964,0.393,7.695,15.401,22.292,15.007,0.222,27.697,1.843,0.458,0.7,37.675
3200,1.0,0.916,319.924,107.208,143.768,12.126,11.492,0.052,0.582,238.735,95.731,7.11,21.968,0.404,0.521,0.004,737.693,13.56,17.495,0.143,64.44,2755.579,0.562,1.092,-7.963,0.366,7.643,15.323,22.192,14.958,0.222,28.685,1.859,0.46,0.707,37.759
3300,1.0,0.914,323.334,111.736,149.841,12.273,11.614,0.053,0.606,238.075,99.281,7.389,22.833,0.423,0.54,0.004,735.651,13.618,17.408,0.143,65.068,2763.084,0.537,1.094,-7.963,0.339,7.592,15.246,22.092,14.908,0.222,29.681,1.873,0.455,0.716,37.919
3400,1.0,0.912,325.741,115.979,155.531,12.385,11.701,0.054,0.631,238.028,102.806,7.668,23.695,0.442,0.559,0.005,735.507,13.71,17.367,0.143,65.663,2770.603,0.519,1.096,-7.962,0.311,7.541,15.169,21.992,14.858,0.222,30.682,1.887,0.457,0.722,37.99
3500,1.0,0.91,328.126,120.265,161.277,12.497,11.786,0.054,0.656,238.006,106.361,7.951,24.569,0.461,0.579,0.005,735.439,13.804,17.327,0.143,66.26,2778.03,0.502,1.099,-7.962,0.284,7.489,15.093,21.893,14.809,0.222,31.69,1.902,0.458,0.729,38.058
