Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.96,265.873,27.842,37.337,9.196,9.55,0.037,-0.391,241.258,26.331,1.866,5.766,0.09,0.143,0.001,745.486,11.58,18.529,0.145,52.028,2561.537,2.22,1.042,-8.265,0.616,8.377,16.566,23.89,15.95,0.216,8.407,1.562,0.519,0.536,34.098
1100,1.0,0.958,270.224,31.128,41.743,9.369,9.706,0.038,-0.376,239.345,29.144,2.07,6.395,0.1,0.159,0.001,739.577,11.584,18.343,0.144,52.568,2573.134,1.991,1.044,-8.255,0.613,8.361,16.538,23.851,15.926,0.217,9.261,1.574,0.509,0.546,34.45
1200,1.0,0.956,273.636,34.386,46.113,9.508,9.829,0.038,-0.36,238.316,31.99,2.276,7.034,0.111,0.174,0.001,736.398,11.63,18.226,0.143,53.114,2584.229,1.812,1.046,-8.246,0.606,8.34,16.501,23.8,15.895,0.217,10.122,1.587,0.505,0.554,34.675
1300,1.0,0.954,276.925,37.699,50.556,9.643,9.947,0.039,-0.343,237.427,34.868,2.486,7.683,0.122,0.19,0.001,733.651,11.681,18.12,0.142,53.664,2594.894,1.662,1.048,-8.236,0.596,8.313,16.457,23.74,15.861,0.218,10.99,1.6,0.502,0.562,34.882
1400,1.0,0.952,280.107,41.066,55.07,9.776,10.061,0.04,-0.326,236.656,37.779,2.7,8.342,0.134,0.206,0.002,731.269,11.738,18.024,0.142,54.219,2605.183,1.532,1.05,-8.226,0.585,8.283,16.407,23.673,15.823,0.218,11.864,1.614,0.499,0.57,35.073
1500,1.0,0.95,283.965,44.605,59.817,9.933,10.2,0.04,-0.307,235.35,40.723,2.916,9.011,0.146,0.222,0.002,727.231,11.767,17.887,0.141,54.777,2615.141,1.411,1.053,-8.216,0.572,8.251,16.354,23.601,15.782,0.219,12.744,1.626,0.491,0.579,35.349
1600,1.0,0.948,286.98,48.084,64.482,10.061,10.308,0.041,-0.289,234.774,43.699,3.136,9.69,0.158,0.238,0.002,725.452,11.833,17.805,0.141,55.337,2624.81,1.314,1.055,-8.206,0.558,8.216,16.297,23.524,15.739,0.219,13.631,1.64,0.49,0.587,35.515
1700,1.0,0.946,289.924,51.613,69.215,10.187,10.414,0.042,-0.269,234.275,46.708,3.359,10.379,0.171,0.254,0.002,723.91,11.901,17.73,0.141,55.901,2634.212,1.228,1.057,-8.196,0.543,8.179,16.238,23.444,15.694,0.219,14.524,1.654,0.488,0.594,35.671
1800,1.0,0.944,293.564,55.336,74.206,10.339,10.545,0.043,-0.248,233.24,49.75,3.585,11.078,0.184,0.271,0.002,720.711,11.942,17.614,0.14,56.466,2643.37,1.144,1.059,-8.186,0.528,8.141,16.176,23.362,15.649,0.22,15.423,1.666,0.482,0.603,35.912
1900,1.0,0.942,296.393,58.973,79.084,10.462,10.646,0.043,-0.227,232.874,52.825,3.815,11.788,0.197,0.287,0.002,719.58,12.016,17.549,0.14,57.034,2652.307,1.076,1.062,-8.176,0.512,8.102,16.113,23.277,15.602,0.22,16.329,1.68,0.481,0.61,36.051
2000,1.0,0.94,299.172,62.658,84.026,10.585,10.746,0.044,-0.205,232.561,55.932,4.048,12.508,0.21,0.304,0.002,718.612,12.093,17.489,0.14,57.603,2661.053,1.015,1.064,-8.166,0.495,8.063,16.049,23.191,15.554,0.22,17.241,1.694,0.48,0.617,36.183
2100,1.0,0.938,302.66,66.558,89.256,10.734,10.872,0.045,-0.183,231.717,59.072,4.284,13.238,0.224,0.321,0.003,716.007,12.142,17.388,0.139,58.175,2669.611,0.953,1.066,-8.156,0.478,8.022,15.983,23.103,15.505,0.221,18.16,1.706,0.474,0.626,36.4
2200,1.0,0.936,305.355,70.349,94.339,10.854,10.968,0.045,-0.159,231.501,62.244,4.524,13.979,0.239,0.339,0.003,715.338,12.223,17.335,0.139,58.749,2677.997,0.903,1.068,-8.146,0.461,7.981,15.917,23.015,15.456,0.221,19.085,1.721,0.474,0.633,36.519
2300,1.0,0.934,308.01,74.186,99.485,10.975,11.064,0.046,-0.135,231.326,65.45,4.767,14.73,0.254,0.356,0.003,714.797,12.307,17.285,0.139,59.325,2686.315,0.858,1.071,-8.136,0.443,7.94,15.85,22.925,15.407,0.221,20.016,1.735,0.474,0.64,36.633
