Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,272.504,28.537,38.268,26.331,1.706,10.695,9.788,0.065,0.842,215.211,5.271,0.051,0.13,0.001,665.001,6.456,16.356,0.129,51.4,2720.37
1100,1.0,275.566,31.743,42.568,29.144,1.897,10.817,9.898,0.068,0.85,215.165,5.862,0.059,0.145,0.001,664.861,6.67,16.439,0.129,52.053,2728.817
1200,1.0,278.644,35.015,46.956,31.99,2.092,10.941,10.009,0.072,0.86,215.131,6.466,0.067,0.161,0.001,664.754,6.884,16.522,0.129,52.721,2737.418
1300,1.0,281.733,38.354,51.434,34.868,2.292,11.066,10.12,0.076,0.87,215.111,7.082,0.076,0.177,0.001,664.692,7.099,16.607,0.129,53.401,2746.278
1400,1.0,284.832,41.758,55.999,37.779,2.495,11.191,10.231,0.079,0.881,215.107,7.71,0.085,0.194,0.001,664.681,7.314,16.692,0.129,54.094,2755.228
1500,1.0,288.118,45.257,60.691,40.723,2.703,11.325,10.349,0.082,0.893,214.985,8.351,0.095,0.211,0.002,664.305,7.524,16.769,0.129,54.793,2764.3
1600,1.0,291.233,48.797,65.437,43.699,2.914,11.453,10.461,0.086,0.906,215.015,9.006,0.105,0.228,0.002,664.397,7.741,16.857,0.129,55.499,2773.51
1700,1.0,294.352,52.402,70.272,46.708,3.13,11.582,10.573,0.09,0.919,215.064,9.673,0.116,0.247,0.002,664.549,7.957,16.947,0.129,56.215,2782.755
1800,1.0,297.472,56.072,75.194,49.75,3.351,11.712,10.685,0.093,0.934,215.135,10.354,0.127,0.265,0.002,664.766,8.175,17.039,0.129,56.936,2792.153
1900,1.0,300.596,59.809,80.205,52.825,3.576,11.843,10.797,0.096,0.949,215.224,11.049,0.139,0.285,0.002,665.041,8.394,17.132,0.129,57.66,2801.595
2000,1.0,303.719,63.611,85.303,55.932,3.805,11.974,10.91,0.1,0.965,215.334,11.757,0.152,0.304,0.002,665.383,8.613,17.227,0.129,58.39,2811.109
2100,1.0,307.054,67.525,90.552,59.072,4.039,12.114,11.029,0.104,0.981,215.317,12.48,0.166,0.321,0.002,665.33,8.828,17.139,0.129,59.127,2820.714
2200,1.0,310.187,71.462,95.832,62.244,4.277,12.248,11.142,0.107,0.999,215.464,13.216,0.18,0.339,0.003,665.783,9.049,17.065,0.129,59.865,2830.339
2300,1.0,313.321,75.465,101.2,65.45,4.52,12.382,11.255,0.11,1.017,215.63,13.967,0.194,0.356,0.003,666.297,9.272,16.992,0.129,60.606,2840.099
2400,1.0,316.453,79.533,106.656,68.688,4.768,12.518,11.367,0.114,1.036,215.818,14.733,0.21,0.374,0.003,666.878,9.496,16.92,0.129,61.354,2849.829
2500,1.0,319.816,83.728,112.281,71.958,5.021,12.662,11.488,0.118,1.056,215.87,15.514,0.226,0.392,0.003,667.037,9.714,16.838,0.13,62.105,2859.721
2600,1.0,322.208,87.728,117.645,75.11,5.268,12.772,11.574,0.121,1.077,216.158,16.277,0.242,0.409,0.003,667.928,9.943,16.774,0.13,62.751,2870.419
2700,1.0,324.591,91.776,123.074,78.282,5.518,12.883,11.659,0.124,1.099,216.467,17.052,0.259,0.426,0.003,668.884,10.174,16.711,0.13,63.396,2881.247
2800,1.0,327.815,96.12,128.9,81.607,5.783,13.024,11.775,0.128,1.121,216.583,17.869,0.278,0.444,0.003,669.241,10.396,16.634,0.13,64.134,2891.368
2900,1.0,331.412,100.646,134.968,85.097,6.062,13.18,11.904,0.132,1.144,216.82,18.731,0.297,0.463,0.004,669.975,10.624,16.565,0.13,64.958,2900.95
3000,1.0,335.262,105.326,141.244,88.627,6.346,13.346,12.043,0.135,1.168,216.916,19.61,0.317,0.482,0.004,670.271,10.846,16.486,0.13,65.785,2910.558
3100,1.0,338.723,109.96,147.459,92.16,6.634,13.499,12.167,0.138,1.193,217.201,20.5,0.338,0.502,0.004,671.151,11.077,16.42,0.13,66.59,2920.393
3200,1.0,342.187,114.668,153.772,95.731,6.928,13.652,12.291,0.142,1.219,217.504,21.407,0.36,0.521,0.004,672.089,11.31,16.356,0.131,67.402,2930.319
3300,1.0,345.687,119.461,160.2,99.281,7.223,13.808,12.417,0.146,1.245,217.678,22.32,0.383,0.54,0.004,672.626,11.537,16.282,0.131,68.183,2940.463
3400,1.0,348.693,124.151,166.489,102.806,7.52,13.947,12.525,0.149,1.273,218.057,23.237,0.406,0.559,0.005,673.796,11.775,16.223,0.131,68.93,2950.98
3500,1.0,351.975,129.005,172.999,106.361,7.822,14.096,12.643,0.152,1.301,218.282,24.17,0.43,0.579,0.005,674.491,12.005,16.153,0.131,69.676,2961.496
3600,1.0,354.355,133.589,179.145,109.778,8.117,14.214,12.728,0.156,1.33,218.748,25.082,0.455,0.597,0.005,675.931,12.25,16.1,0.131,70.33,2972.624
3700,1.0,357.011,138.329,185.502,113.216,8.417,14.343,12.824,0.159,1.359,219.059,26.009,0.48,0.616,0.005,676.892,12.486,16.035,0.131,70.985,2983.853
3800,1.0,359.223,142.947,191.696,116.631,8.719,14.456,12.903,0.163,1.39,219.575,26.941,0.506,0.635,0.005,678.486,12.735,15.985,0.132,71.617,2995.221
3900,1.0,361.56,147.664,198.02,120.019,9.022,14.575,12.987,0.166,1.421,219.945,27.877,0.532,0.653,0.005,679.63,12.977,15.924,0.132,72.222,3006.706
4000,1.0,363.892,152.427,204.407,123.424,9.329,14.694,13.071,0.17,1.453,220.333,28.827,0.56,0.672,0.006,680.83,13.22,15.864,0.132,72.823,3018.301
4100,1.0,364.086,156.321,209.63,126.653,9.594,14.738,13.078,0.174,1.486,220.956,29.647,0.58,0.689,0.006,682.756,13.346,15.874,0.133,73.163,3023.933
4200,1.0,364.557,160.34,215.02,129.889,9.862,14.792,13.095,0.177,1.52,221.415,30.472,0.6,0.707,0.006,684.172,13.462,15.871,0.133,73.503,3029.517
4300,1.0,364.759,164.249,220.262,133.057,10.125,14.837,13.102,0.18,1.555,221.913,31.285,0.62,0.724,0.006,685.71,13.581,15.871,0.133,73.808,3035.326
4400,1.0,364.399,167.903,225.162,136.151,10.383,14.863,13.089,0.184,1.59,222.63,32.085,0.64,0.741,0.006,687.926,13.714,15.887,0.134,74.078,3041.394
4500,1.0,364.173,171.613,230.136,139.246,10.643,14.895,13.081,0.187,1.626,223.269,32.888,0.66,0.758,0.006,689.9,13.843,15.897,0.134,74.016,3044.048
4600,1.0,362.711,174.722,234.306,142.259,10.898,14.883,13.029,0.191,1.663,224.547,33.675,0.68,0.774,0.007,693.849,14.012,15.952,0.135,73.012,3037.6
4700,1.0,361.485,177.917,238.59,145.27,11.154,14.88,12.985,0.194,1.701,225.689,34.465,0.7,0.791,0.007,697.378,14.173,15.997,0.135,72.014,3031.202
4800,1.0,360.194,181.053,242.797,148.277,11.41,14.876,12.938,0.198,1.739,226.881,35.258,0.721,0.807,0.007,701.063,14.339,16.045,0.136,71.022,3024.855
4900,1.0,358.574,183.994,246.74,151.28,11.668,14.86,12.88,0.202,1.779,228.294,36.054,0.742,0.823,0.007,705.428,14.519,16.108,0.137,70.037,3018.575
5000,1.0,357.169,187.013,250.789,154.28,11.926,14.854,12.83,0.205,1.819,229.582,36.852,0.763,0.84,0.007,709.409,14.693,16.163,0.138,69.06,3012.35
5100,1.0,354.869,189.525,254.157,157.276,12.158,14.816,12.747,0.208,1.86,230.939,37.568,0.778,0.856,0.007,713.603,14.78,16.258,0.139,67.986,3001.652
5200,1.0,352.507,191.955,257.416,160.269,12.389,14.776,12.662,0.212,1.902,232.355,38.283,0.793,0.872,0.007,717.976,14.871,16.358,0.139,66.925,2991.047
5300,1.0,349.851,194.172,260.389,163.258,12.62,14.727,12.567,0.215,1.945,233.986,38.997,0.808,0.888,0.008,723.015,14.975,16.473,0.14,65.877,2980.524
5400,1.0,347.382,196.44,263.43,166.244,12.851,14.685,12.478,0.219,1.988,235.515,39.71,0.822,0.905,0.008,727.74,15.073,16.58,0.141,64.843,2970.115
