Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,284.652,29.809,39.974,26.331,1.706,10.932,10.225,0.065,0.642,206.026,5.271,0.051,0.13,0.001,636.621,6.181,15.658,0.124,60.691,2838.608
1100,1.0,287.691,33.14,44.441,29.144,1.897,11.053,10.334,0.068,0.65,206.097,5.862,0.059,0.145,0.001,636.84,6.389,15.746,0.124,61.277,2845.22
1200,1.0,290.495,36.505,48.954,31.99,2.092,11.167,10.435,0.072,0.66,206.354,6.466,0.067,0.161,0.001,637.634,6.603,15.848,0.124,61.873,2851.985
1300,1.0,293.559,39.964,53.592,34.868,2.292,11.29,10.545,0.076,0.67,206.445,7.082,0.076,0.177,0.001,637.916,6.813,15.938,0.124,62.477,2858.884
1400,1.0,296.632,43.488,58.319,37.779,2.495,11.415,10.655,0.079,0.681,206.55,7.71,0.085,0.194,0.001,638.239,7.023,16.028,0.124,63.088,2865.898
1500,1.0,299.711,47.078,63.133,40.723,2.703,11.541,10.766,0.082,0.693,206.67,8.351,0.095,0.211,0.002,638.609,7.233,16.12,0.124,63.704,2873.06
1600,1.0,302.539,50.691,67.978,43.699,2.914,11.659,10.867,0.086,0.706,206.98,9.006,0.105,0.228,0.002,639.569,7.451,16.227,0.124,64.324,2880.348
1700,1.0,305.633,54.41,72.965,46.708,3.13,11.787,10.978,0.09,0.719,207.126,9.673,0.116,0.247,0.002,640.021,7.664,16.322,0.124,64.951,2887.712
1800,1.0,308.733,58.195,78.041,49.75,3.351,11.916,11.09,0.093,0.734,207.288,10.354,0.127,0.265,0.002,640.518,7.877,16.417,0.124,65.583,2895.156
1900,1.0,311.841,62.046,83.205,52.825,3.576,12.047,11.201,0.096,0.749,207.463,11.049,0.139,0.285,0.002,641.06,8.091,16.514,0.124,66.218,2902.681
2000,1.0,314.683,65.907,88.383,55.932,3.805,12.168,11.303,0.1,0.765,207.832,11.757,0.152,0.304,0.002,642.201,8.313,16.627,0.125,66.857,2910.279
2100,1.0,317.805,69.889,93.723,59.072,4.039,12.301,11.416,0.104,0.781,208.033,12.48,0.166,0.321,0.002,642.823,8.529,16.559,0.125,67.498,2918.024
2200,1.0,320.933,73.938,99.152,62.244,4.277,12.434,11.528,0.107,0.799,208.25,13.216,0.18,0.339,0.003,643.491,8.746,16.493,0.125,68.141,2925.835
2300,1.0,324.066,78.053,104.671,65.45,4.52,12.568,11.64,0.11,0.817,208.481,13.967,0.194,0.356,0.003,644.205,8.965,16.428,0.125,68.787,2933.71
2400,1.0,326.917,82.163,110.183,68.688,4.768,12.693,11.743,0.114,0.836,208.91,14.733,0.21,0.374,0.003,645.532,9.192,16.379,0.125,69.435,2941.665
2500,1.0,330.068,86.412,115.88,71.958,5.021,12.83,11.856,0.118,0.856,209.165,15.514,0.226,0.392,0.003,646.32,9.412,16.315,0.125,70.085,2949.686
2600,1.0,332.465,90.521,121.39,75.11,5.268,12.94,11.942,0.121,0.877,209.49,16.277,0.242,0.409,0.003,647.323,9.637,16.256,0.126,70.617,2958.638
2700,1.0,334.861,94.68,126.967,78.282,5.518,13.052,12.028,0.124,0.899,209.829,17.052,0.259,0.426,0.003,648.371,9.862,16.199,0.126,71.15,2967.637
2800,1.0,337.871,99.069,132.854,81.607,5.783,13.186,12.136,0.128,0.921,210.137,17.869,0.278,0.444,0.003,649.323,10.087,16.139,0.126,71.78,2976.01
2900,1.0,341.505,103.711,139.078,85.097,6.062,13.343,12.267,0.132,0.944,210.413,18.731,0.297,0.463,0.004,650.176,10.31,16.076,0.126,72.509,2983.813
3000,1.0,344.836,108.333,145.277,88.627,6.346,13.49,12.387,0.135,0.968,210.894,19.61,0.317,0.482,0.004,651.663,10.545,16.028,0.127,73.24,2991.701
3100,1.0,348.341,113.082,151.646,92.16,6.634,13.644,12.512,0.138,0.993,211.204,20.5,0.338,0.502,0.004,652.62,10.771,15.967,0.127,73.949,2999.838
3200,1.0,351.858,117.909,158.118,95.731,6.928,13.8,12.639,0.142,1.019,211.526,21.407,0.36,0.521,0.004,653.615,10.999,15.907,0.127,74.66,3008.048
3300,1.0,355.151,122.731,164.586,99.281,7.223,13.948,12.757,0.146,1.045,211.878,22.32,0.383,0.54,0.004,654.702,11.23,15.848,0.127,75.336,3016.568
3400,1.0,358.216,127.542,171.037,102.806,7.52,14.089,12.867,0.149,1.073,212.26,23.237,0.406,0.559,0.005,655.882,11.462,15.792,0.127,75.974,3025.386
3500,1.0,361.289,132.419,177.577,106.361,7.822,14.231,12.978,0.152,1.101,212.654,24.17,0.43,0.579,0.005,657.102,11.696,15.736,0.128,76.611,3034.26
3600,1.0,363.731,137.123,183.885,109.778,8.117,14.351,13.065,0.156,1.13,213.109,25.082,0.455,0.597,0.005,658.507,11.934,15.685,0.128,77.147,3043.803
3700,1.0,366.175,141.879,190.263,113.216,8.417,14.472,13.153,0.159,1.159,213.577,26.009,0.48,0.616,0.005,659.953,12.174,15.634,0.128,77.682,3053.389
3800,1.0,368.459,146.623,196.624,116.631,8.719,14.588,13.235,0.163,1.19,214.071,26.941,0.506,0.635,0.005,661.479,12.416,15.584,0.128,78.188,3063.165
3900,1.0,370.582,151.348,202.961,120.019,9.022,14.699,13.311,0.166,1.221,214.59,27.877,0.532,0.653,0.005,663.084,12.661,15.536,0.129,78.668,3073.132
4000,1.0,372.523,156.042,209.256,123.424,9.329,14.804,13.381,0.17,1.253,215.229,28.827,0.56,0.672,0.006,665.056,12.914,15.496,0.129,78.734,3078.931
4100,1.0,372.402,159.891,214.418,126.653,9.594,14.836,13.377,0.174,1.286,216.022,29.647,0.58,0.689,0.006,667.509,13.048,15.519,0.13,77.826,3071.724
4200,1.0,372.213,163.708,219.536,129.889,9.862,14.867,13.37,0.177,1.32,216.861,30.472,0.6,0.707,0.006,670.099,13.185,15.545,0.13,76.918,3064.509
4300,1.0,371.401,167.24,224.272,133.057,10.125,14.876,13.341,0.18,1.355,217.944,31.285,0.62,0.724,0.006,673.448,13.338,15.587,0.131,75.976,3057.531
4400,1.0,370.605,170.763,228.996,136.151,10.383,14.886,13.312,0.184,1.39,218.902,32.085,0.64,0.741,0.006,676.407,13.484,15.621,0.131,74.996,3050.779
4500,1.0,369.741,174.236,233.655,139.246,10.643,14.895,13.281,0.187,1.426,219.907,32.888,0.66,0.758,0.006,679.511,13.634,15.657,0.132,74.016,3044.048
4600,1.0,368.279,177.404,237.902,142.259,10.898,14.883,13.229,0.191,1.463,221.152,33.675,0.68,0.774,0.007,683.359,13.8,15.711,0.133,73.012,3037.6
4700,1.0,367.053,180.657,242.265,145.27,11.154,14.88,13.185,0.194,1.501,222.265,34.465,0.7,0.791,0.007,686.799,13.958,15.754,0.133,72.014,3031.202
4800,1.0,365.762,183.852,246.55,148.277,11.41,14.876,13.138,0.198,1.539,223.427,35.258,0.721,0.807,0.007,690.391,14.121,15.801,0.134,71.022,3024.855
4900,1.0,364.142,186.851,250.571,151.28,11.668,14.86,13.08,0.202,1.579,224.803,36.054,0.742,0.823,0.007,694.642,14.297,15.862,0.135,70.037,3018.575
5000,1.0,362.737,189.929,254.698,154.28,11.926,14.854,13.03,0.205,1.619,226.058,36.852,0.763,0.84,0.007,698.52,14.468,15.915,0.136,69.06,3012.35
5100,1.0,360.436,192.499,258.145,157.276,12.158,14.816,12.947,0.208,1.66,227.372,37.568,0.778,0.856,0.007,702.579,14.552,16.007,0.136,67.986,3001.652
5200,1.0,358.075,194.987,261.482,160.269,12.389,14.776,12.862,0.212,1.702,228.742,38.283,0.793,0.872,0.007,706.812,14.639,16.103,0.137,66.925,2991.047
5300,1.0,355.419,197.263,264.534,163.258,12.62,14.727,12.767,0.215,1.745,230.32,38.997,0.808,0.888,0.008,711.689,14.74,16.215,0.138,65.877,2980.524
5400,1.0,352.95,199.588,267.653,166.244,12.851,14.685,12.678,0.219,1.788,231.799,39.71,0.822,0.905,0.008,716.259,14.835,16.319,0.139,64.843,2970.115
5500,1.0,350.421,201.828,270.656,169.226,13.082,14.642,12.587,0.222,1.832,233.339,40.423,0.837,0.921,0.008,721.019,14.934,16.427,0.14,63.822,2959.799
5600,1.0,347.623,203.857,273.377,172.205,13.312,14.59,12.487,0.226,1.877,235.083,41.134,0.852,0.937,0.008,726.407,15.045,16.55,0.141,62.817,2949.6
5700,1.0,344.993,205.927,276.153,175.18,13.542,14.545,12.392,0.229,1.923,236.741,41.845,0.867,0.953,0.008,731.529,15.151,16.667,0.142,61.826,2939.538
5800,1.0,342.306,207.908,278.809,178.152,13.772,14.499,12.296,0.233,1.97,238.463,42.555,0.881,0.97,0.008,736.85,15.262,16.788,0.143,60.85,2929.598
5900,1.0,339.372,209.68,281.185,181.12,14.001,14.444,12.19,0.236,2.018,240.387,43.264,0.896,0.986,0.008,742.797,15.385,16.923,0.144,59.89,2919.778
6000,1.0,336.588,211.485,283.606,184.085,14.23,14.396,12.09,0.24,2.066,242.237,43.972,0.911,1.002,0.009,748.513,15.503,17.054,0.145,58.945,2910.072
6100,1.0,333.754,213.199,285.904,187.046,14.459,14.347,11.988,0.243,2.115,244.155,44.679,0.925,1.018,0.009,754.439,15.626,17.189,0.146,58.015,2900.498
6200,1.0,330.867,214.819,288.078,190.004,14.688,14.297,11.885,0.247,2.165,246.145,45.386,0.94,1.034,0.009,760.587,15.753,17.329,0.148,57.1,2891.04
6300,1.0,327.764,216.237,289.979,192.958,14.916,14.239,11.773,0.25,2.216,248.333,46.091,0.955,1.05,0.009,767.349,15.893,17.483,0.149,56.202,2881.721
6400,1.0,324.788,217.675,291.907,195.908,15.144,14.188,11.666,0.254,2.267,250.465,46.796,0.969,1.066,0.009,773.938,16.03,17.633,0.15,55.318,2872.52
6500,1.0,321.765,219.019,293.709,198.856,15.372,14.135,11.558,0.257,2.32,252.673,47.5,0.984,1.082,0.009,780.761,16.171,17.788,0.152,54.449,2863.479
