Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,271.138,28.394,38.076,26.331,1.706,10.635,9.739,0.065,0.831,216.295,5.271,0.051,0.13,0.001,668.352,6.489,16.438,0.13,49.808,2699.554
1100,1.0,274.178,31.583,42.354,29.144,1.897,10.754,9.849,0.068,0.837,216.255,5.862,0.059,0.145,0.001,668.227,6.704,16.522,0.13,50.288,2705.912
1200,1.0,277.245,34.84,46.721,31.99,2.092,10.874,9.959,0.072,0.844,216.217,6.466,0.067,0.161,0.001,668.109,6.919,16.605,0.13,50.782,2712.482
1300,1.0,280.334,38.163,51.178,34.868,2.292,10.996,10.07,0.076,0.851,216.185,7.082,0.076,0.177,0.001,668.011,7.134,16.689,0.13,51.286,2719.239
1400,1.0,283.285,41.532,55.695,37.779,2.495,11.114,10.176,0.079,0.859,216.281,7.71,0.085,0.194,0.001,668.309,7.354,16.783,0.13,51.799,2726.197
1500,1.0,286.412,44.99,60.332,40.723,2.703,11.238,10.288,0.082,0.868,216.266,8.351,0.095,0.211,0.002,668.261,7.569,16.869,0.13,52.318,2733.27
1600,1.0,289.553,48.515,65.06,43.699,2.914,11.364,10.401,0.086,0.877,216.262,9.006,0.105,0.228,0.002,668.251,7.785,16.955,0.13,52.843,2740.439
1700,1.0,292.544,52.08,69.84,46.708,3.13,11.485,10.508,0.09,0.887,216.394,9.673,0.116,0.247,0.002,668.657,8.007,17.052,0.13,53.373,2747.7
1800,1.0,295.715,55.741,74.75,49.75,3.351,11.612,10.622,0.093,0.897,216.413,10.354,0.127,0.265,0.002,668.717,8.224,17.14,0.13,53.906,2755.085
1900,1.0,298.898,59.471,79.752,52.825,3.576,11.741,10.736,0.096,0.908,216.447,11.049,0.139,0.285,0.002,668.82,8.441,17.229,0.13,54.443,2762.572
2000,1.0,301.918,63.234,84.798,55.932,3.805,11.865,10.845,0.1,0.92,216.619,11.757,0.152,0.304,0.002,669.352,8.665,17.33,0.13,54.982,2770.125
2100,1.0,305.127,67.101,89.984,59.072,4.039,11.996,10.96,0.104,0.932,216.677,12.48,0.166,0.321,0.002,669.532,8.884,17.247,0.13,55.524,2777.747
2200,1.0,308.348,71.038,95.264,62.244,4.277,12.128,11.076,0.107,0.945,216.749,13.216,0.18,0.339,0.003,669.754,9.103,17.167,0.13,56.068,2785.432
2300,1.0,311.395,75.001,100.578,65.45,4.52,12.254,11.185,0.11,0.958,216.964,13.967,0.194,0.356,0.003,670.418,9.329,17.097,0.13,56.614,2793.197
2400,1.0,314.639,79.077,106.045,68.688,4.768,12.388,11.302,0.114,0.972,217.062,14.733,0.21,0.374,0.003,670.722,9.551,17.018,0.13,57.161,2801.054
2500,1.0,317.895,83.225,111.606,71.958,5.021,12.523,11.419,0.118,0.987,217.174,15.514,0.226,0.392,0.003,671.069,9.773,16.94,0.13,57.71,2808.968
2600,1.0,320.422,87.242,116.993,75.11,5.268,12.632,11.51,0.121,1.002,217.363,16.277,0.242,0.409,0.003,671.652,9.999,16.867,0.13,58.162,2817.768
2700,1.0,322.756,91.257,122.378,78.282,5.518,12.736,11.593,0.124,1.018,217.699,17.052,0.259,0.426,0.003,672.689,10.232,16.806,0.131,58.614,2826.6
2800,1.0,325.89,95.556,128.142,81.607,5.783,12.868,11.706,0.128,1.034,217.863,17.869,0.278,0.444,0.003,673.196,10.457,16.732,0.131,59.144,2834.817
2900,1.0,329.635,100.106,134.244,85.097,6.062,13.023,11.841,0.132,1.051,217.99,18.731,0.297,0.463,0.004,673.588,10.681,16.654,0.131,59.752,2842.439
3000,1.0,333.397,104.74,140.458,88.627,6.346,13.179,11.976,0.135,1.068,218.13,19.61,0.317,0.482,0.004,674.021,10.906,16.578,0.131,60.361,2850.135
3100,1.0,337.024,109.408,146.719,92.16,6.634,13.331,12.106,0.138,1.086,218.296,20.5,0.338,0.502,0.004,674.535,11.133,16.503,0.131,60.95,2858.055
3200,1.0,340.665,114.158,153.088,95.731,6.928,13.484,12.237,0.142,1.105,218.476,21.407,0.36,0.521,0.004,675.092,11.361,16.429,0.131,61.539,2866.052
3300,1.0,344.09,118.909,159.46,99.281,7.223,13.63,12.36,0.146,1.124,218.689,22.32,0.383,0.54,0.004,675.748,11.59,16.358,0.131,62.096,2874.328
3400,1.0,347.297,123.654,165.823,102.806,7.52,13.768,12.475,0.149,1.144,218.933,23.237,0.406,0.559,0.005,676.504,11.822,16.289,0.131,62.621,2882.873
3500,1.0,350.293,128.389,172.173,106.361,7.822,13.9,12.583,0.152,1.165,219.329,24.17,0.43,0.579,0.005,677.728,12.063,16.23,0.132,63.144,2891.453
3600,1.0,352.896,133.039,178.408,109.778,8.117,14.018,12.676,0.156,1.186,219.652,25.082,0.455,0.597,0.005,678.725,12.301,16.166,0.132,63.583,2900.657
3700,1.0,355.503,137.744,184.718,113.216,8.417,14.136,12.77,0.159,1.207,219.988,26.009,0.48,0.616,0.005,679.764,12.539,16.103,0.132,64.017,2909.886
3800,1.0,357.955,142.443,191.019,116.631,8.719,14.25,12.858,0.163,1.229,220.352,26.941,0.506,0.635,0.005,680.889,12.78,16.042,0.132,64.426,2919.276
3900,1.0,360.251,147.129,197.303,120.019,9.022,14.359,12.94,0.166,1.252,220.744,27.877,0.532,0.653,0.005,682.099,13.024,15.982,0.132,64.81,2928.82
4000,1.0,362.778,151.96,203.782,123.424,9.329,14.477,13.031,0.17,1.276,221.01,28.827,0.56,0.672,0.006,682.92,13.261,15.913,0.133,65.188,2938.385
4100,1.0,363.259,155.966,209.154,126.653,9.594,14.521,13.048,0.174,1.299,221.46,29.647,0.58,0.689,0.006,684.31,13.376,15.91,0.133,65.337,2942.133
4200,1.0,363.727,159.976,214.531,129.889,9.862,14.566,13.065,0.177,1.324,221.92,30.472,0.6,0.707,0.006,685.732,13.493,15.907,0.133,65.485,2945.885
4300,1.0,363.943,163.882,219.769,133.057,10.125,14.603,13.073,0.18,1.349,222.411,31.285,0.62,0.724,0.006,687.248,13.612,15.907,0.133,65.601,2949.852
4400,1.0,363.904,167.675,224.856,136.151,10.383,14.63,13.071,0.184,1.375,222.933,32.085,0.64,0.741,0.006,688.863,13.733,15.908,0.134,65.684,2954.034
4500,1.0,363.85,171.46,229.932,139.246,10.643,14.658,13.07,0.187,1.401,223.467,32.888,0.66,0.758,0.006,690.514,13.855,15.911,0.134,65.766,2958.217
4600,1.0,363.54,175.121,234.841,142.259,10.898,14.678,13.058,0.191,1.428,224.035,33.675,0.68,0.774,0.007,692.267,13.98,15.915,0.134,65.816,2962.613
4700,1.0,363.213,178.767,239.731,145.27,11.154,14.697,13.047,0.194,1.456,224.615,34.465,0.7,0.791,0.007,694.06,14.106,15.921,0.135,65.864,2967.009
4800,1.0,362.87,182.398,244.6,148.277,11.41,14.716,13.034,0.198,1.484,225.208,35.258,0.721,0.807,0.007,695.893,14.233,15.927,0.135,65.911,2971.403
4900,1.0,362.51,186.014,249.449,151.28,11.668,14.735,13.021,0.202,1.512,225.815,36.054,0.742,0.823,0.007,697.768,14.362,15.933,0.135,65.956,2975.796
5000,1.0,362.134,189.613,254.275,154.28,11.926,14.755,13.008,0.205,1.542,226.435,36.852,0.763,0.84,0.007,699.683,14.492,15.941,0.136,66.001,2980.187
5100,1.0,360.953,192.775,258.515,157.276,12.158,14.745,12.965,0.208,1.571,227.046,37.568,0.778,0.856,0.007,701.573,14.531,15.984,0.136,65.963,2980.334
5200,1.0,359.757,195.903,262.71,160.269,12.389,14.736,12.922,0.212,1.602,227.672,38.283,0.793,0.872,0.007,703.507,14.571,16.028,0.137,65.925,2980.484
5300,1.0,358.527,198.988,266.847,163.258,12.62,14.727,12.878,0.215,1.633,228.323,38.997,0.808,0.888,0.008,705.519,14.613,16.074,0.137,65.877,2980.524
5400,1.0,356.388,201.533,270.26,166.244,12.851,14.685,12.801,0.219,1.665,229.563,39.71,0.822,0.905,0.008,709.35,14.692,16.161,0.138,64.843,2970.115
5500,1.0,354.194,204.001,273.57,169.226,13.082,14.642,12.723,0.222,1.697,230.853,40.423,0.837,0.921,0.008,713.337,14.775,16.252,0.139,63.822,2959.799
5600,1.0,351.739,206.271,276.613,172.205,13.312,14.59,12.635,0.226,1.73,232.333,41.134,0.852,0.937,0.008,717.908,14.869,16.356,0.139,62.817,2949.6
5700,1.0,349.457,208.592,279.726,175.18,13.542,14.545,12.553,0.229,1.763,233.717,41.845,0.867,0.953,0.008,722.185,14.958,16.454,0.14,61.826,2939.538
5800,1.0,347.125,210.835,282.734,178.152,13.772,14.499,12.469,0.233,1.797,235.153,42.555,0.881,0.97,0.008,726.622,15.05,16.555,0.141,60.85,2929.598
5900,1.0,344.551,212.879,285.476,181.12,14.001,14.444,12.376,0.236,1.832,236.774,43.264,0.896,0.986,0.008,731.633,15.154,16.669,0.142,59.89,2919.778
6000,1.0,342.134,214.969,288.278,184.085,14.23,14.396,12.289,0.24,1.867,238.311,43.972,0.911,1.002,0.009,736.381,15.252,16.777,0.143,58.945,2910.072
6100,1.0,339.672,216.979,290.974,187.046,14.459,14.347,12.201,0.243,1.902,239.901,44.679,0.925,1.018,0.009,741.295,15.354,16.889,0.144,58.015,2900.498
