Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,136.402,14.284,19.155,26.331,1.706,5.606,4.9,0.065,0.642,429.947,5.271,0.051,0.13,0.001,1328.537,12.898,32.676,0.258,18.826,2244.707
1100,1.0,137.763,15.869,21.281,29.144,1.897,5.667,4.948,0.068,0.65,430.392,5.862,0.059,0.145,0.001,1329.911,13.342,32.882,0.258,18.831,2250.525
1200,1.0,139.117,17.482,23.444,31.99,2.092,5.729,4.997,0.072,0.66,430.895,6.466,0.067,0.161,0.001,1331.464,13.789,33.093,0.259,18.836,2256.432
1300,1.0,140.464,19.122,25.643,34.868,2.292,5.791,5.045,0.076,0.67,431.454,7.082,0.076,0.177,0.001,1333.192,14.238,33.308,0.259,18.841,2262.429
1400,1.0,141.805,20.79,27.879,37.779,2.495,5.854,5.094,0.079,0.681,432.067,7.71,0.085,0.194,0.001,1335.088,14.69,33.528,0.259,18.846,2268.517
1500,1.0,143.139,22.484,30.152,40.723,2.703,5.917,5.142,0.082,0.693,432.734,8.351,0.095,0.211,0.002,1337.149,15.146,33.753,0.26,18.851,2274.695
1600,1.0,144.467,24.206,32.46,43.699,2.914,5.981,5.189,0.086,0.706,433.453,9.006,0.105,0.228,0.002,1339.371,15.604,33.983,0.26,18.856,2280.965
1700,1.0,145.788,25.954,34.805,46.708,3.13,6.046,5.237,0.09,0.719,434.223,9.673,0.116,0.247,0.002,1341.75,16.066,34.217,0.261,18.861,2287.328
1800,1.0,147.104,27.729,37.185,49.75,3.351,6.111,5.284,0.093,0.734,435.042,10.354,0.127,0.265,0.002,1344.281,16.532,34.455,0.261,18.866,2293.784
1900,1.0,148.415,29.53,39.6,52.825,3.576,6.176,5.331,0.096,0.749,435.91,11.049,0.139,0.285,0.002,1346.96,17.0,34.698,0.262,18.872,2300.332
2000,1.0,149.72,31.357,42.051,55.932,3.805,6.243,5.378,0.1,0.765,436.824,11.757,0.152,0.304,0.002,1349.786,17.473,34.946,0.262,18.877,2306.973
2100,1.0,151.02,33.211,44.537,59.072,4.039,6.31,5.425,0.104,0.781,437.784,12.48,0.166,0.321,0.002,1352.753,17.949,34.848,0.263,18.882,2313.709
2200,1.0,152.315,35.091,47.058,62.244,4.277,6.377,5.471,0.107,0.799,438.789,13.216,0.18,0.339,0.003,1355.859,18.429,34.752,0.263,18.888,2320.539
2300,1.0,153.605,36.997,49.613,65.45,4.52,6.445,5.518,0.11,0.817,439.838,13.967,0.194,0.356,0.003,1359.101,18.913,34.659,0.264,18.893,2327.463
2400,1.0,154.891,38.928,52.204,68.688,4.768,6.514,5.564,0.114,0.836,440.93,14.733,0.21,0.374,0.003,1362.475,19.401,34.569,0.265,18.898,2334.483
2500,1.0,156.173,40.886,54.829,71.958,5.021,6.584,5.61,0.118,0.856,442.064,15.514,0.226,0.392,0.003,1365.978,19.893,34.481,0.265,18.904,2341.601
2600,1.0,157.064,42.764,57.347,75.11,5.268,6.64,5.642,0.121,0.877,443.437,16.277,0.242,0.409,0.003,1370.221,20.398,34.411,0.266,18.909,2349.309
2700,1.0,157.947,44.658,59.888,78.282,5.518,6.697,5.673,0.124,0.899,444.856,17.052,0.259,0.426,0.003,1374.604,20.908,34.343,0.267,18.913,2357.104
2800,1.0,159.136,46.661,62.573,81.607,5.783,6.765,5.716,0.128,0.921,446.155,17.869,0.278,0.444,0.003,1378.619,21.415,34.265,0.268,18.919,2364.6
2900,1.0,160.636,48.783,65.419,85.097,6.062,6.846,5.77,0.132,0.944,447.329,18.731,0.297,0.463,0.004,1382.246,21.919,34.176,0.268,18.926,2371.812
3000,1.0,162.136,50.936,68.307,88.627,6.346,6.927,5.824,0.135,0.968,448.537,19.61,0.317,0.482,0.004,1385.98,22.427,34.089,0.269,18.932,2379.132
3100,1.0,163.556,53.095,71.202,92.16,6.634,7.007,5.875,0.138,0.993,449.822,20.5,0.338,0.502,0.004,1389.95,22.941,34.007,0.27,18.939,2386.653
3200,1.0,164.975,55.284,74.137,95.731,6.928,7.087,5.926,0.142,1.019,451.141,21.407,0.36,0.521,0.004,1394.026,23.459,33.926,0.271,18.946,2394.281
