Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (ϕ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,KnockIdx max@RPM,η_ind (%),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc)
1000,1.0,115.715,12.118,16.25,26.331,1.706,5.063,4.156,0.065,0.842,506.8,5.271,0.051,0.13,0.001,1566.1,15.2,38.52,0.3,41.115,1904.8,,,,,,,,,,,,,,,,
1100,1.0,111.611,12.857,17.241,29.144,1.897,4.928,4.009,0.068,0.85,531.2,5.862,0.059,0.145,0.001,1641.5,16.47,40.59,0.32,38.398,1847.3,,,,,,,,,,,,,,,,
1200,1.0,109.304,13.736,18.42,31.99,2.092,4.858,3.926,0.072,0.86,548.4,6.466,0.067,0.161,0.001,1694.6,17.55,42.12,0.33,35.869,1795.3,,,,,,,,,,,,,,,,
1300,1.0,109.125,14.856,19.922,34.868,2.292,4.865,3.92,0.076,0.87,555.4,7.082,0.076,0.177,0.001,1716.1,18.33,42.87,0.33,34.7,1774.0,,,,,,,,,,,,,,,,
1400,1.0,112.25,16.457,22.069,37.779,2.495,4.992,4.032,0.079,0.881,545.8,7.71,0.085,0.194,0.001,1686.6,18.56,42.36,0.33,35.234,1790.0,,,,,,,,,,,,,,,,
1500,1.0,116.161,18.246,24.469,40.723,2.703,5.148,4.173,0.082,0.893,533.2,8.351,0.095,0.211,0.002,1647.7,18.66,41.59,0.32,35.771,1805.6,,,,,,,,,,,,,,,,
1600,1.0,119.103,19.956,26.761,43.699,2.914,5.27,4.278,0.086,0.906,525.8,9.006,0.105,0.228,0.002,1624.6,18.93,41.22,0.32,36.311,1820.9,,,,,,,,,,,,,,,,
1700,1.0,122.878,21.875,29.335,46.708,3.13,5.423,4.414,0.09,0.919,515.2,9.673,0.116,0.247,0.002,1591.9,19.06,40.6,0.31,36.854,1835.9,,,,,,,,,,,,,,,,
1800,1.0,125.685,23.691,31.77,49.75,3.351,5.541,4.515,0.093,0.934,509.2,10.354,0.127,0.265,0.002,1573.4,19.35,40.33,0.31,37.401,1850.7,,,,,,,,,,,,,,,,
1900,1.0,129.363,25.739,34.517,52.825,3.576,5.692,4.647,0.096,0.949,500.1,11.049,0.139,0.285,0.002,1545.3,19.5,39.81,0.3,37.952,1865.2,,,,,,,,,,,,,,,,
2000,1.0,132.067,27.66,37.093,55.932,3.805,5.809,4.744,0.1,0.965,495.2,11.757,0.152,0.304,0.002,1530.2,19.81,39.62,0.3,38.507,1879.6,,,,,,,,,,,,,,,,
2100,1.0,135.675,29.837,40.012,59.072,4.039,5.958,4.873,0.104,0.981,487.3,12.48,0.166,0.321,0.002,1505.7,19.98,38.79,0.29,39.065,1893.8,,,,,,,,,,,,,,,,
2200,1.0,138.3,31.862,42.728,62.244,4.277,6.074,4.968,0.107,0.999,483.3,13.216,0.18,0.339,0.003,1493.3,20.3,38.27,0.29,39.627,1907.9,,,,,,,,,,,,,,,,
2300,1.0,141.858,34.167,45.819,65.45,4.52,6.223,5.096,0.11,1.017,476.3,13.967,0.194,0.356,0.003,1471.6,20.48,37.53,0.29,40.194,1921.8,,,,,,,,,,,,,,,,
2400,1.0,144.42,36.297,48.675,68.688,4.768,6.338,5.188,0.114,1.036,472.9,14.733,0.21,0.374,0.003,1461.3,20.81,37.08,0.28,40.765,1935.5,,,,,,,,,,,,,,,,
2500,1.0,147.946,38.732,51.941,71.958,5.021,6.488,5.314,0.118,1.056,466.6,15.514,0.226,0.392,0.003,1441.9,21.0,36.4,0.28,41.34,1949.2,,,,,,,,,,,,,,,,
2600,1.0,149.9,40.813,54.732,75.11,5.268,6.583,5.384,0.121,1.077,464.6,16.277,0.242,0.409,0.003,1435.7,21.37,36.06,0.28,41.838,1962.8,,,,,,,,,,,,,,,,
2700,1.0,152.838,43.214,57.951,78.282,5.518,6.713,5.49,0.124,1.099,459.7,17.052,0.259,0.426,0.003,1420.6,21.61,35.49,0.28,42.338,1976.4,,,,,,,,,,,,,,,,
2800,1.0,155.193,45.505,61.023,81.607,5.783,6.824,5.575,0.128,1.121,457.5,17.869,0.278,0.444,0.003,1413.6,21.96,35.14,0.27,42.91,1989.8,,,,,,,,,,,,,,,,
2900,1.0,159.024,48.294,64.763,85.097,6.062,6.988,5.712,0.132,1.144,451.9,18.731,0.297,0.463,0.004,1396.3,22.14,34.52,0.27,43.554,2003.3,,,,,,,,,,,,,,,,
3000,1.0,162.867,51.166,68.615,88.627,6.346,7.154,5.85,0.135,1.168,446.5,19.61,0.317,0.482,0.004,1379.8,22.33,33.94,0.27,44.205,2016.6,,,,,,,,,,,,,,,,
3100,1.0,165.536,53.738,72.064,92.16,6.634,7.278,5.946,0.138,1.193,444.4,20.5,0.338,0.502,0.004,1373.3,22.67,33.6,0.27,44.844,2030.1,,,,,,,,,,,,,,,,
3200,1.0,169.275,56.724,76.069,95.731,6.928,7.441,6.08,0.142,1.219,439.7,21.407,0.36,0.521,0.004,1358.6,22.86,33.06,0.26,45.489,2043.5,,,,,,,,,,,,,,,,
3300,1.0,171.754,59.354,79.595,99.281,7.223,7.56,6.169,0.146,1.245,438.1,22.32,0.383,0.54,0.004,1353.8,23.22,32.77,0.26,46.114,2056.9,,,,,,,,,,,,,,,,
3400,1.0,175.151,62.362,83.629,102.806,7.52,7.713,6.291,0.149,1.273,434.1,23.237,0.406,0.559,0.005,1341.4,23.44,32.3,0.26,46.718,2070.2,,,,,,,,,,,,,,,,
3500,1.0,177.438,65.034,87.212,106.361,7.822,7.827,6.374,0.152,1.301,433.0,24.17,0.43,0.579,0.005,1338.0,23.81,32.04,0.26,47.327,2083.5,,,,,,,,,,,,,,,,
