Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,188.252,19.714,26.437,26.331,1.706,7.669,6.762,0.065,0.842,311.528,5.271,0.051,0.13,0.001,962.622,9.346,23.676,0.187,47.805,2294.42,1.05,0.952,-0.667,7.488,16.093,-10.0,23.789,16.76,0.185,8.0,1.984,1.427,0.589,0.447,31.1
1100,1.0,184.429,21.245,28.49,29.144,1.897,7.544,6.625,0.068,0.85,321.49,5.862,0.059,0.145,0.001,993.405,9.966,24.562,0.193,44.665,2236.667,1.045,0.957,0.266,9.236,18.702,-10.0,27.168,18.436,0.188,8.0,1.68,1.444,0.616,0.44,30.259
1200,1.0,181.627,22.824,30.607,31.99,2.092,7.456,6.524,0.072,0.86,330.045,6.466,0.067,0.161,0.001,1019.838,10.561,25.347,0.198,41.728,2183.498,1.04,0.962,1.199,10.985,21.312,-10.0,30.547,20.112,0.19,8.0,1.413,1.459,0.634,0.435,29.582
1300,1.0,181.295,24.681,33.097,34.868,2.292,7.458,6.512,0.076,0.87,334.283,7.082,0.076,0.177,0.001,1032.933,11.031,25.807,0.201,40.335,2160.849,1.035,0.966,1.735,11.988,22.808,-10.0,32.484,21.073,0.192,8.271,1.237,1.475,0.646,0.435,29.267
1400,1.0,184.858,27.102,36.344,37.779,2.495,7.6,6.64,0.079,0.881,331.439,7.71,0.085,0.194,0.001,1024.146,11.269,25.72,0.199,40.879,2175.838,1.03,0.971,1.707,11.936,22.73,-10.0,32.384,21.024,0.195,8.929,1.144,1.492,0.646,0.443,29.503
1500,1.0,188.968,29.683,39.806,40.723,2.703,7.763,6.788,0.082,0.893,327.787,8.351,0.095,0.211,0.002,1012.861,11.473,25.567,0.197,41.429,2190.529,1.025,0.976,1.677,11.88,22.647,-10.0,32.276,20.97,0.197,9.591,1.062,1.508,0.641,0.453,29.809
1600,1.0,192.382,32.234,43.226,43.699,2.914,7.902,6.91,0.086,0.906,325.495,9.006,0.105,0.228,0.002,1005.781,11.718,25.519,0.195,41.984,2204.959,1.02,0.98,1.646,11.822,22.56,-10.0,32.163,20.914,0.199,10.258,0.992,1.525,0.642,0.461,30.013
1700,1.0,196.369,34.958,46.88,46.708,3.13,8.062,7.054,0.09,0.919,322.376,9.673,0.116,0.247,0.002,996.143,11.928,25.403,0.193,42.546,2219.18,1.015,0.985,1.613,11.761,22.469,-10.0,32.046,20.856,0.201,10.929,0.928,1.541,0.638,0.47,30.29
1800,1.0,199.676,37.638,50.474,49.75,3.351,8.199,7.172,0.093,0.934,320.501,10.354,0.127,0.265,0.002,990.35,12.179,25.384,0.192,43.113,2233.257,1.01,0.99,1.58,11.698,22.376,-10.0,31.925,20.796,0.203,11.606,0.874,1.558,0.639,0.478,30.47
1900,1.0,203.575,40.505,54.318,52.825,3.576,8.358,7.312,0.096,0.949,317.796,11.049,0.139,0.285,0.002,981.988,12.394,25.297,0.191,43.685,2247.169,1.005,0.995,1.546,11.634,22.28,-10.0,31.801,20.734,0.205,12.287,0.823,1.575,0.636,0.487,30.724
2000,1.0,206.805,43.313,58.084,55.932,3.805,8.493,7.428,0.1,0.965,316.246,11.757,0.152,0.304,0.002,977.201,12.65,25.3,0.19,44.263,2260.933,1.0,1.0,1.511,11.569,22.183,-10.0,31.675,20.672,0.207,12.973,0.779,1.592,0.638,0.495,30.885
2100,1.0,210.641,46.322,62.119,59.072,4.039,8.651,7.566,0.104,0.981,313.871,12.48,0.166,0.321,0.002,969.862,12.869,24.984,0.188,44.847,2274.565,0.995,1.005,1.476,11.503,22.084,-10.0,31.547,20.608,0.209,13.663,0.737,1.609,0.635,0.504,31.121
2200,1.0,213.812,49.259,66.057,62.244,4.277,8.786,7.68,0.107,0.999,312.583,13.216,0.18,0.339,0.003,965.883,13.129,24.757,0.188,45.436,2288.083,0.99,1.01,1.44,11.436,21.984,-10.0,31.418,20.544,0.21,14.358,0.701,1.627,0.637,0.512,31.266
2300,1.0,217.608,52.412,70.286,65.45,4.52,8.944,7.817,0.11,1.017,310.473,13.967,0.194,0.356,0.003,959.362,13.35,24.465,0.186,46.031,2301.539,0.985,1.015,1.404,11.368,21.884,-10.0,31.287,20.48,0.212,15.058,0.667,1.645,0.635,0.522,31.486
2400,1.0,220.739,55.478,74.397,68.688,4.768,9.079,7.929,0.114,1.036,309.398,14.733,0.21,0.374,0.003,956.041,13.614,24.257,0.186,46.631,2314.974,0.98,1.02,1.368,11.301,21.782,-10.0,31.156,20.415,0.214,15.763,0.637,1.663,0.638,0.529,31.618
2500,1.0,224.51,58.777,78.821,71.958,5.021,9.238,8.064,0.118,1.056,307.507,15.514,0.226,0.392,0.003,950.198,13.838,23.986,0.185,47.237,2328.331,0.975,1.026,1.331,11.232,21.681,-10.0,31.025,20.349,0.215,16.472,0.608,1.681,0.635,0.539,31.825
2600,1.0,226.941,61.79,82.861,75.11,5.268,9.35,8.152,0.121,1.077,306.898,16.277,0.242,0.409,0.003,948.316,14.117,23.815,0.184,47.761,2341.814,0.97,1.031,1.295,11.164,21.579,-10.0,30.893,20.284,0.217,17.187,0.586,1.696,0.638,0.545,31.928
2700,1.0,230.019,65.036,87.215,78.282,5.518,9.486,8.262,0.124,1.099,305.468,17.052,0.259,0.426,0.003,943.896,14.357,23.582,0.183,48.288,2355.24,0.965,1.036,1.259,11.096,21.477,-10.0,30.761,20.218,0.218,17.905,0.564,1.71,0.635,0.553,32.108
2800,1.0,232.959,68.307,91.601,81.607,5.783,9.617,8.368,0.128,1.121,304.771,17.869,0.278,0.444,0.003,941.743,14.629,23.406,0.183,48.893,2368.569,0.96,1.042,1.222,11.027,21.375,-10.0,30.629,20.153,0.219,18.629,0.543,1.729,0.639,0.561,32.215
2900,1.0,237.113,72.008,96.565,85.097,6.062,9.793,8.517,0.132,1.144,303.049,18.731,0.297,0.463,0.004,936.423,14.849,23.153,0.182,49.577,2381.707,0.955,1.047,1.186,10.959,21.273,-10.0,30.497,20.087,0.22,19.357,0.519,1.749,0.637,0.571,32.413
3000,1.0,241.276,75.799,101.648,88.627,6.346,9.97,8.667,0.135,1.168,301.413,19.61,0.317,0.482,0.004,931.367,15.071,22.907,0.181,50.268,2394.817,0.95,1.053,1.149,10.891,21.171,-10.0,30.365,20.022,0.221,20.09,0.497,1.77,0.636,0.581,32.606
3100,1.0,244.623,79.412,106.494,92.16,6.634,10.119,8.787,0.138,1.193,300.752,20.5,0.338,0.502,0.004,929.324,15.338,22.737,0.18,50.948,2407.93,0.945,1.058,1.113,10.822,21.069,-10.0,30.233,19.957,0.222,20.828,0.478,1.791,0.64,0.59,32.711
3200,1.0,248.664,83.328,111.745,95.731,6.928,10.293,8.932,0.142,1.219,299.308,21.407,0.36,0.521,0.004,924.863,15.564,22.508,0.18,51.634,2421.114,0.94,1.064,1.076,10.754,20.968,-10.0,30.101,19.891,0.223,21.57,0.459,1.811,0.639,0.6,32.891
3300,1.0,251.807,87.018,116.693,99.281,7.223,10.436,9.045,0.146,1.245,298.835,22.32,0.383,0.54,0.004,923.399,15.838,22.353,0.179,52.3,2434.389,0.935,1.07,1.04,10.687,20.866,-10.0,29.97,19.826,0.224,22.317,0.444,1.832,0.643,0.608,32.984
3400,1.0,255.442,90.949,121.965,102.806,7.52,10.597,9.176,0.149,1.273,297.66,23.237,0.406,0.559,0.005,919.769,16.074,22.146,0.179,52.943,2447.7,0.93,1.075,1.004,10.619,20.765,-10.0,29.839,19.761,0.224,23.069,0.429,1.85,0.642,0.618,33.147
3500,1.0,258.378,94.7,126.995,106.361,7.822,10.734,9.281,0.152,1.301,297.354,24.17,0.43,0.579,0.005,918.824,16.354,22.004,0.178,53.593,2461.008,0.925,1.081,0.968,10.551,20.665,-10.0,29.709,19.697,0.225,23.826,0.416,1.87,0.646,0.626,33.229
