Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K)
1000,1.0,270.823,28.361,38.032,26.331,1.706,10.635,9.728,0.065,0.842,216.547,5.271,0.051,0.13,0.001,669.129,6.496,16.458,0.13,49.808,2699.554
1100,1.0,273.798,31.539,42.295,29.144,1.897,10.754,9.835,0.068,0.85,216.555,5.862,0.059,0.145,0.001,669.155,6.713,16.545,0.13,50.288,2705.912
1200,1.0,276.793,34.783,46.645,31.99,2.092,10.874,9.942,0.072,0.86,216.57,6.466,0.067,0.161,0.001,669.2,6.93,16.633,0.13,50.782,2712.482
1300,1.0,279.805,38.091,51.081,34.868,2.292,10.996,10.051,0.076,0.87,216.594,7.082,0.076,0.177,0.001,669.274,7.148,16.721,0.13,51.286,2719.239
1400,1.0,282.672,41.442,55.575,37.779,2.495,11.114,10.154,0.079,0.881,216.75,7.71,0.085,0.194,0.001,669.758,7.37,16.82,0.13,51.799,2726.197
1500,1.0,285.709,44.879,60.184,40.723,2.703,11.238,10.263,0.082,0.893,216.798,8.351,0.095,0.211,0.002,669.905,7.588,16.91,0.13,52.318,2733.27
1600,1.0,288.754,48.381,64.88,43.699,2.914,11.364,10.372,0.086,0.906,216.861,9.006,0.105,0.228,0.002,670.1,7.807,17.002,0.13,52.843,2740.439
1700,1.0,291.643,51.919,69.625,46.708,3.13,11.485,10.476,0.09,0.919,217.063,9.673,0.116,0.247,0.002,670.723,8.031,17.105,0.13,53.373,2747.7
1800,1.0,294.705,55.551,74.495,49.75,3.351,11.612,10.586,0.093,0.934,217.155,10.354,0.127,0.265,0.002,671.008,8.252,17.199,0.13,53.906,2755.085
1900,1.0,297.773,59.247,79.452,52.825,3.576,11.741,10.696,0.096,0.949,217.264,11.049,0.139,0.285,0.002,671.345,8.473,17.294,0.13,54.443,2762.572
2000,1.0,300.673,62.973,84.448,55.932,3.805,11.865,10.8,0.1,0.965,217.516,11.757,0.152,0.304,0.002,672.123,8.701,17.401,0.131,54.982,2770.125
2100,1.0,303.756,66.799,89.579,59.072,4.039,11.996,10.911,0.104,0.981,217.655,12.48,0.166,0.321,0.002,672.555,8.924,17.325,0.131,55.524,2777.747
2200,1.0,306.843,70.692,94.799,62.244,4.277,12.128,11.022,0.107,0.999,217.812,13.216,0.18,0.339,0.003,673.038,9.148,17.251,0.131,56.068,2785.432
2300,1.0,309.751,74.605,100.047,65.45,4.52,12.254,11.126,0.11,1.017,218.115,13.967,0.194,0.356,0.003,673.976,9.379,17.187,0.131,56.614,2793.197
2400,1.0,312.85,78.628,105.442,68.688,4.768,12.388,11.238,0.114,1.036,218.304,14.733,0.21,0.374,0.003,674.558,9.605,17.115,0.131,57.161,2801.054
2500,1.0,315.955,82.717,110.925,71.958,5.021,12.523,11.349,0.118,1.056,218.508,15.514,0.226,0.392,0.003,675.19,9.833,17.044,0.131,57.71,2808.968
2600,1.0,318.324,86.67,116.227,75.11,5.268,12.632,11.434,0.121,1.077,218.796,16.277,0.242,0.409,0.003,676.079,10.065,16.979,0.131,58.162,2817.768
2700,1.0,320.494,90.618,121.52,78.282,5.518,12.736,11.512,0.124,1.099,219.235,17.052,0.259,0.426,0.003,677.436,10.304,16.925,0.132,58.614,2826.6
2800,1.0,323.458,94.843,127.186,81.607,5.783,12.868,11.619,0.128,1.121,219.5,17.869,0.278,0.444,0.003,678.256,10.536,16.858,0.132,59.144,2834.817
2900,1.0,327.027,99.314,133.182,85.097,6.062,13.023,11.747,0.132,1.144,219.728,18.731,0.297,0.463,0.004,678.959,10.767,16.787,0.132,59.752,2842.439
3000,1.0,330.607,103.863,139.283,88.627,6.346,13.179,11.875,0.135,1.168,219.97,19.61,0.317,0.482,0.004,679.709,10.999,16.718,0.132,60.361,2850.135
3100,1.0,334.046,108.442,145.423,92.16,6.634,13.331,11.999,0.138,1.193,220.242,20.5,0.338,0.502,0.004,680.549,11.232,16.65,0.132,60.95,2858.055
3200,1.0,337.492,113.095,151.663,95.731,6.928,13.484,12.123,0.142,1.219,220.53,21.407,0.36,0.521,0.004,681.437,11.468,16.584,0.132,61.539,2866.052
3300,1.0,340.717,117.743,157.897,99.281,7.223,13.63,12.239,0.146,1.245,220.854,22.32,0.383,0.54,0.004,682.437,11.705,16.52,0.133,62.096,2874.328
3400,1.0,343.717,122.38,164.114,102.806,7.52,13.768,12.346,0.149,1.273,221.214,23.237,0.406,0.559,0.005,683.55,11.946,16.458,0.133,62.621,2882.873
3500,1.0,346.501,126.999,170.309,106.361,7.822,13.9,12.446,0.152,1.301,221.73,24.17,0.43,0.579,0.005,685.146,12.195,16.408,0.133,63.144,2891.453
3600,1.0,348.885,131.526,176.38,109.778,8.117,14.018,12.532,0.156,1.33,222.178,25.082,0.455,0.597,0.005,686.529,12.442,16.352,0.133,63.583,2900.657
3700,1.0,351.266,136.103,182.517,113.216,8.417,14.136,12.618,0.159,1.359,222.642,26.009,0.48,0.616,0.005,687.963,12.691,16.297,0.134,64.017,2909.886
3800,1.0,353.487,140.665,188.635,116.631,8.719,14.25,12.697,0.163,1.39,223.138,26.941,0.506,0.635,0.005,689.495,12.942,16.244,0.134,64.426,2919.276
3900,1.0,355.545,145.207,194.726,120.019,9.022,14.359,12.771,0.166,1.421,223.666,27.877,0.532,0.653,0.005,691.127,13.196,16.193,0.134,64.81,2928.82
4000,1.0,357.829,149.887,201.002,123.424,9.329,14.477,12.853,0.17,1.453,224.067,28.827,0.56,0.672,0.006,692.365,13.444,16.133,0.134,65.188,2938.385
4100,1.0,358.06,153.734,206.16,126.653,9.594,14.521,12.862,0.174,1.486,224.675,29.647,0.58,0.689,0.006,694.246,13.57,16.141,0.135,65.337,2942.133
4200,1.0,358.272,157.576,211.313,129.889,9.862,14.566,12.869,0.177,1.52,225.299,30.472,0.6,0.707,0.006,696.173,13.698,16.149,0.135,65.485,2945.885
4300,1.0,358.226,161.307,216.316,133.057,10.125,14.603,12.868,0.18,1.555,225.96,31.285,0.62,0.724,0.006,698.216,13.829,16.161,0.136,65.601,2949.852
4400,1.0,357.919,164.917,221.157,136.151,10.383,14.63,12.856,0.184,1.59,226.661,32.085,0.64,0.741,0.006,700.382,13.962,16.175,0.136,65.684,2954.034
4500,1.0,357.59,168.51,225.976,139.246,10.643,14.658,12.845,0.187,1.626,227.379,32.888,0.66,0.758,0.006,702.601,14.097,16.189,0.136,65.766,2958.217
4600,1.0,356.999,171.971,230.616,142.259,10.898,14.678,12.823,0.191,1.663,228.139,33.675,0.68,0.774,0.007,704.949,14.236,16.207,0.137,65.816,2962.613
4700,1.0,356.386,175.407,235.225,145.27,11.154,14.697,12.801,0.194,1.701,228.918,34.465,0.7,0.791,0.007,707.355,14.376,16.226,0.137,65.864,2967.009
4800,1.0,355.75,178.82,239.801,148.277,11.41,14.716,12.779,0.198,1.739,229.715,35.258,0.721,0.807,0.007,709.82,14.518,16.245,0.138,65.911,2971.403
4900,1.0,355.092,182.207,244.344,151.28,11.668,14.735,12.755,0.202,1.779,230.532,36.054,0.742,0.823,0.007,712.345,14.662,16.266,0.138,65.956,2975.796
5000,1.0,354.41,185.569,248.852,154.28,11.926,14.755,12.73,0.205,1.819,231.369,36.852,0.763,0.84,0.007,714.931,14.808,16.288,0.139,66.001,2980.187
5100,1.0,352.918,188.483,252.76,157.276,12.158,14.745,12.677,0.208,1.86,232.216,37.568,0.778,0.856,0.007,717.546,14.862,16.348,0.139,65.963,2980.334
5200,1.0,351.404,191.355,256.611,160.269,12.389,14.736,12.622,0.212,1.902,233.084,38.283,0.793,0.872,0.007,720.229,14.917,16.409,0.14,65.925,2980.484
5300,1.0,349.851,194.172,260.389,163.258,12.62,14.727,12.567,0.215,1.945,233.986,38.997,0.808,0.888,0.008,723.015,14.975,16.473,0.14,65.877,2980.524
5400,1.0,347.382,196.44,263.43,166.244,12.851,14.685,12.478,0.219,1.988,235.515,39.71,0.822,0.905,0.008,727.74,15.073,16.58,0.141,64.843,2970.115
5500,1.0,344.853,198.621,266.355,169.226,13.082,14.642,12.387,0.222,2.032,237.107,40.423,0.837,0.921,0.008,732.66,15.175,16.692,0.142,63.822,2959.799
5600,1.0,342.055,200.592,268.998,172.205,13.312,14.59,12.287,0.226,2.077,238.91,41.134,0.852,0.937,0.008,738.232,15.29,16.819,0.143,62.817,2949.6
5700,1.0,339.425,202.604,271.696,175.18,13.542,14.545,12.192,0.229,2.123,240.624,41.845,0.867,0.953,0.008,743.529,15.4,16.94,0.144,61.826,2939.538
5800,1.0,336.738,204.526,274.274,178.152,13.772,14.499,12.096,0.233,2.17,242.406,42.555,0.881,0.97,0.008,749.034,15.514,17.065,0.145,60.85,2929.598
5900,1.0,333.804,206.24,276.572,181.12,14.001,14.444,11.99,0.236,2.218,244.397,43.264,0.896,0.986,0.008,755.187,15.641,17.206,0.147,59.89,2919.778
6000,1.0,331.02,207.986,278.914,184.085,14.23,14.396,11.89,0.24,2.266,246.312,43.972,0.911,1.002,0.009,761.103,15.764,17.34,0.148,58.945,2910.072
6100,1.0,328.186,209.642,281.135,187.046,14.459,14.347,11.788,0.243,2.315,248.297,44.679,0.925,1.018,0.009,767.239,15.891,17.48,0.149,58.015,2900.498
6200,1.0,325.299,211.204,283.23,190.004,14.688,14.297,11.685,0.247,2.365,250.358,45.386,0.94,1.034,0.009,773.606,16.023,17.625,0.15,57.1,2891.04
6300,1.0,322.196,212.564,285.053,192.958,14.916,14.239,11.573,0.25,2.416,252.624,46.091,0.955,1.05,0.009,780.61,16.168,17.785,0.152,56.202,2881.721
6400,1.0,319.22,213.943,286.902,195.908,15.144,14.188,11.466,0.254,2.467,254.834,46.796,0.969,1.066,0.009,787.437,16.309,17.94,0.153,55.318,2872.52
6500,1.0,316.197,215.229,288.626,198.856,15.372,14.135,11.358,0.257,2.52,257.123,47.5,0.984,1.082,0.009,794.509,16.456,18.101,0.154,54.449,2863.479
6600,1.0,312.972,216.311,290.078,201.799,15.6,14.076,11.242,0.261,2.573,259.624,48.203,0.998,1.098,0.009,802.237,16.616,18.277,0.156,53.596,2854.58
6700,1.0,309.865,217.408,291.549,204.74,15.827,14.022,11.13,0.264,2.627,262.077,48.906,1.013,1.114,0.009,809.817,16.773,18.45,0.157,52.758,2845.82
6800,1.0,306.711,218.407,292.889,207.676,16.054,13.967,11.017,0.268,2.682,264.62,49.607,1.027,1.13,0.01,817.675,16.936,18.629,0.159,51.934,2837.181
6900,1.0,303.515,219.309,294.099,210.61,16.281,13.911,10.902,0.271,2.737,267.253,50.308,1.042,1.146,0.01,825.813,17.104,18.815,0.16,51.126,2828.684
7000,1.0,300.14,220.014,295.044,213.539,16.507,13.85,10.781,0.275,2.794,270.103,51.008,1.056,1.162,0.01,834.618,17.287,19.015,0.162,50.331,2820.314
