Engine Speed(RPM),Throttle,Torque(Nm),Power(kW),Horsepower,Air Flow(g/s),Fuel Flow(g/s),IMEP(bar),BMEP(bar),PMEP(bar),FMEP(bar),BSFC(g/kWh),CO2(g/s),CO(g/s),NOx(g/s),HC(g/s),CO2(g/kWh),CO(g/kWh),NOx(g/kWh),HC(g/kWh),Pmax(bar),Tmax(K),Lambda,Phi (φ),CA10 (deg),CA50 (deg),CA90 (deg),SOC (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),KnockIdx,Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),η_ind (%)
1000,1.0,184.639,19.335,25.929,26.331,1.706,7.186,6.632,0.037,0.517,317.623,5.271,0.051,0.13,0.001,981.457,9.529,24.139,0.191,41.936,2161.367,1.05,0.952,-0.206,10.098,20.973,-12.0,30.698,21.179,0.188,6.331,1.888,1.428,0.642,0.419,29.143
1100,1.0,188.797,21.748,29.164,29.144,1.897,7.34,6.782,0.038,0.52,314.053,5.862,0.059,0.145,0.001,970.425,9.736,23.994,0.188,42.488,2177.382,1.045,0.957,-0.223,10.067,20.925,-12.0,30.637,21.149,0.191,6.974,1.711,1.444,0.64,0.428,29.441
1200,1.0,193.46,24.311,32.602,31.99,2.092,7.512,6.949,0.038,0.524,309.856,6.466,0.067,0.161,0.001,957.456,9.915,23.797,0.186,43.049,2192.937,1.04,0.962,-0.245,10.026,20.865,-12.0,30.559,21.11,0.193,7.622,1.559,1.459,0.633,0.438,29.803
1300,1.0,197.38,26.87,36.034,34.868,2.292,7.657,7.09,0.039,0.528,307.042,7.082,0.076,0.177,0.001,948.76,10.132,23.704,0.184,43.618,2208.106,1.035,0.966,-0.27,9.98,20.796,-12.0,30.469,21.066,0.195,8.274,1.435,1.475,0.632,0.446,30.051
1400,1.0,201.853,29.593,39.685,37.779,2.495,7.823,7.251,0.04,0.533,303.534,7.71,0.085,0.194,0.001,937.92,10.32,23.554,0.182,44.194,2222.945,1.03,0.971,-0.297,9.928,20.719,-12.0,30.369,21.016,0.198,8.932,1.324,1.491,0.627,0.456,30.368
1500,1.0,205.62,32.299,43.313,40.723,2.703,7.964,7.386,0.04,0.538,301.241,8.351,0.095,0.211,0.002,930.835,10.543,23.497,0.181,44.778,2237.503,1.025,0.976,-0.327,9.873,20.637,-12.0,30.263,20.963,0.2,9.594,1.232,1.508,0.628,0.464,30.579
1600,1.0,209.33,35.074,47.034,43.699,2.914,8.103,7.519,0.041,0.543,299.143,9.006,0.105,0.228,0.002,924.353,10.769,23.453,0.179,45.367,2251.815,1.02,0.98,-0.358,9.815,20.55,-12.0,30.15,20.908,0.202,10.261,1.151,1.525,0.628,0.472,30.776
1700,1.0,213.637,38.032,51.002,46.708,3.13,8.264,7.674,0.042,0.548,296.319,9.673,0.116,0.247,0.002,915.625,10.964,23.35,0.178,45.963,2265.938,1.015,0.985,-0.39,9.754,20.46,-12.0,30.033,20.85,0.204,10.933,1.077,1.541,0.624,0.482,31.047
1800,1.0,217.265,40.954,54.92,49.75,3.351,8.401,7.804,0.043,0.554,294.555,10.354,0.127,0.265,0.002,910.175,11.193,23.329,0.177,46.565,2279.92,1.01,0.99,-0.423,9.692,20.367,-12.0,29.913,20.79,0.206,11.609,1.014,1.558,0.626,0.49,31.22
1900,1.0,221.511,44.074,59.104,52.825,3.576,8.56,7.957,0.043,0.56,292.064,11.049,0.139,0.285,0.002,902.477,11.39,23.248,0.175,47.173,2293.743,1.005,0.995,-0.457,9.628,20.271,-12.0,29.79,20.729,0.208,12.29,0.954,1.575,0.623,0.499,31.468
2000,1.0,225.088,47.142,63.219,55.932,3.805,8.696,8.085,0.044,0.566,290.558,11.757,0.152,0.304,0.002,897.826,11.622,23.245,0.174,47.786,2307.431,1.0,1.0,-0.492,9.563,20.174,-12.0,29.664,20.666,0.21,12.976,0.904,1.592,0.625,0.507,31.622
2100,1.0,229.303,50.426,67.623,59.072,4.039,8.854,8.237,0.045,0.573,288.326,12.48,0.166,0.321,0.002,890.928,11.821,22.951,0.173,48.406,2320.997,0.995,1.005,-0.527,9.497,20.076,-12.0,29.537,20.603,0.212,13.666,0.855,1.609,0.622,0.516,31.852
