Engine Speed (RPM),Throttle,Lambda,Torque (Nm),Power (kW),Horsepower,IMEP (bar),BMEP (bar),PMEP (bar),FMEP (bar),BSFC (g/kWh),Air Flow(g/s),Fuel Flow(g/s),CO2 (g/s),CO (g/s),NOx (g/s),HC (g/s),CO2 (g/kWh),CO (g/kWh),NOx (g/kWh),HC (g/kWh),Pmax (bar),Tmax (K),KnockIdx,Phi,SOC (deg),CA10 (deg),CA50 (deg),CA90 (deg),EOC (deg),Burn 10 - 90 (deg),S_L (m/s),S_T (m/s),Qchem (kJ/cyc),Q_ht (kJ/cyc),W_ind (kJ/cyc),n_ind (%)
1000,1.0,0.952,340.858,35.695,47.867,12.419,12.244,0.037,0.138,189.68,26.331,1.881,5.811,0.087,0.146,0.001,586.11,8.725,14.719,0.114,87.411,3384.25,0.695,1.05,-8.52,-7.276,-6.189,-5.041,-4.015,2.235,0.218,60.0,1.57,0.091,0.724,45.684
1100,1.0,0.948,342.648,39.47,52.93,12.496,12.308,0.038,0.15,190.696,29.144,2.091,6.461,0.098,0.162,0.001,589.25,8.925,14.737,0.114,87.725,3374.452,0.705,1.055,-8.52,-7.151,-5.955,-4.693,-3.564,2.458,0.219,60.0,1.589,0.102,0.729,45.483
1200,1.0,0.944,344.403,43.279,58.038,12.574,12.371,0.038,0.164,191.739,31.99,2.305,7.123,0.11,0.177,0.001,592.474,9.127,14.756,0.115,88.047,3365.062,0.712,1.059,-8.519,-7.025,-5.721,-4.344,-3.112,2.682,0.22,60.0,1.608,0.113,0.733,45.285
1300,1.0,0.94,346.492,47.17,63.256,12.665,12.446,0.039,0.18,192.603,34.868,2.524,7.798,0.122,0.193,0.002,595.143,9.322,14.761,0.116,88.446,3358.727,0.654,1.064,-8.518,-6.9,-5.487,-3.995,-2.661,2.905,0.221,60.0,1.618,0.113,0.738,45.135
1400,1.0,0.936,348.396,51.078,68.496,12.75,12.514,0.04,0.196,193.576,37.779,2.747,8.487,0.135,0.21,0.002,598.151,9.524,14.774,0.116,88.82,3351.457,0.662,1.069,-8.517,-6.775,-5.252,-3.646,-2.209,3.129,0.221,60.0,1.637,0.123,0.743,44.964
1500,1.0,0.932,350.284,55.022,73.786,12.836,12.582,0.04,0.214,194.567,40.723,2.974,9.189,0.149,0.226,0.002,601.211,9.728,14.787,0.117,89.2,3344.515,0.668,1.073,-8.516,-6.649,-5.018,-3.297,-1.758,3.352,0.222,60.0,1.656,0.133,0.748,44.795
1600,1.0,0.927,352.116,58.998,79.117,12.921,12.648,0.041,0.232,195.595,43.699,3.205,9.905,0.163,0.243,0.002,604.389,9.936,14.803,0.117,89.578,3337.793,0.673,1.078,-8.515,-6.524,-4.784,-2.948,-1.306,3.576,0.222,60.0,1.675,0.144,0.753,44.621
1700,1.0,0.923,353.932,63.008,84.496,13.007,12.713,0.042,0.252,196.639,46.708,3.442,10.635,0.178,0.259,0.002,607.615,10.147,14.819,0.118,89.963,3333.924,0.675,1.083,-8.513,-6.398,-4.55,-2.599,-0.855,3.799,0.222,60.0,1.694,0.154,0.758,44.448
1800,1.0,0.919,356.46,67.191,90.105,13.119,12.804,0.043,0.272,197.296,49.75,3.682,11.379,0.193,0.276,0.002,609.646,10.338,14.805,0.118,90.498,3330.566,0.634,1.088,-8.512,-6.272,-4.315,-2.25,-0.403,4.022,0.223,60.0,1.707,0.154,0.765,44.365
1900,1.0,0.915,358.399,71.31,95.628,13.211,12.874,0.043,0.294,198.288,52.825,3.928,12.137,0.209,0.293,0.002,612.71,10.549,14.816,0.119,90.991,3327.589,0.637,1.093,-8.511,-6.147,-4.081,-1.901,0.049,4.246,0.223,60.0,1.727,0.164,0.77,44.212
2000,1.0,0.911,360.293,75.46,101.193,13.302,12.942,0.044,0.316,199.312,55.932,4.178,12.909,0.226,0.311,0.003,615.874,10.763,14.829,0.12,91.467,3324.109,0.638,1.098,-8.51,-6.021,-3.847,-1.552,0.5,4.469,0.223,60.0,1.746,0.174,0.776,44.055
2100,1.0,0.909,361.448,79.487,106.593,13.367,12.983,0.045,0.339,200.311,59.072,4.423,13.666,0.241,0.328,0.003,618.962,10.897,14.871,0.12,91.785,3316.769,0.637,1.101,-8.509,-5.896,-3.612,-1.203,0.952,4.693,0.223,60.0,1.762,0.184,0.779,43.91
2200,1.0,0.906,362.584,83.533,112.02,13.433,13.024,0.045,0.364,201.323,62.244,4.671,14.435,0.256,0.346,0.003,622.088,11.032,14.914,0.121,92.072,3308.722,0.635,1.103,-8.507,-5.77,-3.378,-0.854,1.404,4.916,0.223,60.0,1.777,0.194,0.783,43.767
2300,1.0,0.904,364.54,87.801,117.744,13.529,13.094,0.046,0.389,201.88,65.45,4.924,15.214,0.272,0.364,0.003,623.809,11.144,14.923,0.121,92.314,3301.623,0.6,1.106,-8.506,-5.644,-3.143,-0.504,1.856,5.14,0.223,60.0,1.787,0.194,0.789,43.722
2400,1.0,0.902,365.69,91.908,123.251,13.597,13.136,0.047,0.415,202.884,68.688,5.18,16.005,0.288,0.382,0.003,626.913,11.28,14.965,0.122,92.546,3293.74,0.598,1.109,-8.505,-5.518,-2.909,-0.155,2.308,5.363,0.223,60.0,1.803,0.203,0.793,43.587
2500,1.0,0.9,366.834,96.037,128.788,13.666,13.177,0.048,0.441,203.894,71.958,5.439,16.807,0.305,0.4,0.003,630.031,11.418,15.007,0.122,92.75,3286.775,0.595,1.111,-8.504,-5.393,-2.674,0.194,2.76,5.587,0.223,60.0,1.819,0.213,0.797,43.454
2600,1.0,0.898,367.097,99.95,134.035,13.703,13.186,0.048,0.469,204.982,75.11,5.691,17.585,0.321,0.418,0.003,633.394,11.561,15.054,0.123,92.744,3279.773,0.593,1.114,-8.502,-5.267,-2.44,0.543,3.211,5.81,0.223,60.0,1.831,0.222,0.799,43.312
2700,1.0,0.896,367.328,103.86,139.278,13.741,13.194,0.049,0.498,206.092,78.282,5.946,18.372,0.338,0.436,0.004,636.823,11.706,15.102,0.124,92.715,3273.361,0.591,1.116,-8.501,-5.141,-2.205,0.893,3.663,6.034,0.222,60.0,1.843,0.231,0.801,43.169
2800,1.0,0.894,369.136,108.236,145.147,13.836,13.259,0.05,0.527,206.652,81.607,6.213,19.199,0.355,0.454,0.004,638.554,11.82,15.11,0.124,92.807,3265.867,0.563,1.119,-8.499,-5.015,-1.971,1.242,4.115,6.257,0.222,60.0,1.854,0.231,0.807,43.138
2900,1.0,0.891,370.74,112.589,150.984,13.925,13.317,0.05,0.557,207.658,85.097,6.494,20.068,0.374,0.474,0.004,641.664,11.961,15.151,0.125,93.003,3258.626,0.556,1.122,-8.498,-4.889,-1.736,1.592,4.567,6.481,0.222,60.0,1.872,0.241,0.812,43.017
3000,1.0,0.889,372.318,116.967,156.856,14.013,13.374,0.051,0.588,208.679,88.627,6.78,20.951,0.393,0.494,0.004,644.818,12.103,15.192,0.125,93.166,3250.809,0.549,1.125,-8.496,-4.763,-1.501,1.941,5.019,6.704,0.222,60.0,1.89,0.25,0.817,42.896
3100,1.0,0.888,373.31,121.188,162.516,14.081,13.409,0.052,0.62,209.71,92.16,7.06,21.814,0.411,0.513,0.004,648.005,12.205,15.25,0.126,93.19,3241.273,0.541,1.126,-8.495,-4.637,-1.267,2.29,5.471,6.928,0.222,60.0,1.905,0.259,0.821,42.779
3200,1.0,0.887,374.286,125.425,168.197,14.15,13.444,0.052,0.653,210.749,95.731,7.343,22.688,0.429,0.533,0.004,651.215,12.308,15.309,0.126,93.208,3231.417,0.533,1.127,-8.493,-4.511,-1.032,2.64,5.923,7.151,0.222,60.0,1.92,0.268,0.825,42.664
3300,1.0,0.886,374.984,129.585,173.776,14.209,13.469,0.053,0.687,211.82,99.281,7.625,23.56,0.447,0.553,0.005,654.525,12.413,15.37,0.127,93.15,3222.041,0.524,1.129,-8.492,-4.385,-0.797,2.989,6.376,7.375,0.221,60.0,1.934,0.277,0.829,42.547
3400,1.0,0.885,376.365,134.004,179.702,14.294,13.519,0.054,0.721,212.381,102.806,7.906,24.428,0.465,0.573,0.005,656.257,12.488,15.393,0.127,93.017,3212.704,0.501,1.13,-8.49,-4.259,-0.562,3.339,6.828,7.598,0.221,60.0,1.944,0.277,0.833,42.531
3500,1.0,0.884,376.779,138.097,185.191,14.345,13.534,0.054,0.757,213.487,106.361,8.189,25.305,0.483,0.593,0.005,659.674,12.596,15.456,0.128,92.861,3203.338,0.493,1.132,-8.488,-4.133,-0.328,3.688,7.28,7.821,0.221,60.0,1.957,0.285,0.836,42.415
3600,1.0,0.882,376.491,141.934,190.337,14.372,13.524,0.055,0.793,214.665,109.778,8.463,26.152,0.501,0.612,0.005,663.314,12.708,15.525,0.129,92.553,3194.585,0.487,1.133,-8.487,-4.007,-0.093,4.038,7.732,8.045,0.221,60.0,1.967,0.294,0.838,42.292
3700,1.0,0.881,376.176,145.754,195.46,14.398,13.512,0.056,0.83,215.863,113.216,8.74,27.006,0.519,0.631,0.005,667.016,12.822,15.594,0.13,92.227,3185.467,0.481,1.135,-8.485,-3.881,0.142,4.388,8.184,8.268,0.221,60.0,1.977,0.302,0.84,42.17
3800,1.0,0.88,375.665,149.49,200.47,14.418,13.494,0.057,0.868,217.095,116.631,9.015,27.856,0.537,0.651,0.005,670.825,12.939,15.666,0.13,91.853,3176.922,0.474,1.136,-8.483,-3.755,0.377,4.737,8.636,8.492,0.221,60.0,1.986,0.31,0.841,42.046
3900,1.0,0.879,375.909,153.524,205.879,14.466,13.503,0.057,0.906,217.812,120.019,9.289,28.702,0.555,0.67,0.006,673.04,13.025,15.7,0.131,91.439,3168.168,0.456,1.138,-8.482,-3.629,0.612,5.087,9.089,8.715,0.22,60.0,1.991,0.309,0.843,42.021
4000,1.0,0.878,375.199,157.163,210.759,14.481,13.477,0.058,0.946,219.086,123.424,9.564,29.554,0.574,0.689,0.006,676.975,13.145,15.774,0.131,91.009,3159.53,0.45,1.139,-8.48,-3.502,0.847,5.436,9.541,8.939,0.22,60.0,2.0,0.317,0.844,41.898
4100,1.0,0.876,374.186,160.657,215.445,14.486,13.441,0.059,0.986,220.462,126.653,9.839,30.401,0.594,0.707,0.006,681.229,13.316,15.838,0.132,90.515,3153.664,0.446,1.142,-8.478,-3.376,1.082,5.786,9.993,9.162,0.22,60.0,2.007,0.325,0.845,41.763
4200,1.0,0.874,373.156,164.123,220.092,14.491,13.404,0.059,1.027,221.86,129.889,10.115,31.254,0.615,0.725,0.006,685.548,13.489,15.903,0.133,90.01,3147.555,0.441,1.145,-8.476,-3.25,1.317,6.136,10.446,9.386,0.219,60.0,2.015,0.333,0.845,41.628
4300,1.0,0.871,371.855,167.444,224.547,14.486,13.357,0.06,1.069,223.306,133.057,10.386,32.094,0.636,0.743,0.006,690.016,13.666,15.971,0.134,89.448,3141.994,0.437,1.147,-8.474,-3.124,1.552,6.486,10.898,9.609,0.219,60.0,2.022,0.34,0.845,41.492
4400,1.0,0.869,371.188,171.031,229.357,14.506,13.333,0.061,1.112,224.253,136.151,10.654,32.921,0.656,0.76,0.006,692.943,13.814,16.003,0.135,88.83,3136.338,0.424,1.15,-8.473,-2.997,1.787,6.835,11.35,9.833,0.218,60.0,2.024,0.34,0.846,41.446
4500,1.0,0.848,377.517,177.901,238.569,14.769,13.56,0.062,1.147,225.913,139.246,11.164,34.497,0.692,0.795,0.007,698.072,14.007,16.085,0.136,89.688,3176.257,0.433,1.179,-8.511,-2.911,1.982,7.145,11.763,10.056,0.212,60.0,2.075,0.356,0.861,41.186
4600,1.0,0.846,375.69,180.974,242.69,14.748,13.495,0.062,1.191,227.46,142.259,11.435,35.333,0.714,0.812,0.007,702.852,14.194,16.159,0.136,89.007,3171.041,0.43,1.182,-8.508,-2.784,2.217,7.495,12.216,10.28,0.211,60.0,2.08,0.363,0.86,41.047
4700,1.0,0.844,373.838,183.997,246.744,14.727,13.428,0.063,1.236,229.039,145.27,11.706,36.172,0.735,0.83,0.007,707.73,14.384,16.234,0.137,88.319,3165.674,0.426,1.185,-8.506,-2.658,2.453,7.845,12.668,10.503,0.21,60.0,2.085,0.37,0.859,40.907
4800,1.0,0.842,372.866,187.423,251.338,14.739,13.393,0.064,1.282,230.091,148.277,11.979,37.015,0.757,0.847,0.007,710.98,14.542,16.272,0.138,87.628,3160.199,0.415,1.188,-8.504,-2.531,2.688,8.196,13.121,10.727,0.209,60.0,2.087,0.37,0.859,40.858
4900,1.0,0.84,370.98,190.36,255.277,14.718,13.326,0.064,1.328,231.72,151.28,12.253,37.861,0.779,0.865,0.007,716.014,14.737,16.35,0.139,86.931,3155.021,0.411,1.191,-8.502,-2.404,2.923,8.546,13.574,10.95,0.208,60.0,2.091,0.377,0.858,40.72
5000,1.0,0.838,369.073,193.246,259.148,14.698,13.257,0.065,1.375,233.38,154.28,12.528,38.711,0.802,0.882,0.008,721.144,14.936,16.43,0.14,86.231,3149.68,0.407,1.194,-8.5,-2.278,3.159,8.896,14.026,11.174,0.207,60.0,2.096,0.384,0.857,40.583
5100,1.0,0.838,366.519,195.747,262.501,14.646,13.165,0.066,1.415,234.912,157.276,12.773,39.469,0.817,0.899,0.008,725.879,15.034,16.538,0.141,85.38,3139.356,0.401,1.194,-8.497,-2.151,3.394,9.246,14.479,11.397,0.207,60.0,2.096,0.39,0.854,40.457
5200,1.0,0.837,364.015,198.222,265.82,14.595,13.075,0.066,1.453,236.433,160.269,13.018,40.227,0.833,0.916,0.008,730.578,15.132,16.645,0.142,84.529,3129.311,0.396,1.194,-8.495,-2.025,3.629,9.596,14.932,11.62,0.207,60.0,2.095,0.396,0.851,40.332
5300,1.0,0.837,361.492,200.633,269.054,14.544,12.985,0.067,1.492,237.986,163.258,13.263,40.984,0.849,0.934,0.008,735.378,15.231,16.754,0.143,83.679,3119.135,0.39,1.194,-8.493,-1.898,3.865,9.946,15.385,11.844,0.207,60.0,2.095,0.401,0.848,40.207
5400,1.0,0.837,359.797,203.46,272.845,14.523,12.924,0.068,1.531,239.01,166.244,13.508,41.74,0.865,0.951,0.008,738.541,15.297,16.826,0.143,82.83,3108.952,0.379,1.194,-8.491,-1.771,4.1,10.296,15.837,12.067,0.207,60.0,2.092,0.4,0.847,40.166
5500,1.0,0.837,357.24,205.756,275.923,14.472,12.832,0.068,1.572,240.622,169.226,13.753,42.495,0.88,0.968,0.008,743.521,15.4,16.94,0.144,81.982,3099.01,0.373,1.195,-8.489,-1.645,4.336,10.646,16.29,12.291,0.207,60.0,2.092,0.405,0.844,40.042
5600,1.0,0.837,354.666,207.987,278.915,14.422,12.74,0.069,1.613,242.268,172.205,13.997,43.25,0.896,0.985,0.008,748.608,15.505,17.056,0.145,81.14,3088.976,0.368,1.195,-8.486,-1.518,4.571,10.996,16.743,12.514,0.207,60.0,2.091,0.411,0.841,39.918
5700,1.0,0.837,352.073,210.153,281.82,14.371,12.646,0.07,1.654,243.951,175.18,14.241,44.004,0.911,1.003,0.009,753.808,15.613,17.174,0.146,80.301,3078.899,0.362,1.195,-8.484,-1.391,4.806,11.346,17.195,12.738,0.207,60.0,2.091,0.416,0.838,39.794
5800,1.0,0.837,349.465,212.256,284.64,14.32,12.553,0.071,1.697,245.668,178.152,14.485,44.757,0.927,1.02,0.009,759.114,15.723,17.295,0.147,79.465,3069.098,0.356,1.195,-8.482,-1.265,5.042,11.697,17.648,12.961,0.206,60.0,2.09,0.421,0.835,39.671
5900,1.0,0.837,347.627,214.78,288.025,14.298,12.487,0.071,1.74,246.863,181.12,14.728,45.51,0.943,1.037,0.009,762.807,15.799,17.379,0.148,78.633,3059.217,0.346,1.195,-8.48,-1.138,5.277,12.047,18.101,13.185,0.206,60.0,2.088,0.419,0.834,39.626
6000,1.0,0.836,344.98,216.757,290.676,14.248,12.392,0.072,1.784,248.651,184.085,14.971,46.262,0.958,1.054,0.009,768.333,15.914,17.505,0.149,77.803,3049.277,0.341,1.196,-8.478,-1.011,5.512,12.397,18.554,13.408,0.206,60.0,2.087,0.424,0.831,39.503
6100,1.0,0.836,342.315,218.667,293.238,14.198,12.296,0.073,1.829,250.48,187.046,15.214,47.012,0.974,1.071,0.009,773.983,16.031,17.634,0.15,76.977,3039.621,0.335,1.196,-8.475,-0.885,5.748,12.747,19.006,13.632,0.206,60.0,2.087,0.429,0.828,39.381
6200,1.0,0.836,339.635,220.512,295.712,14.147,12.2,0.073,1.874,252.347,190.004,15.457,47.763,0.989,1.088,0.009,779.754,16.15,17.765,0.151,76.156,3029.932,0.329,1.196,-8.473,-0.758,5.983,13.097,19.459,13.855,0.206,60.0,2.086,0.434,0.825,39.259
6300,1.0,0.836,336.938,222.29,298.095,14.097,12.103,0.074,1.92,254.257,192.958,15.7,48.512,1.005,1.105,0.009,785.656,16.272,17.9,0.153,75.339,3020.197,0.323,1.196,-8.471,-0.631,6.219,13.447,19.912,14.079,0.206,60.0,2.086,0.439,0.822,39.137
6400,1.0,0.836,334.956,224.49,301.046,14.074,12.032,0.075,1.967,255.65,195.908,15.942,49.261,1.02,1.122,0.01,789.96,16.362,17.998,0.153,74.526,3010.67,0.315,1.196,-8.469,-0.505,6.454,13.797,20.365,14.302,0.206,60.0,2.083,0.437,0.821,39.088
6500,1.0,0.836,332.219,226.135,303.251,14.024,11.933,0.076,2.015,257.643,198.856,16.184,50.008,1.036,1.139,0.01,796.118,16.489,18.138,0.155,73.724,3001.175,0.309,1.196,-8.466,-0.378,6.689,14.148,20.817,14.526,0.206,60.0,2.083,0.442,0.818,38.967
6600,1.0,0.836,329.466,227.71,305.365,13.974,11.834,0.076,2.063,259.682,201.799,16.426,50.755,1.051,1.156,0.01,802.417,16.62,18.282,0.156,72.927,2991.655,0.304,1.197,-8.464,-0.251,6.925,14.498,21.27,14.749,0.206,60.0,2.082,0.446,0.815,38.845
6700,1.0,0.836,326.694,229.216,307.383,13.924,11.735,0.077,2.112,261.769,204.74,16.667,51.501,1.067,1.173,0.01,808.866,16.753,18.429,0.157,72.135,2982.255,0.298,1.197,-8.462,-0.125,7.16,14.848,21.723,14.972,0.206,60.0,2.082,0.45,0.812,38.724
6800,1.0,0.836,323.904,230.65,309.307,13.875,11.635,0.078,2.162,263.905,207.676,16.908,52.247,1.082,1.19,0.01,815.468,16.89,18.579,0.158,71.348,2972.967,0.292,1.197,-8.46,0.002,7.396,15.198,22.176,15.196,0.206,60.0,2.081,0.455,0.809,38.603
6900,1.0,0.835,321.098,232.015,311.137,13.825,11.534,0.078,2.213,266.092,210.61,17.149,52.991,1.098,1.207,0.01,822.224,17.03,18.733,0.16,70.567,2963.667,0.287,1.197,-8.458,0.129,7.631,15.548,22.628,15.419,0.206,60.0,2.081,0.459,0.806,38.483
7000,1.0,0.835,318.949,233.802,313.534,13.8,11.457,0.079,2.264,267.764,213.539,17.39,53.735,1.113,1.224,0.01,827.389,17.137,18.851,0.161,69.791,2954.411,0.279,1.197,-8.455,0.255,7.866,15.898,23.081,15.643,0.206,60.0,2.078,0.457,0.805,38.43
